井,配置,eta_E,eta_N,窄边前缘m,宽边前缘m,混浆指数,壁面冻结占比,耗时s
hu103,生产口径,0.9926,0.9667,2233.3,2233.3,0.027,0.0,69.6
hu103,无方位角弥散,0.993,0.9674,2233.3,2233.3,0.0254,0.0,55.5
hu103,无弥散,0.9931,0.9677,2233.3,2233.3,0.025,0.0,45.1
hu103,双倍方位角弥散,0.9922,0.9665,2233.3,2233.3,0.0288,0.0,49.7
hu103,standoff-0.1,0.8898,0.6532,1551.7,2233.3,0.1584,0.0,49.7
hu103,standoff+0.1,0.9972,0.9901,2233.3,2233.3,0.0103,0.0,45.0
ht1_003,生产口径,0.9984,0.9943,2310.5,2310.5,0.006,0.0,25.6
ht1_003,无方位角弥散,0.9984,0.9941,2310.5,2310.5,0.006,0.0,23.1
ht1_003,无弥散,0.9984,0.9941,2310.5,2310.5,0.006,0.0,24.6
ht1_003,双倍方位角弥散,0.9982,0.9941,2310.5,2310.5,0.0065,0.0,25.3
ht1_003,standoff-0.1,0.9955,0.9798,2310.5,2310.5,0.0166,0.0,26.2
ht1_003,standoff+0.1,0.9998,0.9995,2310.5,2310.5,0.0009,0.0,21.5
