井,修复前η_E,修复后η_E,Δη_E,修复前η_N,修复后η_N,Δη_N,修复前窄边到位率,修复后窄边到位率
hu101_名义,0.5859,0.4921,-0.0938,0.0456,0.0314,-0.0142,0.0201,0.0201
hu101_实测between,,0.4816,,,0.0143,,,0.0161
hu101_实测at,,0.5372,,,0.0802,,,0.0482
hu102,0.9836,0.9718,-0.0118,0.8853,0.8061,-0.0792,1.0,0.7309
hu103,0.9926,0.9862,-0.0064,0.9667,0.9386,-0.0281,1.0,1.0
hu1,0.9659,0.9528,-0.0131,0.8729,0.8209,-0.052,0.9719,0.9398
hu2,0.9846,0.9846,0.0,0.991,0.9894,-0.0016,1.0,1.0
ht1_001,0.9898,0.9897,-0.0001,0.978,0.9759,-0.0021,1.0,1.0
ht1_003,0.9984,0.9967,-0.0017,0.9943,0.987,-0.0073,1.0,1.0
ht1_004,0.9985,0.9985,0.0,0.9938,0.9938,0.0,1.0,1.0
