case,well,eta_E_well,eta_N_well,eta_E_cbl,channeling_index,wide_q1,narrow_q4,depth_bottom_band,depth_top_band,elapsed_s
A_基线,呼101,0.49194279093047893,0.0313783859619479,0.5034653062957734,0.9799196787144625,0.9106265597216603,0.032899242102505596,0.573781756523316,0.24207516385080216,66.0
H_open_outlet=False,呼101,0.47449953401802275,0.02945444601721587,0.48286618918082397,0.9799196787144625,0.8787670189931716,0.030961391607153003,0.5496086707913485,0.24240505311414942,62.7
J_yield_gate=False,呼101,0.4406595979665988,0.034079953853340464,0.44609111168761534,0.9759036144574358,0.8661990635398588,0.0351530504796943,0.5086740916803826,0.22522491966286953,64.6
I_B1off(f_amp=1),呼101,0.45530727396613063,0.029776706287402338,0.4661392237415782,0.9799196787144625,0.878017264566308,0.031369969459098805,0.5658898798042126,0.21176393283759604,57.5
K101_SO=0.40,呼101,0.4931664993206359,0.031070278268241595,0.5047981106289735,0.9799196787144625,0.9112351971579934,0.0326875841848827,0.5749107752998867,0.24273917550419,59.5
K101_SO=0.42,呼101,0.4931664993206359,0.031070278268241595,0.5047981106289735,0.9799196787144625,0.9112351971579934,0.0326875841848827,0.5749107752998867,0.24273917550419,59.2
K101_SO=0.44,呼101,0.4931664993206359,0.031070278268241595,0.5047981106289735,0.9799196787144625,0.9112351971579934,0.0326875841848827,0.5749107752998867,0.24273917550419,58.7
K101_SO=0.46,呼101,0.49138510508445565,0.031594608354485215,0.5028990162984447,0.9799196787144625,0.9112993196893221,0.033220458585217716,0.5771117535816118,0.24291799461287342,59.5
K101_SO=0.48,呼101,0.48623733753090354,0.03271966464129479,0.4972125068790491,0.9759036144574358,0.9105635075836174,0.034332959470148236,0.5783263938732761,0.2432363196727857,59.0
K101_SO=0.50,呼101,0.48316355307817865,0.03404425830830317,0.49375267528443767,0.9759036144574358,0.911235663822917,0.03565224674053695,0.5826578879268267,0.24458318782274255,60.3
K101_SO=0.52,呼101,0.47950141388581874,0.03582151962865794,0.48948219839717816,0.9759036144574358,0.9117645006118621,0.03736920080772935,0.5840467463870709,0.2461815533000401,59.8
K103_SO=0.40,呼103,0.5088991728739429,0.030269717370591222,nan,0.9799196787144206,0.9670538790632467,0.028087400991231463,0.5242542873758542,0.29112873749284374,45.6
K103_SO=0.44,呼103,0.5088991728739429,0.030269717370591222,nan,0.9799196787144206,0.9670538790632467,0.028087400991231463,0.5242542873758542,0.29112873749284374,45.6
K103_SO=0.48,呼103,0.5095715121896542,0.03315565270685672,nan,0.9759036144573943,0.9702181963806168,0.030607714276151388,0.5328621324726516,0.29816702466875755,48.5
