case,grade,mean_standoff,mud_PV_mPas,mud_YP_Pa,eta_E_well,eta_E_cbl,starved_vol_frac,front_narrow_m,elapsed_s,source
A1_legacy假设(0.38-0.48),基线(model_assumption),0.429,,,0.4919,0.5035,,50.0,,前一轮
A2_检测图-扶正器间(eclip0.90),可辩护(设计软件),0.515,,,0.4814,0.4941,,40.0,,前一轮
A3_检测图-扶正器处(eclip0.90),可辩护(设计软件),0.734,,,0.5371,0.5539,,119.0,,前一轮
A4_均匀SO=0.80,[反推场景],0.8,,,0.6805,0.7183,,1130.0,,前一轮
A5_扶正器处保形到均0.80,[反推场景],0.8,,,0.6333,0.6534,,337.0,,前一轮
A5b_扶正器间保形到均0.765(上限卡住),[反推场景],0.765,,,0.5349,0.5341,,40.0,,前一轮
A'_检测图-扶正器间_eclip0.55,口径裁定对照,0.5155,58.0,9.2,0.4815793480195602,0.4946448607170246,0.5244255743166399,49.55823293172691,56.3,本轮
A'_检测图-扶正器处_eclip0.55,口径裁定对照,0.7342,58.0,9.2,0.5370789898234569,0.5538567573778391,0.4692894639875225,118.93975903614458,57.3,本轮
B_钻井液@100C,可辩护(外推100℃),0.4295,29.48,9.3,0.4671039477690136,0.4780079934469941,0.5422523839057258,49.55823293172691,60.4,本轮
B_钻井液@130C,可辩护(外推130℃),0.4295,14.74,7.25,0.42279277701456086,0.42905040085187907,0.5961938777151943,49.55823293172691,74.0,本轮
C_均0.80+钻井液@100C,[反推场景],0.8,29.48,9.3,0.599203219518662,0.6340526246623851,0.40701480573890386,1020.8995983935744,70.5,本轮
C_均0.80+钻井液@130C,[反推场景],0.8,14.74,7.25,0.4060418168625038,0.4120334199803497,0.615528812392498,267.6144578313253,98.0,本轮
