[D2DGA] 开始环空二维模拟 total_t=10255s nz=250 ny=40
  [D2DGA] 进度 0% (4s/10255s, dt=4.000s)
  [D2DGA] 进度 10% (1028s/10255s, dt=3.955s)
  [D2DGA] 进度 20% (2052s/10255s, dt=4.000s)
  [D2DGA] 进度 30% (3079s/10255s, dt=3.955s)
  [D2DGA] 进度 40% (4103s/10255s, dt=3.955s)
  [D2DGA] 进度 50% (5128s/10255s, dt=3.955s)
  [D2DGA] 进度 60% (6156s/10255s, dt=3.955s)
  [D2DGA] 进度 70% (7181s/10255s, dt=3.390s)
  [D2DGA] 进度 80% (8204s/10255s, dt=3.041s)
  [D2DGA] 进度 90% (9231s/10255s, dt=3.081s)
  [D2DGA] 进度 100% (10255s/10255s, dt=3.001s)
