井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,冲洗液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7618.0,0.0,0.92135037765152,0.92135037765152,0.0,0.0,0.92135037765152,0.0786496223484802,0.92135034111462,0.9213503915776664,0.9213503986959409,0.92135034111462,0.9213503915776664,0.9213503986959409,0.0,0.0,0.0,0.03934877578694036,0.17000000000000004,0.83
7608.721040160643,0.07758758522398905,0.9213503887017257,0.9989379739257153,8.918056526398945e-52,0.0,0.9989379739257153,0.0010620260742851926,0.9989379700197686,0.9989379747554679,0.998937977883684,0.9989379700197686,0.9989379747554679,0.998937977883684,5.534887478393828e-94,1.2705997535935465e-63,1.3535733930674104e-50,0.03934877578694036,0.17000000000000004,0.83
7599.442080321285,0.0786496035251425,0.9213503964748576,1.0,8.496484190650498e-51,0.0,1.0,2.305242823344945e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.0435555774647867e-92,1.5607025390898795e-62,1.284678440689336e-49,0.03934877578694036,0.17000000000000004,0.83
7590.163120481928,0.07864960352514251,0.9213503964748576,1.0,5.988858875173913e-50,0.0,1.0,1.3914798748672344e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.3486311495427516e-91,1.357249115591929e-61,9.02580711315468e-49,0.03934877578694036,0.17000000000000004,0.83
7580.88416064257,0.07864960352514261,0.9213503964748576,1.0,3.7035022868876094e-49,0.0,1.0,9.276538394686042e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.4315633105437447e-90,1.0018474584814448e-60,5.565897118923931e-48,0.03934877578694036,0.17000000000000004,0.83
7571.605200803213,0.07864960352514307,0.9213503964748571,1.0,2.1225022029030373e-48,0.0,1.0,9.354880586199109e-18,1.0,1.0,1.0,1.0,1.0,1.0,1.3296704555650836e-89,6.674736309341475e-60,3.1821145603131166e-47,0.03934877578694036,0.17000000000000004,0.83
7562.3262409638555,0.07864960352514477,0.9213503964748554,1.0,1.1573725059008955e-47,0.0,1.0,1.622896552842497e-17,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.115324071120557e-88,4.134621167046498e-59,1.7315660429496673e-46,0.03934877578694036,0.17000000000000004,0.83
7553.047281124498,0.07864960352515125,0.9213503964748491,1.0,6.106720591986694e-47,0.0,1.0,1.6208126853010626e-17,1.0,1.0,1.0,1.0,1.0,1.0,8.597616800009043e-88,2.4221764396907998e-58,9.120752791929512e-46,0.03934877578694036,0.17000000000000004,0.83
7543.768321285141,0.07864960352517411,0.9213503964748263,0.9999999999999999,3.163411450141996e-46,0.0,0.9999999999999999,2.992183760755051e-17,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,6.136966214554232e-87,1.3568820318946028e-57,4.718584969252341e-45,0.039297820581266754,0.17000000000000004,0.83
7534.489361445783,0.07864960352525124,0.9213503964747486,0.9999999999999997,1.6414917169935343e-45,0.0,0.9999999999999997,3.14427157911546e-17,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,4.100903327067089e-86,7.386485899899352e-57,2.4462710622583313e-44,0.039221948359882144,0.17000000000000004,0.83
7525.210401606426,0.07864960352550149,0.9213503964744982,1.0,8.740081633087863e-45,0.0,1.0,4.568992991832213e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.601812465875157e-85,3.997719116962369e-56,1.3017170918034513e-43,0.039146076138497556,0.17000000000000004,0.83
7515.9314417670685,0.07864960352628785,0.9213503964737118,0.9999999999999997,4.888736387775159e-44,0.0,0.9999999999999997,5.637871846444264e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5982848435560673e-84,2.2201358777486957e-55,7.276607364106085e-43,0.039120445079710894,0.17000000000000004,0.83
7506.652481927711,0.07864960352869743,0.9213503964713028,1.0,2.911049720190536e-43,0.0,1.0,7.554911079417989e-17,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,9.732122747652866e-84,1.3106649999223463e-54,4.3284305837812646e-42,0.03915915539674385,0.17000000000000004,0.83
7497.373522088354,0.07864960353594898,0.9213503964640506,0.9999999999999999,1.8429950379165542e-42,0.0,0.9999999999999999,6.814615816245822e-17,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,6.086352102405425e-83,8.488920442479945e-54,2.7354061911976807e-41,0.03919786571377683,0.17000000000000004,0.83
7488.094562248996,0.07864960355778806,0.9213503964422117,1.0,1.228760494470081e-41,0.0,1.0,6.512955793212122e-17,1.0,1.0,1.0,1.0,1.0,1.0,4.2639760726758725e-82,6.176902551167115e-53,1.8187628832509568e-40,0.03938538463492014,0.17000000000000004,0.83
7478.815602409639,0.07864960362477728,0.9213503963752228,0.9999999999999999,8.401336168874342e-41,0.0,0.9999999999999999,8.802311076543337e-17,1.0,1.0,1.0,1.0,1.0,1.0,3.729605676127894e-81,4.966983647670311e-52,1.2391030200764108e-39,0.04014875208681015,0.17000000000000004,0.83
7469.536642570281,0.07864960382865956,0.9213503961713401,0.9999999999999999,5.549896400077953e-40,0.0,0.9999999999999999,1.0389499664266243e-16,1.0,1.0,1.0,1.0,1.0,1.0,3.864639172484305e-80,4.0307137367926734e-51,8.153130197791964e-39,0.04091211953870018,0.17000000000000004,0.83
7460.257682730924,0.07864960443525225,0.9213503955647474,0.9999999999999999,3.422654333616203e-39,0.0,0.9999999999999999,9.808450963945497e-17,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,4.219798983612471e-79,3.1037230447571533e-50,5.007717471023626e-38,0.04167548699059017,0.17000000000000004,0.83
7450.978722891567,0.07864960616405338,0.9213503938359465,0.9999999999999999,1.922691828647189e-38,0.0,0.9999999999999999,8.85315589814641e-17,1.0,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,4.346042186706358e-78,2.1731320664108855e-49,2.8019724338371128e-37,0.04213175034200806,0.17000000000000004,0.83
7441.699763052209,0.0786496108792031,0.9213503891207968,0.9999999999999998,9.79819172578458e-38,0.0,0.9999999999999998,9.361981206924572e-17,1.0,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,4.077051775272841e-77,1.374109371648472e-48,1.4224199353656305e-36,0.04257924160690912,0.17000000000000004,0.83
7432.420803212852,0.07864962295745824,0.9213503770425419,0.9999999999999999,4.4434844982215875e-37,0.0,0.9999999999999999,8.64958621201915e-17,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,3.3115652501384375e-76,7.645433932751743e-48,6.427356617577532e-36,0.04302673287181014,0.17000000000000004,0.83
