[D2DGA] 开始环空二维模拟 total_t=10595s nz=250 ny=40
  [D2DGA] 进度 0% (1s/10595s, dt=1.484s)
  [D2DGA] 进度 10% (1060s/10595s, dt=1.394s)
  [D2DGA] 进度 20% (2120s/10595s, dt=1.073s)
  [D2DGA] 进度 30% (3179s/10595s, dt=0.924s)
  [D2DGA] 进度 40% (4238s/10595s, dt=0.924s)
  [D2DGA] 进度 50% (5298s/10595s, dt=1.073s)
  [D2DGA] 进度 60% (6357s/10595s, dt=0.924s)
  [D2DGA] 进度 70% (7417s/10595s, dt=0.767s)
  [D2DGA] 进度 80% (8476s/10595s, dt=0.767s)
  [D2DGA] 进度 90% (9536s/10595s, dt=0.674s)
  [D2DGA] 进度 100% (10595s/10595s, dt=0.179s)
