case,eta_E,eta_wide_half,eta_narrow_half,starved_vol_frac,wide_vol_frac,front_narrow_m,front_span_m,elapsed_s
A_SO=0.35,0.4931664993206359,0.7016913672565835,0.07463925303680573,0.5103723825065467,0.6620133409198207,49.55823293172691,2468.0,57.6
A_SO=0.45,0.4931664993206359,0.7016913672565835,0.07463925303680573,0.5103723825065467,0.6620133409198207,49.55823293172691,2468.0,69.5
A_SO=0.55,0.4744268410253684,0.7007776576571347,0.0793841916896122,0.5325378905815553,0.6302253675124873,69.38152610441767,2468.0,59.8
A_SO=0.65,0.4887193719709271,0.7295193328046585,0.11979431966868835,0.5182160036714539,0.5984373941051538,138.76305220883535,2468.0,60.6
A_SO=0.75,0.6332404350836448,0.8357888221252965,0.3599473198631746,0.37069374693291834,0.5666494206978205,842.4899598393575,2468.0,54.1
A_实测口径(0.38-0.48),0.49194279093047893,0.7007263283085512,0.07450209746235341,0.5119317102406646,0.6611738358762207,49.55823293172691,2468.0,52.6
b1_eclip0.90_SO=0.40,0.4992997998144084,0.6978559618262744,0.07136698886164325,0.5029366729394597,0.6779073276234873,49.55823293172691,2468.0,50.5
b1_eclip0.90_SO=0.55,0.4744268410253684,0.7007776576571347,0.0793841916896122,0.5325378905815553,0.6302253675124873,69.38152610441767,2468.0,59.8
b1_eclip0.90_SO=0.70,0.5964962290597686,0.8175909390224597,0.27680752390609575,0.40622207826948264,0.5825434074014872,436.11244979919684,2468.0,56.1
b2_gaplaw_off_SO=0.40,0.5556290758899948,0.7704886356732225,0.12007769244416172,0.44257327708075234,0.6620133409198207,59.46987951807229,2468.0,48.0
b2_gaplaw_off_SO=0.55,0.5373989026022412,0.7632999543053735,0.13920723046997632,0.464450070647067,0.6302253675124873,89.20481927710844,2468.0,54.8
b2_gaplaw_off_SO=0.70,0.7147054503856763,0.9125714375376163,0.4257014546131596,0.28317277949482456,0.5825434074014872,941.6064257028113,2468.0,50.4
b3_fsafety1.6_SO=0.40,0.6238537515895024,0.8520841946663354,0.15701938230377308,0.36965584925046036,0.6620133409198207,49.55823293172691,2468.0,50.7
b3_fsafety1.6_SO=0.55,0.6421879617381138,0.8823169796228276,0.21298630397643323,0.3510587170135356,0.6302253675124873,89.20481927710844,2468.0,51.7
b3_fsafety1.6_SO=0.70,0.7193332884077885,0.9253007219272976,0.41762514765465125,0.2774506414814301,0.5825434074014872,941.6064257028113,2468.0,58.1
b4_M1000_SO=0.40,0.4931657401569286,0.7016904162617673,0.07463893636738864,0.5103723825065467,0.6620133409198207,49.55823293172691,2468.0,56.0
b4_M1000_SO=0.55,0.47442260673786435,0.7007721444439738,0.07938247014288492,0.5325378905815553,0.6302253675124873,69.38152610441767,2468.0,60.2
b4_M1000_SO=0.70,0.5964885242653836,0.817580255374449,0.2768049529693628,0.40622207826948264,0.5825434074014872,436.11244979919684,2468.0,55.6
b5_dispaz0.002_SO=0.40,0.4520911966941324,0.6569047609249127,0.04497569663682081,0.5517383966137663,0.6620133409198207,49.55823293172691,2468.0,55.8
b5_dispaz0.002_SO=0.55,0.4341960808324765,0.6552940765608497,0.05214724797898569,0.5669511352437374,0.6302253675124873,69.38152610441767,2468.0,56.5
b5_dispaz0.002_SO=0.70,0.5882927115051068,0.8118166559425886,0.2661213895038965,0.4104926771697052,0.5825434074014872,366.73092369477916,2468.0,52.7
