井,变体,η_E,η_N,stop_s,窄边前缘m,窄边到位率,窜槽指数,混浆指数,耗时s
hu103,基线,0.9862,0.9386,8012.9,2233.3,1.0,0.0,0.0488,94.2
hu103,排量-40%,0.4865,0.0912,13354.8,188.4,0.0843,0.9157,0.2711,95.5
hu103,排量-20%,0.7672,0.4706,10016.1,1094.2,0.49,0.51,0.2358,95.6
hu103,排量+20%,0.9913,0.96,6677.4,2233.3,1.0,0.0,0.0318,86.4
hu103,排量+40%,0.9934,0.9697,5723.5,2233.3,1.0,0.0,0.0245,85.0
hu103,隔离液密度-0.10,0.9836,0.9282,8012.9,2233.3,1.0,0.0,0.0573,98.6
hu103,隔离液密度+0.10,0.9836,0.9284,8012.9,2233.3,1.0,0.0,0.0571,76.2
hu103,水泥n-0.1,0.4401,0.0542,8012.9,98.7,0.0442,0.9558,0.2755,117.9
hu103,水泥n+0.1,0.9961,0.9834,8012.9,2233.3,1.0,0.0,0.0146,109.0
hu103,泥浆PV-30%,0.9856,0.9402,8012.9,2233.3,1.0,0.0,0.0514,126.0
hu103,泥浆PV+30%,0.9848,0.931,8012.9,2233.3,1.0,0.0,0.0526,92.3
hu101,基线,0.4921,0.0314,13742.7,49.6,0.0201,0.9799,0.3487,107.2
hu101,排量-40%,0.4919,0.04,22904.5,59.5,0.0241,0.9759,0.4066,101.2
hu101,排量-20%,0.49,0.0342,17178.4,59.5,0.0241,0.9759,0.3738,101.5
hu101,排量+20%,0.4951,0.0302,11452.3,49.6,0.0201,0.9799,0.3287,97.4
hu101,排量+40%,0.4968,0.0291,9816.2,49.6,0.0201,0.9799,0.3134,97.7
hu101,隔离液密度-0.10,0.4944,0.0312,13742.7,49.6,0.0201,0.9799,0.3656,108.6
hu101,隔离液密度+0.10,0.4848,0.0302,13742.7,49.6,0.0201,0.9799,0.3474,90.0
hu101,水泥n-0.1,0.4525,0.0286,13742.7,49.6,0.0201,0.9799,0.3739,124.9
hu101,水泥n+0.1,0.4763,0.0366,13742.7,69.4,0.0281,0.9719,0.3521,97.1
hu101,泥浆PV-30%,0.4838,0.0312,13742.7,49.6,0.0201,0.9799,0.3489,94.4
hu101,泥浆PV+30%,0.4911,0.0311,13742.7,49.6,0.0201,0.9799,0.3525,94.1
ht1_003,standoff-0.1,0.9907,0.9565,10255.2,2310.5,1.0,0.0,0.0339,45.3
ht1_003,standoff+0.1,0.9992,0.9985,10255.2,2310.5,1.0,0.0,0.0026,32.8
