index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入先导浆（设计）,平衡液,wash,28.0,1.2,23.3333,0,23.3333,28.0,False,设计: 先导浆 28m³@1.2m³/min，密度1.75g/cm³，泵压12.7-16.1MPa。
1,注入隔离液1（设计）,隔离液1,spacer,16.0,1.2,13.3333,23.3333,36.6667,44.0,False,设计: 隔离液1 16m³@1.2m³/min，密度2.05g/cm³（实际排量1.0）。
2,注入隔离液2（设计）,隔离液2,spacer,10.0,1.2,8.33333,36.6667,45,54.0,False,设计: 隔离液2 10m³@1.2m³/min，密度1.95g/cm³（实际排量1.0）。
3,注入领浆（设计）,领浆,lead,39.0,1.2,32.5,45,77.5,93.0,False,设计: 领浆 39m³@1.2m³/min，密度2.05g/cm³，40min，泵压17-15MPa。
4,注入尾浆（设计）,尾浆,tail,28.0,1.4,20,77.5,97.5,121.0,False,设计: 尾浆 28m³@1.4m³/min（1.4-1.2），密度1.95g/cm³，30min。
5,注入压塞液（设计）,压塞液,other,2.0,1.0,2,97.5,99.5,123.0,False,设计: 压塞液 2m³@1.0m³/min（1.0-1.4），密度1.95g/cm³。
6,替钻井液(设计一),替钻井液,displacement,25.0,1.6,15.625,99.5,115.125,148.0,False,设计: 钻井液 25m³@1.6m³/min（固井计量罐）。
7,替保护液(设计),保护液,displacement,14.0,1.4,10,115.125,125.125,162.0,False,设计: 保护液 14m³@1.4m³/min（批混车混配）。
8,替钻井液(设计二),替钻井液,displacement,8.0,1.2,6.66667,125.125,131.792,170.0,False,设计: 钻井液 8m³@1.2m³/min。
9,替钻井液(设计三),替钻井液,displacement,14.0,1.0,14,131.792,145.792,184.0,False,设计: 钻井液 14m³@1.0m³/min。
10,替钻井液(设计四),替钻井液,displacement,16.0,0.8,20,145.792,165.792,200.0,False,设计: 钻井液 16m³@0.8m³/min。
11,替钻井液(设计末段),替钻井液,displacement,12.9,0.7,18.4286,165.792,184.22,212.9,False,设计: 钻井液 12.9m³@0.7m³/min（末段；理论顶替总量含后置液 91.9m³）。
