井号,井名,窗口名,窗口类型,窗口顶md,窗口底md,模型窗口η_E,模型窗口η_N,CBL段顶md,CBL段底md,CBL合格率%,CBL质量口径,窗口覆盖率,CBL段覆盖率,纳入现场验证,可比性,备注
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,5245,7581,0.3,不合格,1.0000,1.0000,1,可比,另有6个局部数字段口径并存
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,5316,7581,0.2,不合格,0.9696,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,7495,7550,8.8,不合格,0.0235,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,7482,7560,6.2,不合格,0.0334,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,5578,7581,0.2,差,0.8574,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,11,7581,29.99,不合格,1.0000,0.3086,1,部分可比,次要口径
ht1_004,呼1-004,CBL评价井段(尾管段),cbl,5245,7581,0.1106,0.0364,11,7581,30,不合格,1.0000,0.3086,1,部分可比,次要口径
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,7495,7550,8.8,不合格,1.0000,0.5636,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,7482,7560,6.2,不合格,1.0000,0.3974,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,5578,7581,0.2,差,1.0000,0.0155,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,5316,7581,0.2,不合格,1.0000,0.0137,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,5245,7581,0.3,不合格,1.0000,0.0133,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,11,7581,29.99,不合格,1.0000,0.0041,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段1(地层目标),formation_target,7495,7526,0.7855,0.7242,11,7581,30,不合格,1.0000,0.0041,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,7495,7550,8.8,不合格,1.0000,0.3455,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,7482,7560,6.2,不合格,1.0000,0.2436,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,5578,7581,0.2,差,1.0000,0.0095,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,5316,7581,0.2,不合格,1.0000,0.0084,0,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,5245,7581,0.3,不合格,1.0000,0.0081,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,11,7581,29.99,不合格,1.0000,0.0025,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,目的井段2(地层目标),formation_target,7531,7550,0.8651,0.8200,11,7581,30,不合格,1.0000,0.0025,1,部分可比,窗口跨多个CBL数字段口径（无单一总口径）
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,7495,7550,8.8,不合格,0.7051,1.0000,0,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,7482,7560,6.2,不合格,1.0000,1.0000,0,可比,另有6个局部数字段口径并存
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,5578,7581,0.2,差,1.0000,0.0389,0,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,5316,7581,0.2,不合格,1.0000,0.0344,0,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,5245,7581,0.3,不合格,1.0000,0.0334,1,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,11,7581,29.99,不合格,1.0000,0.0103,1,部分可比,次要口径
ht1_004,呼1-004,油气水层段(红线),oil_gas_show,7482,7560,0.7805,0.7061,11,7581,30,不合格,1.0000,0.0103,1,部分可比,次要口径
