井名,变体,η_E,η_N,窜槽,混浆,失稳,耗时_s,Δη_E_vs_基线,Δη_N_vs_基线
呼探1,r0_base,0.926045658356997,0.727279875053684,0.253012048192709,0.14287170319892983,0.5170011544239006,37.6,-0.02673860543316564,-0.09360210281248282
呼探1,r2_i3,0.9260460363462227,0.7272805157110979,0.253012048192709,0.1428667086891391,0.5171158468124339,53.6,-0.026738227443939944,-0.09360146215506893
呼探1,dt_fixed,0.9529700074346061,0.8213726051281951,0.06024096385540686,0.10862707075318975,0.1658889156012303,42.9,0.00018574364444345903,0.0004906272620283092
呼101,r0_base,0.6482357211366264,0.06544874086245635,0.9759036144574358,0.3040718421035366,1.0,39.9,0.15629293020614748,0.03407035490050845
呼101,r2_i3,0.6482361394721899,0.06544885370300332,0.9759036144574358,0.30407306121572814,1.0,47.4,0.156293348541711,0.034070467741055425
呼101,dt_fixed,0.4647618518397007,0.03081191907026727,0.9799196787144625,0.3673128396335383,1.0,25.9,-0.027180939090778233,-0.0005664668916806267
呼102,r0_base,0.98304017499887,0.8876312369384474,0.0,0.05659742203951505,0.0,68.2,0.011211934668112766,0.08156129491193453
呼102,r2_i3,0.9830396880303127,0.8876286193209485,0.0,0.05659905312503507,0.0,91.0,0.01121144769955551,0.08155867729443567
呼102,dt_fixed,0.9722539726500978,0.8010051654985034,0.3132530120478493,0.07381313772500721,0.7749122175014298,23.3,0.0004257323193406215,-0.005064776528009407
呼103,r0_base,0.9926330967562281,0.964375739370953,0.0,0.027234936979923716,0.0,39.3,0.005767983804985444,0.025209129886534565
呼103,r2_i3,0.9926328844901899,0.9643748175203517,0.0,0.02723569410072035,0.0,51.6,0.005767771538947253,0.025208208035933266
呼103,dt_fixed,0.9870504515276814,0.9392995074076056,0.0,0.0460975511469995,0.0,16.9,0.00018533857643876495,0.00013289792318715854
呼探1-001,r0_base,0.9907905275433772,0.9797724852481383,0.0,0.033763642590385425,0.0,19.8,0.0005959861152043944,0.003394030713393059
呼探1-001,r2_i3,0.990789632680244,0.9797727996070857,0.0,0.03376647252420368,0.0,25.4,0.0005950912520712448,0.0033943450723404878
呼探1-001,dt_fixed,0.9907059681787302,0.9772118833983527,0.0,0.03398778149611004,0.0,20.8,0.0005114267505574865,0.0008334288636074882
呼探1-002,r0_base,0.9777907978988206,0.9866437392815597,0.0,0.02176864281129505,0.0,34.3,-0.00021848996995232906,-0.0002290153566569808
呼探1-002,r2_i3,0.9777958262039621,0.9866448626276452,0.0,0.02176637224810792,0.0,43.5,-0.0002134616648108434,-0.00022789201057149544
呼探1-002,dt_fixed,0.9778403079490301,0.9872973614095969,0.0,0.01921465643152329,0.0,22.8,-0.00016897991974285098,0.0004246067713802315
呼1-003,r0_base,0.9979044196187474,0.9904438004340824,0.0,0.00812395460484754,0.0,17.4,0.0006394885269241923,0.002891543589104262
呼1-003,r2_i3,0.9979044086439648,0.9904437622667909,0.0,0.00812399812467162,0.0,22.9,0.0006394775521415541,0.0028915054218127123
呼1-003,dt_fixed,0.9973732010203288,0.9879947816552791,0.0,0.010134253188472934,0.0,18.6,0.0001082699285055444,0.00044252481030093715
呼1-004,r0_base,0.9986571187099254,0.9943329230974033,0.0,0.005271144599930227,0.0,31.1,0.00013258372094593351,0.0005598295993111124
呼1-004,r2_i3,0.9986571516507583,0.9943329936344001,0.0,0.005271014192005925,0.0,37.6,0.00013261666177888376,0.0005599001363079115
呼1-004,dt_fixed,0.9986833997763294,0.9944041330727154,0.0,0.005173158715932569,0.0,20.1,0.0001588647873499438,0.0006310395746231823
呼103,standoff_-0.30,0.5081680392309917,0.03014609037394931,0.9799196787144206,0.23601470577646494,1.0,41.0,-0.47869707372025094,-0.9090205191104691
呼103,standoff_-0.20,0.5139519955121162,0.035015632339418436,0.9759036144573943,0.2410203067896057,1.0,46.2,-0.47291311743912645,-0.904150977145
呼103,standoff_-0.15,0.5325190476565134,0.04337763504510308,0.9678714859433417,0.24211043930246312,1.0,45.2,-0.4543460652947293,-0.8957889744393154
呼103,standoff_-0.05,0.974763631421996,0.8843497545833365,0.0,0.08320642552369936,0.0,46.0,-0.012101481529246727,-0.0548168549010819
呼103,standoff_+0.05,0.9944056120842668,0.974092298822402,0.0,0.020982388369536496,0.0,47.2,0.0075404991330241256,0.03492568933798357
呼103,standoff_+0.20,0.9993745007625561,0.9976430817839763,0.0,0.002465819887610136,0.0,34.1,0.012509387811313388,0.05847647229955788
呼103,standoff_+0.30,0.999731052301294,0.9991411825331693,0.0,0.0010673084058555448,0.0,18.5,0.012865939350051314,0.05997457304875087
呼103,spacer_dens_-300,0.983886728216209,0.9276601523169787,0.0,0.05639024561314071,0.0,44.6,-0.0029783847350336456,-0.011506457167439699
呼103,spacer_dens_-200,0.9861204888686769,0.9360838728529438,0.0,0.04914208618462753,0.0,51.8,-0.0007446240825658146,-0.003082736631474625
呼103,spacer_dens_+200,0.982852640610639,0.9240781749998831,0.0,0.05963921367862648,0.0,58.3,-0.0040124723406036455,-0.01508843448453534
呼103,spacer_dens_+300,0.9819273191588386,0.9219945311313983,0.0,0.06253247065515359,0.0,55.5,-0.00493779379240411,-0.017172078353020148
