井,变体,η_E,η_N,stop_s,入环空水泥_m3,域内水泥_m3,域满体积_m3,守恒率,宽边前缘m,窄边前缘m,窄边到位率,混浆指数,壁面冻结占比,等效隔离液密度,等效隔离液名,standoff实测标记,耗时s
hu101,基线双关,0.4921,0.0314,13742.7,72.19,32.25,65.53,0.4467,2468.0,49.6,0.0201,0.3487,0.4147,1925.0,平衡液+驱油隔离液,False,66.7
hu101,contact_time开,0.4922,0.0314,13742.7,72.19,32.25,65.53,0.4467,2468.0,49.6,0.0201,0.3487,0.4147,1925.0,平衡液+驱油隔离液,False,59.4
hu101,plug_face开,0.4921,0.0314,13742.7,72.19,32.25,65.53,0.4467,2468.0,49.6,0.0201,0.3487,0.4147,1925.0,平衡液+驱油隔离液,False,62.7
hu101,双开,0.4922,0.0314,13742.7,72.19,32.25,65.53,0.4467,2468.0,49.6,0.0201,0.3487,0.4147,1925.0,平衡液+驱油隔离液,False,58.8
hu102,基线双关,0.9718,0.8061,11737.1,16.86,12.03,12.38,0.7133,911.9,666.5,0.7309,0.0793,0.0,1999.9999999999998,平衡液+隔离液+冲洗液,False,119.9
hu102,contact_time开,0.9718,0.8059,11737.1,16.86,12.03,12.38,0.7135,911.9,662.9,0.7269,0.0794,0.0,1999.9999999999998,平衡液+隔离液+冲洗液,False,109.0
hu102,plug_face开,0.9718,0.8061,11737.1,16.86,12.03,12.38,0.7133,911.9,666.5,0.7309,0.0793,0.0,1999.9999999999998,平衡液+隔离液+冲洗液,False,104.4
hu102,双开,0.9718,0.8059,11737.1,16.86,12.03,12.38,0.7135,911.9,662.9,0.7269,0.0794,0.0,1999.9999999999998,平衡液+隔离液+冲洗液,False,104.4
hu103,基线双关,0.9862,0.9386,8012.9,84.89,73.97,75.01,0.8714,2233.3,2233.3,1.0,0.0488,0.0,1956.6666666666665,隔离液1+隔离液2+隔离液(实际),False,51.4
hu103,contact_time开,0.9861,0.9386,8012.9,84.88,73.97,75.01,0.8714,2233.3,2233.3,1.0,0.0491,0.0,1956.6666666666665,隔离液1+隔离液2+隔离液(实际),False,51.6
hu103,plug_face开,0.9862,0.9386,8012.9,84.89,73.97,75.01,0.8714,2233.3,2233.3,1.0,0.0488,0.0,1956.6666666666665,隔离液1+隔离液2+隔离液(实际),False,51.7
hu103,双开,0.9861,0.9386,8012.9,84.88,73.97,75.01,0.8714,2233.3,2233.3,1.0,0.0491,0.0,1956.6666666666665,隔离液1+隔离液2+隔离液(实际),False,60.2
hu1,基线双关,0.9528,0.8209,20944.4,60.11,57.07,59.9,0.9496,4077.7,3832.1,0.9398,0.109,0.0107,2025.0,平衡液(先导泥浆)+驱油隔离液,False,64.3
hu1,contact_time开,0.9528,0.8209,20944.4,60.11,57.07,59.9,0.9496,4077.7,3832.1,0.9398,0.109,0.0107,2025.0,平衡液(先导泥浆)+驱油隔离液,False,54.9
hu1,plug_face开,0.9528,0.8209,20944.4,60.11,57.07,59.9,0.9496,4077.7,3832.1,0.9398,0.109,0.0107,2025.0,平衡液(先导泥浆)+驱油隔离液,False,54.8
hu1,双开,0.9528,0.8209,20944.4,60.11,57.07,59.9,0.9496,4077.7,3832.1,0.9398,0.109,0.0107,2025.0,平衡液(先导泥浆)+驱油隔离液,False,64.4
hu2,基线双关,0.9846,0.9894,11663.6,39.34,33.0,33.52,0.8389,2261.5,2261.5,1.0,0.0294,0.0,1950.0,平衡液+隔离液,False,49.4
