[D2DGA] 开始环空二维模拟 total_t=8013s nz=250 ny=40
  [D2DGA] 进度 0% (3s/8013s, dt=2.661s)
  [D2DGA] 进度 10% (802s/8013s, dt=1.402s)
  [D2DGA] 进度 20% (1603s/8013s, dt=1.402s)
  [D2DGA] 进度 30% (2405s/8013s, dt=1.260s)
  [D2DGA] 进度 40% (3206s/8013s, dt=1.265s)
  [D2DGA] 进度 50% (4007s/8013s, dt=1.265s)
  [D2DGA] 进度 60% (4809s/8013s, dt=1.265s)
  [D2DGA] 进度 70% (5609s/8013s, dt=1.323s)
  [D2DGA] 进度 80% (6411s/8013s, dt=1.324s)
  [D2DGA] 进度 90% (7212s/8013s, dt=1.478s)
  [D2DGA] 进度 100% (8013s/8013s, dt=1.608s)
