depth_md_m,hole_diameter_mm,inclination_deg,source
5536.662,260.0,0.28,"等效外推(5536.662-5755m无实测,取首测点值)"
5755.0,260.00,0.28,现场实测(20313.doc电测井径/井斜)
5775.0,290.11,0.51,现场实测(20313.doc电测井径/井斜)
5805.0,295.61,0.61,现场实测(20313.doc电测井径/井斜)
5835.0,270.00,0.33,现场实测(20313.doc电测井径/井斜)
5865.0,274.67,0.15,现场实测(20313.doc电测井径/井斜)
5895.0,266.53,0.16,现场实测(20313.doc电测井径/井斜)
5925.0,266.99,0.21,现场实测(20313.doc电测井径/井斜)
5955.0,268.93,0.23,现场实测(20313.doc电测井径/井斜)
5985.0,264.85,0.19,现场实测(20313.doc电测井径/井斜)
6015.0,267.76,0.32,现场实测(20313.doc电测井径/井斜)
6045.0,277.27,0.46,现场实测(20313.doc电测井径/井斜)
6075.0,266.54,0.24,现场实测(20313.doc电测井径/井斜)
6105.0,271.72,0.31,现场实测(20313.doc电测井径/井斜)
6135.0,268.09,0.37,现场实测(20313.doc电测井径/井斜)
6165.0,271.90,0.24,现场实测(20313.doc电测井径/井斜)
6195.0,271.19,0.32,现场实测(20313.doc电测井径/井斜)
6225.0,271.05,0.33,现场实测(20313.doc电测井径/井斜)
6255.0,271.03,0.31,现场实测(20313.doc电测井径/井斜)
6285.0,271.84,0.30,现场实测(20313.doc电测井径/井斜)
6315.0,270.64,0.30,现场实测(20313.doc电测井径/井斜)
6345.0,270.67,0.30,现场实测(20313.doc电测井径/井斜)
6375.0,269.99,0.29,现场实测(20313.doc电测井径/井斜)
6405.0,270.38,0.24,现场实测(20313.doc电测井径/井斜)
6435.0,270.40,0.19,现场实测(20313.doc电测井径/井斜)
6465.0,270.73,0.20,现场实测(20313.doc电测井径/井斜)
6495.0,270.15,0.21,现场实测(20313.doc电测井径/井斜)
6525.0,269.91,0.20,现场实测(20313.doc电测井径/井斜)
6555.0,269.90,0.18,现场实测(20313.doc电测井径/井斜)
6585.0,270.00,0.18,现场实测(20313.doc电测井径/井斜)
6615.0,270.69,0.20,现场实测(20313.doc电测井径/井斜)
6645.0,270.30,0.19,现场实测(20313.doc电测井径/井斜)
6675.0,270.26,0.17,现场实测(20313.doc电测井径/井斜)
6705.0,270.40,0.19,现场实测(20313.doc电测井径/井斜)
6735.0,270.45,0.18,现场实测(20313.doc电测井径/井斜)
6765.0,270.63,0.19,现场实测(20313.doc电测井径/井斜)
6795.0,268.18,0.20,现场实测(20313.doc电测井径/井斜)
6825.0,269.20,0.14,现场实测(20313.doc电测井径/井斜)
6855.0,268.82,0.21,现场实测(20313.doc电测井径/井斜)
6885.0,266.95,0.38,现场实测(20313.doc电测井径/井斜)
6915.0,264.62,0.46,现场实测(20313.doc电测井径/井斜)
6945.0,262.61,0.54,现场实测(20313.doc电测井径/井斜)
6975.0,269.20,0.36,现场实测(20313.doc电测井径/井斜)
6995.0,269.20,0.12,现场实测(20313.doc电测井径/井斜)
7010.0,268.93,0.17,现场实测(20313.doc电测井径/井斜)
7035.0,268.81,0.17,现场实测(20313.doc电测井径/井斜)
7065.0,268.46,0.15,现场实测(20313.doc电测井径/井斜)
7095.0,266.70,0.17,现场实测(20313.doc电测井径/井斜)
7125.0,268.14,0.18,现场实测(20313.doc电测井径/井斜)
7155.0,269.36,0.28,现场实测(20313.doc电测井径/井斜)
7185.0,265.53,0.38,现场实测(20313.doc电测井径/井斜)
7215.0,264.82,0.47,现场实测(20313.doc电测井径/井斜)
7245.0,265.57,0.54,现场实测(20313.doc电测井径/井斜)
7275.0,265.43,0.55,现场实测(20313.doc电测井径/井斜)
7305.0,263.99,0.53,现场实测(20313.doc电测井径/井斜)
7327.0,263.99,0.51,现场实测(20313.doc电测井径/井斜)
7342.0,263.72,0.50,现场实测(20313.doc电测井径/井斜)
7365.0,264.31,0.48,现场实测(20313.doc电测井径/井斜)
7395.0,248.08,0.66,现场实测(20313.doc电测井径/井斜)
7425.0,240.86,0.76,现场实测(20313.doc电测井径/井斜)
7455.0,255.27,0.70,现场实测(20313.doc电测井径/井斜)
7485.0,242.36,0.69,现场实测(20313.doc电测井径/井斜)
7515.0,257.85,0.64,现场实测(20313.doc电测井径/井斜)
7545.0,236.03,0.71,现场实测(20313.doc电测井径/井斜)
7575.0,217.69,0.92,现场实测(20313.doc电测井径/井斜)
7605.0,227.29,1.12,现场实测(20313.doc电测井径/井斜)
7635.0,229.82,1.38,现场实测(20313.doc电测井径/井斜)
7665.0,248.35,1.46,现场实测(20313.doc电测井径/井斜)
7695.0,261.48,1.27,现场实测(20313.doc电测井径/井斜)
7740.0,256.67,1.14,现场实测(20313.doc电测井径/井斜)
