depth_md_m,quality_proxy,quality_proxy_pct,simulated_effective_efficiency,simulated_minus_cbl_proxy
5500,0.963,96.3,0.18072962306833784,-0.7822703769316621
5510,0.963,96.3,0.19704795331678665,-0.7659520466832133
5520,0.963,96.3,0.3054771820997012,-0.6575228179002988
5530,0.959,95.9,0.18977563560105393,-0.769224364398946
5540,0.963,96.3,0.4989014538401105,-0.4640985461598895
5550,0.963,96.3,0.2087033989911269,-0.7542966010088731
5560,0.959,95.9,0.1859388993080305,-0.7730611006919694
5570,0.956,95.6,0.25172671537205266,-0.7042732846279474
5580,0.956,95.6,0.16927819757993628,-0.7867218024200637
5590,0.952,95.2,0.2283986381680142,-0.7236013618319858
5600,0.956,95.6,0.40503467262097215,-0.5509653273790278
5610,0.959,95.9,0.25475630030798424,-0.7042436996920157
5620,0.956,95.6,0.37315783151316584,-0.5828421684868341
5630,0.952,95.2,0.2851861244526649,-0.6668138755473351
5640,0.963,96.3,0.20056452608601277,-0.7624354739139871
5650,0.956,95.6,0.23411168028657187,-0.721888319713428
5660,0.956,95.6,0.2896299534386702,-0.6663700465613298
5670,0.952,95.2,0.19105146436408937,-0.7609485356359106
5680,0.959,95.9,0.22173512649039878,-0.7372648735096012
5690,0.959,95.9,0.1734489988066427,-0.7855510011933573
5700,0.956,95.6,0.2928048927013674,-0.6631951072986326
5710,0.952,95.2,0.2098255019885086,-0.7421744980114914
5720,0.952,95.2,0.3042972553478236,-0.6477027446521764
5730,0.952,95.2,0.3220983767858509,-0.629901623214149
5740,0.952,95.2,0.17912638052894195,-0.772873619471058
5750,0.952,95.2,0.1492154934180815,-0.8027845065819185
5760,0.959,95.9,0.5099130336826646,-0.44908696631733536
5770,0.952,95.2,0.4016377897893069,-0.5503622102106931
5780,0.963,96.3,0.1709575500901379,-0.7920424499098621
5790,0.963,96.3,0.22667109100776953,-0.7363289089922305
5800,0.959,95.9,0.2773711057366424,-0.6816288942633575
5810,0.967,96.7,0.21192092905815776,-0.7550790709418422
5820,0.959,95.9,0.19224300459965296,-0.766756995400347
5830,0.959,95.9,0.38039652189266043,-0.5786034781073395
5840,0.952,95.2,0.19672052559706305,-0.755279474402937
5850,0.952,95.2,0.2570588704470122,-0.6949411295529877
5860,0.959,95.9,0.3499094592304279,-0.6090905407695721
5870,0.959,95.9,0.5680469618857108,-0.39095303811428916
5880,0.948,94.8,0.26116604938919485,-0.6868339506108051
5890,0.956,95.6,0.30737191405092695,-0.648628085949073
5900,0.956,95.6,0.44254417720245154,-0.5134558227975484
5910,0.959,95.9,0.319597367585841,-0.639402632414159
5920,0.963,96.3,0.166877083959808,-0.7961229160401919
5930,0.963,96.3,0.2905255050228686,-0.6724744949771313
5940,0.963,96.3,0.23712667198482446,-0.7258733280151755
5950,0.941,94.1,0.1680587137637662,-0.7729412862362337
5960,0.956,95.6,0.5831960973839667,-0.37280390261603324
5970,0.952,95.2,0.41006040741129224,-0.5419395925887077
5980,0.944,94.4,0.22843824891152692,-0.7155617510884731
5990,0.944,94.4,0.22443751247359403,-0.719562487526406
6000,0.956,95.6,0.26295034372240234,-0.6930496562775976
6010,0.937,93.7,0.7273029162294661,-0.20969708377053398
6020,0.926,92.6,0.25161757188270895,-0.6743824281172911
6030,0.963,96.3,0.3317686441890059,-0.6312313558109941
6040,0.941,94.1,0.23575961643175675,-0.7052403835682433
6050,0.074,7.4,0.21264017519762068,0.13864017519762067
6060,0.074,7.4,0.15859286103055514,0.08459286103055515
6070,0.074,7.4,0.2665643693987629,0.19256436939876287
6080,0.074,7.4,0.2950256383710011,0.2210256383710011
6090,0.074,7.4,0.21586476718839845,0.14186476718839847
6100,0.074,7.4,0.27063954182881145,0.19663954182881144
6110,0.074,7.4,0.15382334427811095,0.07982334427811096
6120,0.074,7.4,0.30746717258906536,0.23346717258906535
6130,0.074,7.4,0.7693811637912108,0.6953811637912108
6140,0.07,7.0,0.7692576117048663,0.6992576117048663
6150,0.074,7.4,0.7699271326291778,0.6959271326291778
6160,0.074,7.4,0.7707973708515433,0.6967973708515434
6170,0.074,7.4,0.7693086974234891,0.6953086974234891
6180,0.074,7.4,0.77035570974501,0.69635570974501
6190,0.074,7.4,0.7718946881890544,0.6978946881890544
6200,0.074,7.4,0.7728883718209084,0.6988883718209085
6210,0.074,7.4,0.7751704868875868,0.7011704868875869
6220,0.926,92.6,0.7854412258484971,-0.14055877415150297
6230,0.944,94.4,0.7862947325914217,-0.15770526740857826
6240,0.752,75.2,0.7868139159353319,0.034813915935331896
6250,0.941,94.1,0.7935684683683393,-0.14743153163166067
6260,0.948,94.8,0.8022215001596249,-0.14577849984037505
6270,0.948,94.8,0.8041347169889644,-0.14386528301103552
6280,0.956,95.6,0.8049099616874202,-0.15109003831257972
6290,0.952,95.2,0.8055459112019934,-0.1464540887980066
6300,0.956,95.6,0.8186155606587638,-0.13738443934123612
6310,0.959,95.9,0.8213271074318309,-0.13767289256816906
6320,0.959,95.9,0.8223762710081766,-0.1366237289918234
6330,0.959,95.9,0.8231270184392498,-0.13587298156075012
6340,0.959,95.9,0.8235359138418282,-0.13546408615817174
6350,0.959,95.9,0.8237961093028673,-0.13520389069713268
6360,0.952,95.2,0.8249091713361132,-0.12709082866388677
6370,0.952,95.2,0.8297141716250475,-0.1222858283749525
6380,0.963,96.3,0.832364755388744,-0.13063524461125597
6390,0.959,95.9,0.8399703633629936,-0.11902963663700639
6400,0.959,95.9,0.8630610798264099,-0.09593892017359007
6410,0.959,95.9,0.8767387047522557,-0.08226129524774428
6420,0.952,95.2,0.8774319896892805,-0.07456801031071947
6430,0.956,95.6,0.8778393015690397,-0.0781606984309603
6440,0.963,96.3,0.8782069030804288,-0.08479309691957115
6450,0.967,96.7,0.8785355550383946,-0.08846444496160533
6460,0.959,95.9,0.8789102670399923,-0.08008973296000765
6470,0.959,95.9,0.8815011073405168,-0.07749889265948318
6480,0.952,95.2,0.8886046256535031,-0.06339537434649689
