depth_md_m,quality_proxy,quality_proxy_pct,simulated_effective_efficiency,simulated_minus_cbl_proxy
5500,0.963,96.3,0.9230401921356289,-0.03995980786437103
5510,0.963,96.3,0.9228333895565604,-0.04016661044343961
5520,0.963,96.3,0.9226423441839515,-0.04035765581604844
5530,0.959,95.9,0.9224737235886602,-0.036526276411339764
5540,0.963,96.3,0.9223261527860059,-0.04067384721399403
5550,0.963,96.3,0.922190301060472,-0.040809698939528016
5560,0.959,95.9,0.9220514017100039,-0.03694859828999608
5570,0.956,95.6,0.9218974530152116,-0.03410254698478832
5580,0.956,95.6,0.9217218785594294,-0.03427812144057052
5590,0.952,95.2,0.92152138081179,-0.030478619188209932
5600,0.956,95.6,0.9212985000780687,-0.03470149992193128
5610,0.959,95.9,0.921066516343132,-0.037933483656867995
5620,0.956,95.6,0.9208425733691281,-0.035157426630871846
5630,0.952,95.2,0.9206365466842302,-0.03136345331576973
5640,0.963,96.3,0.9204491463974885,-0.04255085360251143
5650,0.956,95.6,0.9202760753182696,-0.03572392468173036
5660,0.956,95.6,0.9201091563637952,-0.03589084363620476
5670,0.952,95.2,0.9199353490996259,-0.032064650900374025
5680,0.959,95.9,0.9197401250388747,-0.03925987496112526
5690,0.959,95.9,0.9195135324439768,-0.03948646755602314
5700,0.956,95.6,0.9192504406252717,-0.036749559374728236
5710,0.952,95.2,0.9189622516380693,-0.03303774836193063
5720,0.952,95.2,0.918703739430203,-0.033296260569796954
5730,0.952,95.2,0.9184456629117905,-0.03355433708820943
5740,0.952,95.2,0.9181885431777326,-0.03381145682226738
5750,0.952,95.2,0.9179351590657834,-0.03406484093421658
5760,0.959,95.9,0.917687747111377,-0.04131225288862295
5770,0.952,95.2,0.9174454784462563,-0.03455452155374361
5780,0.963,96.3,0.9172015790992483,-0.0457984209007517
5790,0.963,96.3,0.9169464028277208,-0.04605359717227919
5800,0.959,95.9,0.9166715911750561,-0.04232840882494382
5810,0.967,96.7,0.9163724788036768,-0.05062752119632319
5820,0.959,95.9,0.9160508003341548,-0.042949199665845206
5830,0.959,95.9,0.9157175591673195,-0.04328244083268051
5840,0.952,95.2,0.915389602127942,-0.036610397872058
5850,0.952,95.2,0.9150792834858215,-0.0369207165141785
5860,0.959,95.9,0.9147899386477885,-0.044210061352211505
5870,0.959,95.9,0.9145202261038016,-0.044479773896198394
5880,0.948,94.8,0.9142709943339777,-0.033729005666022216
5890,0.956,95.6,0.914045401107695,-0.041954598892304906
5900,0.956,95.6,0.9138394718110947,-0.042160528188905255
5910,0.959,95.9,0.9136335172746713,-0.045366482725328616
5920,0.963,96.3,0.9134020906879422,-0.049597909312057764
5930,0.963,96.3,0.9131392978436121,-0.049860702156387826
5940,0.963,96.3,0.9128771278246663,-0.05012287217533362
5950,0.941,94.1,0.9126868350965901,-0.02831316490340985
5960,0.956,95.6,0.9126856332205623,-0.043314366779437674
5970,0.952,95.2,0.9130852685347549,-0.038914731465245045
5980,0.944,94.4,0.9142986713341693,-0.02970132866583064
5990,0.944,94.4,0.9169999160641072,-0.027000083935892705
6000,0.956,95.6,0.9215477454461393,-0.034452254553860695
6010,0.937,93.7,0.926021447844112,-0.010978552155888055
6020,0.926,92.6,0.9279494207920539,0.0019494207920538464
6030,0.963,96.3,0.9275125015745237,-0.03548749842547627
6040,0.941,94.1,0.9254288034656888,-0.01557119653431116
6050,0.074,7.4,0.9224809451397195,0.8484809451397195
6060,0.074,7.4,0.9051141767721388,0.8311141767721388
6070,0.074,7.4,0.8850431043442679,0.811043104344268
6080,0.074,7.4,0.8728079372163465,0.7988079372163466
6090,0.074,7.4,0.8695375657894782,0.7955375657894782
6100,0.074,7.4,0.868607014729627,0.794607014729627
6110,0.074,7.4,0.8677077218161805,0.7937077218161805
6120,0.074,7.4,0.8667830340152229,0.792783034015223
6130,0.074,7.4,0.8658306276243872,0.7918306276243873
6140,0.07,7.0,0.8648563293041532,0.7948563293041533
6150,0.074,7.4,0.8638772498708279,0.789877249870828
6160,0.074,7.4,0.8628862584946982,0.7888862584946983
6170,0.074,7.4,0.8618329060679581,0.7878329060679582
6180,0.074,7.4,0.860605353209836,0.786605353209836
6190,0.074,7.4,0.8590050082254674,0.7850050082254675
6200,0.074,7.4,0.8570544191495887,0.7830544191495887
6210,0.074,7.4,0.8567203521767045,0.7827203521767045
6220,0.926,92.6,0.8599416152012149,-0.06605838479878512
6230,0.944,94.4,0.8586872075562643,-0.08531279244373569
6240,0.752,75.2,0.8572661134765839,0.10526611347658388
6250,0.941,94.1,0.8557333905157586,-0.08526660948424136
6260,0.948,94.8,0.8540758438567725,-0.09392415614322747
6270,0.948,94.8,0.8522731543882626,-0.09572684561173739
6280,0.956,95.6,0.8503094182362698,-0.10569058176373014
6290,0.952,95.2,0.8481722888507002,-0.10382771114929978
6300,0.956,95.6,0.8458712098748872,-0.11012879012511279
6310,0.959,95.9,0.8433527462754403,-0.11564725372455964
6320,0.959,95.9,0.8405640984808463,-0.11843590151915362
6330,0.959,95.9,0.8374222672996994,-0.12157773270030059
6340,0.959,95.9,0.833853195225299,-0.12514680477470097
6350,0.959,95.9,0.8296658219540364,-0.1293341780459636
6360,0.952,95.2,0.8244809368575605,-0.12751906314243944
6370,0.952,95.2,0.8180040768156442,-0.13399592318435571
6380,0.963,96.3,0.8101328129037582,-0.1528671870962418
6390,0.959,95.9,0.8018461390411097,-0.15715386095889028
6400,0.959,95.9,0.8296076476715638,-0.12939235232843616
6410,0.959,95.9,0.9711114580916529,0.012111458091652927
6420,0.952,95.2,0.9719283133853728,0.01992831338537282
6430,0.956,95.6,0.9720290487699235,0.016029048769923504
6440,0.963,96.3,0.972121016579452,0.00912101657945208
6450,0.967,96.7,0.9722131370520141,0.005213137052014094
6460,0.959,95.9,0.9723034324663937,0.013303432466393761
6470,0.959,95.9,0.972390643901894,0.01339064390189404
6480,0.952,95.2,0.9724744000071636,0.020474400007163607
6490,0.959,95.9,0.9725543702960927,0.013554370296092744
6500,0.963,96.3,0.9726302103749231,0.009630210374923176
6510,0.956,95.6,0.9727017487371279,0.01670174873712793
6520,0.952,95.2,0.9727690329724406,0.020769032972440593
6530,0.956,95.6,0.9728322322729653,0.016832232272965375
6540,0.952,95.2,0.9728914947023852,0.02089149470238527
6550,0.963,96.3,0.9729468220715666,0.009946822071566608
6560,0.952,95.2,0.9729984338229007,0.020998433822900786
6570,0.956,95.6,0.9730472018848388,0.01704720188483888
6580,0.948,94.8,0.9730950283217329,0.025095028321732937
6590,0.952,95.2,0.9731449994085323,0.021144999408532317
6600,0.959,95.9,0.9732009573443513,0.01420095734435134
6610,0.963,96.3,0.9732669298208575,0.010266929820857529
6620,0.963,96.3,0.9733460571308906,0.010346057130890651
6630,0.952,95.2,0.9734400070599041,0.02144000705990412
6640,0.956,95.6,0.9735496101176404,0.017549610117640446
6650,0.952,95.2,0.9736756020761401,0.021675602076140166
6660,0.959,95.9,0.9738201635159971,0.014820163515997131
6670,0.952,95.2,0.9739892450584339,0.021989245058433915
6680,0.948,94.8,0.9741953570697757,0.026195357069775715
6690,0.956,95.6,0.9744633364603663,0.018463336460366353
6700,0.963,96.3,0.9748408716773421,0.011840871677342157
6710,0.956,95.6,0.975414974603787,0.01941497460378705
6720,0.952,95.2,0.9763933425132288,0.02439334251322889
6730,0.963,96.3,0.9780384724420721,0.015038472442072126
6740,0.956,95.6,0.9802574013215805,0.024257401321580496
6750,0.959,95.9,0.9822561372680824,0.0232561372680824
6760,0.959,95.9,0.9832958848279346,0.024295884827934655
6770,0.959,95.9,0.9833113739589359,0.0243113739589359
6780,0.948,94.8,0.982561666407338,0.03456166640733804
6790,0.967,96.7,0.9812747776921403,0.014274777692140361
6800,0.93,93.0,0.9800712602098407,0.05007126020984065
6810,0.944,94.4,0.9783714938058994,0.034371493805899433
6820,0.952,95.2,0.9781463390771752,0.02614633907717523
6830,0.944,94.4,0.9780336234070511,0.03403362340705118
6840,0.933,93.3,0.9779189868030257,0.04491898680302564
6850,0.937,93.7,0.9777953231112554,0.04079532311125533
6860,0.959,95.9,0.9776646336368279,0.01866463363682791
6870,0.959,95.9,0.9775294551216944,0.01852945512169446
6880,0.937,93.7,0.9773922754481107,0.04039227544811064
6890,0.948,94.8,0.9772554813858546,0.029255481385854654
6900,0.952,95.2,0.9771212985916421,0.02512129859164214
6910,0.967,96.7,0.9769917623564102,0.009991762356410194
6920,0.952,95.2,0.976868574252307,0.02486857425230704
6930,0.952,95.2,0.9767529343371341,0.024752934337134103
6940,0.952,95.2,0.9766453598117975,0.024645359811797496
6950,0.959,95.9,0.976545609262767,0.017545609262767048
6960,0.944,94.4,0.976452855578371,0.032452855578371076
6970,0.937,93.7,0.9763659643527299,0.039365964352729876
6980,0.941,94.1,0.9762838126007389,0.035283812600738984
6990,0.937,93.7,0.9762055968624623,0.03920559686246228
7000,0.93,93.0,0.9761308922149934,0.046130892214993335
7010,0.948,94.8,0.9760593966607283,0.02805939666072832
7020,0.948,94.8,0.9759905248504681,0.027990524850468157
