case_id,e,Re,m,b,t_br_模型,t_br_论文D2DGA,t_br_论文3D,eta_E_模型,eta_E_论文D2DGA,mass_conservation_error,clip_triggered,体积创造峰值,eta_E_论文3D,eta_E_偏差_vs_D2DGA,eta_E_偏差_vs_3D,eta_E_超容差,t_br_偏差_vs_D2DGA,t_br_超容差,t_br_原始_s,t_br_v2口径,t_br_v2口径_s,b_反算_论文式,b_模型summary,Q0_用,Q0_论文打印,网格_nz,网格_ny,时间步数,clip_调用次数,clip_最大绝对值,clip_理论上界,fallback_count,digest_cement,digest_wall,digest_spacer
1,0.8,20,0.2,-50.0,0.1188,0.44,0.33,0.2467,0.66,0.6861292012182468,0,1.6912,0.61,-0.4133,-0.3633,True,-0.3212,True,17.814,0.2389,35.834,-49.999,-49.999,1.9032652967938214e-05,1.9e-05,140,40,14970,0,0.0,0.017538,0,9abbed4e0a525d09168d184c8654a9e16a3a6feb9a54c268cbf48ff54e62b10b,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
2,0.8,20,0.2,100.0,0.9785,0.95,0.95,0.9822,0.95,0.09801776782773668,0,1.0484,0.95,0.0322,0.0322,False,0.0285,False,146.768,0.862,129.296,99.998,99.998,1.9032652967938214e-05,1.9e-05,140,40,1163,0,0.0,0.035076,0,caf9b353bb6ae30b7b9dd41df6abfec2ec6e1eddd75d4001ed7459b693631915,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
3,0.6,20,0.2,10.0,0.9407,0.79,0.67,0.9834,0.92,0.09863317740274538,0,1.0508,0.91,0.0634,0.0734,True,0.1507,True,141.1,0.8257,123.861,10.0007,10.0007,1.9032652967938214e-05,1.9e-05,140,40,1181,0,0.0,0.003508,0,9c7492392f3d34d57c55f84f74ee1d726f418c6a7bd3010b5a94235f83a648c6,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
4,0.6,20,0.2,1000.0,0.8698,0.99,0.98,0.9956,1.0,0.21249210689718998,0,1.1393,0.98,-0.0044,0.0156,False,-0.1202,True,521.88,0.9949,596.935,1000.0324,1000.0324,4.758163241984553e-06,4.76e-06,140,40,10419,0,0.0,0.021924,0,d73149d585cf612430d8c9faefa08486471d596b66e7a1bedad606d4b56c909e,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
5,0.4,20,0.2,100.0,0.9933,0.95,0.93,0.9959,0.97,0.08393994312972561,0,1.0394,0.95,0.0259,0.0459,False,0.0433,False,148.989,0.8909,133.629,99.998,99.998,1.9032652967938214e-05,1.9e-05,140,40,1168,0,0.0,0.035076,0,e7cd165bc5991dc1283d98b7898ec086baa99f29b1523cd502c4ace082532940,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
6,0.4,20,5.0,100.0,0.9902,0.93,0.94,0.9872,0.93,0.08255795152724284,0,1.0379,0.96,0.0572,0.0272,True,0.0602,False,118.824,0.8627,103.53,99.9991,99.9991,2.3790816209922767e-05,2.38e-05,140,40,1301,0,0.0,0.105775,0,a3d45650425f338154a30ed56be5ef902d60b8f69d2715b474d3447c795b3c74,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
7,0.2,20,0.5,10.0,0.9776,0.78,0.7,0.9969,0.9,0.058330098590712115,0,1.0269,0.9,0.0969,0.0969,True,0.1976,True,146.638,0.859,128.854,10.0007,10.0007,1.9032652967938214e-05,1.9e-05,140,40,899,0,0.0,0.003863,0,68000d29617bcb0e67151ad5e245067300be66129dd4613ed90df573f5653dd6,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
8,0.2,20,2.0,10.0,0.9598,0.78,0.7,0.9793,0.84,0.05658320832218652,0,1.0254,0.86,0.1393,0.1193,True,0.1798,True,57.588,0.8062,48.371,10.0003,10.0003,4.7581632419845534e-05,4.76e-05,140,40,1048,0,0.0,0.032918,0,9594d44d8ae01739ec52ddde4fce8894f4e4dea6e10fd8073b3143f6ac4528d9,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
9,0.1,100,0.2,100.0,0.9975,0.97,0.96,0.9998,0.97,0.03299548447127227,0,1.0149,0.95,0.0298,0.0498,False,0.0275,False,119.705,0.9003,108.03,99.9963,99.9963,2.3790816209922767e-05,0.000238,140,40,766,0,0.0,0.010961,0,aa6a64efe653ec034db829ef1bf4dae6ec8373d25146fbb0d17b05bfc4b890a9,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
10,0.1,1000,0.2,100.0,0.9981,0.97,0.96,0.9998,0.97,0.06816981897745682,0,1.0552,0.95,0.0298,0.0498,False,0.0281,False,11.977,0.914,10.968,100.0005,100.0005,0.00023790816209922768,0.000238,140,40,764,0,0.0,0.109615,0,ccd088a7d388125ac56a57d1c5eb2a5cb9531576ca1300a3a53d56115ca11a1e,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7,83e3a378d982f2eb58920deabe073501dcd8bca293224e4639d6a7094e8e16c7
