well,component,eta_E,eta_N,cement_occ,missing_labels
ht1_003,B2_op,0.0,0.0,0.0,
ht1_003,closure_H1,,,,H1
ht1_003,gate_LS_H2a,0.0,-4.440892098500626e-16,0.0,
ht1_003,gate_HB_H2b,1.1102230246251565e-16,0.0,1.1102230246251565e-16,
ht1_003,both_LS_H3a,,,,H3a_LS
ht1_003,both_HB_H3b,,,,H3b_HB
ht1_003,interaction_LS,,,,H3a_LS;H1
ht1_003,interaction_HB,,,,H3b_HB;H1
ht1_004,B2_op,-4.533732833156279e-06,-2.3034988830716863e-05,-4.533732833156279e-06,
ht1_004,closure_H1,,,,H1
ht1_004,gate_LS_H2a,0.0,0.0,0.0,
ht1_004,gate_HB_H2b,0.0,0.0,0.0,
ht1_004,both_LS_H3a,,,,H3a_LS
ht1_004,both_HB_H3b,,,,H3b_HB
ht1_004,interaction_LS,,,,H3a_LS;H1
ht1_004,interaction_HB,,,,H3b_HB;H1
hu101,B2_op,-0.030428131533602243,-0.11116585103471455,-0.030428131533602243,
hu101,closure_H1,,,,H1
hu101,gate_LS_H2a,-0.006548382328337543,-0.03274883420680208,-0.006548382328337543,
hu101,gate_HB_H2b,-0.0015567724200638011,-0.010450159010423787,-0.0015567724200638011,
hu101,both_LS_H3a,,,,H3a_LS
hu101,both_HB_H3b,,,,H3b_HB
hu101,interaction_LS,,,,H3a_LS;H1
hu101,interaction_HB,,,,H3b_HB;H1
hu102,B2_op,4.050606775962695e-05,0.00031645135246272105,4.050606775962695e-05,
hu102,closure_H1,,,,H1
hu102,gate_LS_H2a,1.2917141353097072e-05,9.721716658006585e-05,1.2917141353097072e-05,
hu102,gate_HB_H2b,2.220446049250313e-16,3.1086244689504383e-15,2.220446049250313e-16,
hu102,both_LS_H3a,,,,H3a_LS
hu102,both_HB_H3b,,,,H3b_HB
hu102,interaction_LS,,,,H3a_LS;H1
hu102,interaction_HB,,,,H3b_HB;H1
