well,label,run_id,caliber,status,annotation,enable_stream_yield_gate,enable_hb_closure,hb_fix_cement_tau_y,tau_y_map,fallback_count,fallback_steps,nonlinear_steps,max_n_static,all_undefined_steps,floor_warning_count,n_steps,total_t_s,wall_time_s,eta_E,eta_N,cement_occ,mean_wall,inventory_ratio,buoyancy_number,digest_cement,digest_wall,output_dir
hu101,H0,hu101__H0,,DONE,全默认（L1 锚，B-2 off，与生产 runner 同配置）,False,False,False,{},0,0,0,,0,0,4814,13742.727,149.19,0.9735178050876083,0.8305774631029166,0.9735178050876083,0.02842919110229247,0.911357716122442,18.88836489489284,0b27a0cf0ae88bb31fd627bcd6d0fd852554d132f69521f4e25e988da606c2bc,ac9679283805af2fa2f23dffda8fcbb0cc4cf6e3d96b7fdddf2d0cc7de969a1d,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu101__H0
hu101,H0p,hu101__H0p,,DONE,B-2 on 基线,True,False,False,{},0,0,0,,0,0,5191,13742.727,162.62,0.9430896735540061,0.719411612068202,0.9430896735540061,0.050574120587468505,0.882872451327679,18.88836489489284,ee416713049bd7c407454860aeb468c35a2f35fe68412b5e5dc101f9386342d4,046bf85fa6643868bd70552928d56935b830c3f49a1ae1c8f2be6f05bbec8d7d,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu101__H0p
hu101,H2a_LS,hu101__H2a_LS,bingham_ls,DONE,H0p+水泥 τy 注入（Bingham-LS 截距口径，屈服门通道）,True,False,True,"{""LEAD"": 2.9641565505975644, ""TAIL"": 2.603368617615636}",0,0,0,,0,0,5187,13742.727,186.51,0.9365412912256685,0.6866627778614,0.9365412912256685,0.10084992561533584,0.8767421897835532,18.88836489489284,64aa7093386a5822cb7a421a30916f24ee7c7e4f4b0604e9a3abd4301fb18237,bab1c5984e882fa937c7c8e36a323ec4ed58fc7294fe02a4fb34f1ff39bbde5e,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu101__H2a_LS
hu101,H2b_HB,hu101__H2b_HB,hb_fitted_new,DONE,H0p+水泥 τy 注入（HB 拟合口径，屈服门通道）,True,False,True,"{""LEAD"": 0.9697406536739089, ""TAIL"": 1.5110938746664877}",0,0,0,,0,0,5184,13742.727,185.18,0.9415329011339423,0.7089614530577782,0.9415329011339423,0.062315512672755514,0.8814150803891536,18.88836489489284,01235e6aa0507c0760e709c951089f7c4e54a560254c97cd3541bcbbc7e9dd41,435cde007c89e3c53ff3bea4a98f3d857111ea3032e38d34929be27c708830db,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu101__H2b_HB
hu101,H0_repeat,hu101__H0_repeat,,DONE,L1 确定性检查：H0 同配置第二次运行（逐位对比）,False,False,False,{},0,0,0,,0,0,4814,13742.727,178.94,0.9735178050876083,0.8305774631029166,0.9735178050876083,0.02842919110229247,0.911357716122442,18.88836489489284,0b27a0cf0ae88bb31fd627bcd6d0fd852554d132f69521f4e25e988da606c2bc,ac9679283805af2fa2f23dffda8fcbb0cc4cf6e3d96b7fdddf2d0cc7de969a1d,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu101__H0_repeat
hu102,H0,hu102__H0,,DONE,全默认（L1 锚，B-2 off，与生产 runner 同配置）,False,False,False,{},0,0,0,,0,0,13813,11737.143,497.26,0.9852649631268567,0.8859138183693933,0.9852649631268567,0.0,0.7172736926138159,1.955608872292268,2ddd1b507a609d8e43294cf7f61d668fdba1d0af2ba6b4ba9ccead441bb48a28,f8c784aa6b57396e7c5e094c34d079d8252473e46e2f60593a921dbebf941fcc,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu102__H0
hu102,H0p,hu102__H0p,,DONE,B-2 on 基线,True,False,False,{},0,0,0,,0,0,13819,11737.143,502.03,0.9853054691946164,0.886230269721856,0.9853054691946164,0.0,0.717303181064012,1.955608872292268,d31264eae4b696720675f0a9772e8a23fff54630053ce77a5c714e0e4e58a791,f8c784aa6b57396e7c5e094c34d079d8252473e46e2f60593a921dbebf941fcc,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu102__H0p
hu102,H2a_LS,hu102__H2a_LS,bingham_ls,DONE,H0p+水泥 τy 注入（Bingham-LS 截距口径，屈服门通道）,True,False,True,"{""LEAD"": 9.255394095535394, ""TAIL"": 9.255394095535394}",0,0,0,,0,0,13820,11737.143,505.47,0.9853183863359695,0.8863274868884361,0.9853183863359695,0.0,0.7173125847533983,1.955608872292268,5a67da16d4cd074e52d66b038fe0e3fb905b04acc4d9c906fe1c010a7c5920ce,f8c784aa6b57396e7c5e094c34d079d8252473e46e2f60593a921dbebf941fcc,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu102__H2a_LS
hu102,H2b_HB,hu102__H2b_HB,hb_fitted_new,DONE,H0p+水泥 τy 注入（HB 拟合口径，屈服门通道）,True,False,True,"{""LEAD"": 5.474268506930611e-13, ""TAIL"": 5.474268506930611e-13}",0,0,0,,0,0,13819,11737.143,513.79,0.9853054691946166,0.8862302697218591,0.9853054691946166,0.0,0.7173031810640123,1.955608872292268,975ad3f765d3ec4e435eb3e8e2e1f58164eaf174d4b162a49ba05ac74eb3755c,f8c784aa6b57396e7c5e094c34d079d8252473e46e2f60593a921dbebf941fcc,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu102__H2b_HB
hu102,H0_repeat,hu102__H0_repeat,,DONE,L1 确定性检查：H0 同配置第二次运行（逐位对比）,False,False,False,{},0,0,0,,0,0,13813,11737.143,488.01,0.9852649631268567,0.8859138183693933,0.9852649631268567,0.0,0.7172736926138159,1.955608872292268,2ddd1b507a609d8e43294cf7f61d668fdba1d0af2ba6b4ba9ccead441bb48a28,f8c784aa6b57396e7c5e094c34d079d8252473e46e2f60593a921dbebf941fcc,D:\users\desktop\research\控压固井项目\cement model\results\HB闭包A-B_2026-09-17\hu102__H0_repeat
