run_id,ablation_level,eccentricity,nz,dt,effective_efficiency,channeling_index,mixing_index,cement_occupation,instability_index,buoyancy_number
full_RR0_500_4.0,R0,0.17,500,4.0,0.9595823761947894,0.048096192384749666,0.11780137782131027,0.9595823761947894,0.02827095783443756,4.016833845397571
full_RR1_500_4.0,R1,0.17,500,4.0,0.956175137663473,0.0721442885771245,0.12333603051760289,0.956175137663473,0.04129416482349668,4.015117985827346
full_RR2_500_4.0,R2,0.17,500,4.0,0.9561765303412054,0.0721442885771245,0.12333368549674081,0.9561765303412054,0.04129467135668474,4.015118755842848
full_RR3_500_4.0,R3,0.17,500,4.0,0.9543180725939574,0.10020040080156167,0.12791567049635733,0.9543180725939574,0.0592411364619464,4.023731099914672
theoretical_e17_R0,R0,0.17,280,4.0,0.9549877276359782,0.06451612903223135,0.13069753001516904,0.9549877276359782,0.037312024524880805,4.017662189156267
theoretical_e17_R3,R3,0.17,280,4.0,0.9481188995961601,0.11827956989242405,0.1419823631570632,0.9481188995961601,0.0686270307319744,4.023762246512481
theoretical_e35_R0,R0,0.35,280,4.0,0.9142274290767276,0.44802867383494,0.20438880562310094,0.9142274290767276,0.7088841883525656,4.4604968184751845
theoretical_e35_R3,R3,0.35,280,4.0,0.9083393868368977,0.5017921146951329,0.21046258524826475,0.9083393868368977,0.7569776926211644,4.4880863227417125
theoretical_e45_R0,R0,0.45,280,4.0,0.8833182150483623,0.7025089605731859,0.21097746153821476,0.8833182150483623,0.9777373298148333,4.781749179950538
theoretical_e45_R3,R3,0.45,280,4.0,0.8697706352159925,0.7526881720426993,0.21704872450648896,0.8697706352159925,0.9894753702509527,4.811324426798564
convergence_nz140_dt4.0,R3,0.17,140,4.0,0.938657690375135,0.14388489208627153,0.1674194796273601,0.938657690375135,0.08178757087487953,4.028814661062214
convergence_nz280_dt4.0,R3,0.17,280,4.0,0.9481188995961601,0.11827956989242405,0.1419823631570632,0.9481188995961601,0.0686270307319744,4.023762246512481
convergence_nz500_dt4.0,R3,0.17,500,4.0,0.9543180725939574,0.10020040080156167,0.12791567049635733,0.9543180725939574,0.0592411364619464,4.023731099914672
convergence_nz280_dt2.0,R3,0.17,280,2.0,0.9443494893291765,0.1146953405017447,0.15449293217915044,0.9443494893291765,0.06819655592468021,4.023795869825696
convergence_nz280_dt4.0,R3,0.17,280,4.0,0.9481188995961601,0.11827956989242405,0.1419823631570632,0.9481188995961601,0.0686270307319744,4.023762246512481
convergence_nz280_dt8.0,R3,0.17,280,8.0,0.9536730423728529,0.11111111111106514,0.12691478964338443,0.9536730423728529,0.0639526081451357,4.024884176990532
