井,η_E,η_N,stop_s,入环空水泥_m3,域内水泥_m3,域满体积_m3,守恒率,宽边前缘m,窄边前缘m,窄边到位率,混浆指数,壁面冻结占比,等效隔离液密度,等效隔离液名,standoff实测标记,耗时s
hu101_名义,0.4921,0.0314,13742.7,72.19,32.25,65.53,0.4467,2468.0,49.6,0.0201,0.3487,0.4147,1925.0,平衡液+驱油隔离液,False,78.9
hu101_实测between,0.4816,0.0143,13742.7,72.19,31.56,65.53,0.4371,2468.0,39.6,0.0161,0.3351,0.314,1925.0,平衡液+驱油隔离液,True,75.7
hu101_实测at,0.5372,0.0802,13742.7,72.19,35.2,65.53,0.4876,2468.0,118.9,0.0482,0.3163,0.1038,1925.0,平衡液+驱油隔离液,True,70.2
hu102,0.9718,0.8061,11737.1,16.86,12.03,12.38,0.7133,911.9,666.5,0.7309,0.0793,0.0,1999.9999999999998,平衡液+隔离液+冲洗液,False,118.6
hu103,0.9862,0.9386,8012.9,84.89,73.97,75.01,0.8714,2233.3,2233.3,1.0,0.0488,0.0,1956.6666666666665,隔离液1+隔离液2+隔离液(实际),False,59.8
hu1,0.9528,0.8209,20944.4,60.11,57.07,59.9,0.9496,4077.7,3832.1,0.9398,0.109,0.0107,2025.0,平衡液(先导泥浆)+驱油隔离液,False,66.4
hu2,0.9846,0.9894,11663.6,39.34,33.0,33.52,0.8389,2261.5,2261.5,1.0,0.0294,0.0,1950.0,平衡液+隔离液,False,48.5
ht1_001,0.9897,0.9759,10899.6,70.04,72.01,72.76,1.0282,2276.3,2276.3,1.0,0.0374,0.0,1865.0,平衡液+隔离液,False,35.9
ht1_003,0.9967,0.987,10255.2,71.27,57.5,57.69,0.8068,2310.5,2310.5,1.0,0.0124,0.0,1916.6666666666665,平衡液+隔离液1+隔离液2,False,34.5
ht1_004,0.9985,0.9938,11409.6,74.44,59.72,59.8,0.8022,2416.8,2416.8,1.0,0.0058,0.0,1816.6666666666665,先导浆+隔离液1+隔离液2,False,47.0
