井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7618.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03908351852496722,0.17000000000000004,0.83
7613.369817635271,0.0,1.0,1.0,3.4287414381316694e-58,1.0,4.207706291598618e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,7.750254995855434e-98,8.611147868233241e-69,3.481340737509017e-57,0.039083518524483205,0.17000000000000004,0.83
7608.739635270541,0.0,1.0,1.0,3.048396956236275e-57,1.0,4.207706291598617e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.3294393894510514e-96,9.884907389587612e-68,3.096117149841711e-56,0.039083518523999196,0.17000000000000004,0.83
7604.109452905812,0.0,1.0,1.0,2.0282802249623464e-56,1.0,4.207706291598616e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5881826402591254e-95,8.070255388237638e-67,2.060133766957073e-55,0.03908351852351519,0.17000000000000004,0.83
7599.479270541082,0.0,0.9999999999999999,0.9999999999999999,1.1953234601315755e-55,0.9999999999999999,4.207706291598618e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5759541278531795e-94,5.623514072420337e-66,1.2139844697672013e-54,0.03908351852303117,0.17000000000000004,0.83
7594.849088176353,0.0,1.0,1.0,6.573538225734978e-55,1.0,5.3284260426907594e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.3799681198702244e-93,3.557748296374675e-65,6.675071947481677e-54,0.03908351852254716,0.17000000000000004,0.83
7590.218905811624,0.0,1.0,1.0,3.450541047038704e-54,1.0,4.854444570619809e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.0994541911428933e-92,2.1050361968657333e-64,3.503165799508159e-53,0.03908351852206314,0.17000000000000004,0.83
7585.588723446894,0.0,0.9999999999999999,0.9999999999999999,1.748858344319521e-53,0.9999999999999999,5.778373787477667e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,8.121856679665882e-92,1.1844981252939079e-63,1.7751925598584425e-52,0.039083518521579146,0.17000000000000004,0.83
7580.958541082165,0.0,1.0,1.0,8.613886439168932e-53,1.0,6.563707535417194e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,5.635581952943563e-91,6.404598464493282e-63,8.742155179412617e-52,0.03908351852109513,0.17000000000000004,0.83
7576.328358717435,0.0,1.0,1.0,4.1387255598880485e-52,1.0,7.118058979142256e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,3.7082918165906945e-90,3.349950334665699e-62,4.1998762548189477e-51,0.0390835185206111,0.17000000000000004,0.83
