井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7618.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03908351852496722,0.17000000000000004,0.83
7613.369817635271,0.0,1.0,1.0,3.891415690954984e-58,1.0,4.207706291598618e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,8.74959576818171e-98,9.754729896964829e-69,3.951168740959558e-57,0.039083518524483205,0.17000000000000004,0.83
7608.739635270541,0.0,1.0,1.0,3.4598955945414427e-57,1.0,4.207706291598617e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5009090557570331e-96,1.1198005537921788e-67,3.5141076190104817e-56,0.039083518523999196,0.17000000000000004,0.83
7604.109452905812,0.0,1.0,1.0,2.302226455054727e-56,1.0,4.207706291598616e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.7930808093641003e-95,9.142747145140131e-67,2.338415475057208e-55,0.03908351852351519,0.17000000000000004,0.83
7599.479270541082,0.0,0.9999999999999999,0.9999999999999999,1.3568788526899998e-55,0.9999999999999999,4.207706291598618e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.7793348016813698e-94,6.371269269385629e-66,1.378081331792565e-54,0.03908351852303117,0.17000000000000004,0.83
7594.849088176353,0.0,1.0,1.0,7.462663834559438e-55,1.0,5.3284260426907594e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5581171703906034e-93,4.031146458673581e-65,7.578034689558293e-54,0.03908351852254716,0.17000000000000004,0.83
7590.218905811624,0.0,1.0,1.0,3.917610111791215e-54,1.0,4.854444570619809e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.2414473845302622e-92,2.385354660862677e-64,3.9774110261156917e-53,0.03908351852206314,0.17000000000000004,0.83
7585.588723446894,0.0,0.9999999999999999,0.9999999999999999,1.985754630304496e-53,0.9999999999999999,5.778373787477667e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,9.171287964100284e-92,1.3423651930290087e-63,2.0156817088050673e-52,0.039083518521579146,0.17000000000000004,0.83
7580.958541082165,0.0,1.0,1.0,9.781438298032735e-53,1.0,6.563707535417194e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,6.364166358258404e-91,7.258918683433052e-63,9.927213167062846e-52,0.03908351852109513,0.17000000000000004,0.83
7576.328358717435,0.0,1.0,1.0,4.699994490600855e-52,1.0,7.118058979142256e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,4.188014555432451e-90,3.797178353857528e-62,4.769492320287012e-51,0.0390835185206111,0.17000000000000004,0.83
7571.698176352706,0.0,0.9999999999999999,0.9999999999999999,2.2079534507654472e-51,0.9999999999999999,7.34904128335672e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.632719489238565e-89,1.9299179837879098e-61,2.240525999763407e-50,0.039083518520127106,0.17000000000000004,0.83
7567.067993987976,0.0,1.0,1.0,1.0153965932162802e-50,1.0,8.366117404098229e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5900456033377282e-88,9.556514490391347e-61,1.0304671733725322e-49,0.03908351851964308,0.17000000000000004,0.83
7562.4378116232465,0.0,1.0,1.0,4.573838877344166e-50,1.0,9.36548920079413e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,9.26730816404123e-88,4.6169176563563293e-60,4.6429819349218095e-49,0.039083518519159074,0.17000000000000004,0.83
