段号,井段,段长_m,平均水泥占据率,平均顶替效率,质量等级
1,7586-7386m,200.0,0.9999999999970565,0.9999999999970565,良好
2,7386-7186m,200.0,0.999819941314903,0.999819941314903,良好
3,7186-6986m,200.0,0.9827054668703933,0.9827054668703933,良好
4,6986-6786m,200.0,0.9382551451107763,0.9382551451107763,良好
5,6786-6586m,200.0,0.9123877873195134,0.9123877873195134,良好
6,6586-6386m,200.0,0.8862588055389086,0.8862588055389086,良好
7,6386-6186m,200.0,0.8720340420976069,0.8720340420976069,良好
8,6186-5986m,200.0,0.8588117513420549,0.8588117513420549,良好
9,5986-5786m,200.0,0.8377301494245883,0.8377301494245883,良好
10,5786-5586m,200.0,0.7585562587870044,0.7585562587870044,合格
11,5586-5386m,200.0,0.1912453924365935,0.1912453924365935,不合格
12,5386-5278m,108.2460000000001,0.09651522071506421,0.09651522071506421,不合格
