段号,井段,段长_m,平均水泥占据率,平均顶替效率,质量等级
1,7618-7418m,200.0,1.0,1.0,良好
2,7418-7218m,200.0,0.999999999999999,0.999999999999999,良好
3,7218-7018m,200.0,0.9999999487018432,0.9999999487018432,良好
4,7018-6818m,200.0,0.9999546250645645,0.9999546250645645,良好
5,6818-6618m,200.0,0.9979735216348317,0.9979735216348317,良好
6,6618-6418m,200.0,0.9895304378848323,0.9895304378848323,良好
7,6418-6218m,200.0,0.9748325221285052,0.9748325221285052,良好
8,6218-6018m,200.0,0.953769575850454,0.953769575850454,良好
9,6018-5818m,200.0,0.915769212861412,0.915769212861412,良好
10,5818-5618m,200.0,0.8260620955162183,0.8260620955162183,良好
11,5618-5418m,200.0,0.6814644112945324,0.6814644112945324,不合格
12,5418-5308m,110.46100000000024,0.553206588400988,0.553206588400988,不合格
