段号,井段,段长_m,平均水泥占据率,平均顶替效率,质量等级
1,7618-7418m,200.0,0.9999999999999997,0.9999999999999997,良好
2,7418-7218m,200.0,0.9999999999999982,0.9999999999999982,良好
3,7218-7018m,200.0,0.9999998257193994,0.9999998257193994,良好
4,7018-6818m,200.0,0.999895407522512,0.999895407522512,良好
5,6818-6618m,200.0,0.9970410580338753,0.9970410580338753,良好
6,6618-6418m,200.0,0.9876334546027216,0.9876334546027216,良好
7,6418-6218m,200.0,0.972278908885887,0.972278908885887,良好
8,6218-6018m,200.0,0.9502451079141125,0.9502451079141125,良好
9,6018-5818m,200.0,0.9094494507823699,0.9094494507823699,良好
10,5818-5618m,200.0,0.8118405871480013,0.8118405871480013,良好
11,5618-5418m,200.0,0.6635431813418508,0.6635431813418508,不合格
12,5418-5308m,110.46100000000024,0.5263685724569779,0.5263685724569779,不合格
