井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7618.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03908351852496722,0.17000000000000004,0.83
7613.369817635271,0.0,1.0,1.0,2.2452389103235646e-60,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6707279652970717e-97,3.770526425337184e-70,2.243595816778387e-59,0.039083518524483205,0.17000000000000004,0.83
7608.739635270541,0.0,1.0,1.0,1.728586038185714e-59,1.0,4.6074255521944e-18,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,3.666543436063443e-96,3.6406083626076877e-69,1.7281614356601767e-58,0.039083518523999196,0.17000000000000004,0.83
7604.109452905812,0.0,1.0,1.0,1.040624055002034e-58,1.0,9.2634167274063e-18,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,3.586132114502824e-95,2.5851139428726347e-68,1.0405007912331599e-57,0.03908351852351519,0.17000000000000004,0.83
7599.479270541082,0.0,1.0,1.0,5.725082596537596e-58,1.0,1.39194079026182e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.97596861261734e-94,1.6117499973748473e-67,5.724279006023941e-57,0.03908351852303117,0.17000000000000004,0.83
7594.849088176353,0.0,1.0,1.0,3.002845984498196e-57,1.0,2.0882250946263805e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.2217541493691494e-93,9.334773373590054e-67,3.0022331095557255e-56,0.03908351852254716,0.17000000000000004,0.83
7590.218905811624,0.0,1.0,1.0,1.5256557652052736e-56,1.0,2.5517098402303462e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.535403126750658e-92,5.14817442359263e-66,1.5252658677059772e-55,0.03908351852206314,0.17000000000000004,0.83
7585.588723446894,0.0,1.0,1.0,7.562498083096333e-56,1.0,3.012758404899334e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,9.989133218670406e-92,2.738461322515112e-65,7.560506079930843e-55,0.039083518521579146,0.17000000000000004,0.83
7580.958541082165,0.0,1.0,1.0,3.670327431688394e-55,1.0,3.942100981235693e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,6.186921995283923e-91,1.4151892188884694e-64,3.669580114276377e-54,0.03908351852109513,0.17000000000000004,0.83
7576.328358717435,0.0,1.0,1.0,1.7472614877940518e-54,1.0,4.410394992903064e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,3.6773677666853184e-90,7.135448824256555e-64,1.7471707005264553e-53,0.0390835185206111,0.17000000000000004,0.83
7571.698176352706,0.0,0.9999999999999999,0.9999999999999999,8.165686198792936e-54,0.9999999999999999,4.4103949929030623e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.1100515832497033e-89,3.518542401615408e-63,8.167482161864049e-53,0.039083518520127106,0.17000000000000004,0.83
7567.067993987976,0.0,1.0,1.0,3.747457922781228e-53,1.0,4.410394992903063e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.1739866313785716e-88,1.6986684583462422e-62,3.749881893332366e-52,0.03908351851964308,0.17000000000000004,0.83
7562.4378116232465,0.0,1.0,1.0,1.6887987550445186e-52,1.0,4.4103949929030623e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,6.353618828981325e-88,8.029208424627489e-62,1.6909440491967215e-51,0.039083518519159074,0.17000000000000004,0.83
7557.807629258517,0.0,1.0,1.0,7.47201078800182e-52,1.0,4.410394992903063e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,3.3514630455500977e-87,3.71221517756052e-61,7.487976655851558e-51,0.03908351851867505,0.17000000000000004,0.83
7553.177446893787,0.0,0.9999999999999997,0.9999999999999997,3.245255666173334e-51,0.9999999999999997,4.4079903598713585e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.724625246326639e-86,1.6754569718370376e-60,3.255897769083061e-50,0.039083518518191064,0.17000000000000004,0.83
7548.547264529058,0.0,1.0,1.0,1.384120477592412e-50,1.0,3.943448428308785e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,8.661455644939614e-86,7.385027784927255e-60,1.390310774826704e-49,0.03907171986519503,0.17000000000000004,0.83
7543.917082164328,0.0,0.9999999999999999,0.9999999999999999,5.811843685524627e-50,0.9999999999999999,4.1751908011107654e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,4.2609166272780144e-85,3.2076544354968236e-59,5.8409389286565085e-49,0.03903411500554617,0.17000000000000004,0.83
7539.286899799599,0.0,0.9999999999999999,0.9999999999999999,2.4152168791326334e-49,0.9999999999999999,4.250845789721728e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.088035408914708e-84,1.3895551189350242e-58,2.4258541899754705e-48,0.03899651014589729,0.17000000000000004,0.83
7534.656717434869,0.0,1.0,1.0,9.989591912075706e-49,1.0,5.02276143457808e-17,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,1.084327599703011e-83,6.080080141000717e-58,1.0014668091898342e-47,0.03895890528624839,0.17000000000000004,0.83
7530.02653507014,0.0,1.0,1.0,4.1447772001183577e-48,1.0,6.097394531389575e-17,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,7.257332682128406e-83,2.7616165801003464e-57,4.1399257494547127e-47,0.03892130042659951,0.17000000000000004,0.83
7525.396352705411,0.0,0.9999999999999999,0.9999999999999999,1.744836570806408e-47,0.9999999999999999,6.097394531389574e-17,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,8.180556174609389e-82,1.3758345223953199e-56,1.7317995300949126e-46,0.038883695566950635,0.17000000000000004,0.83
7520.766170340681,0.0,0.9999999999999999,0.9999999999999999,7.571912260871055e-47,0.9999999999999999,6.560416325777117e-17,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,1.4164602967320761e-80,8.18700417111965e-56,7.440028965002099e-46,0.038846090707301745,0.17000000000000004,0.83
7516.135987975952,0.0,1.0,1.0,3.452223425858676e-46,1.0,1.427481462862722e-16,1.0,0.9999999999999998,0.9999999999999996,1.0,0.9999999999999998,0.9999999999999996,2.847088325201099e-79,6.170654561351205e-55,3.345038391673751e-45,0.03885587945062126,0.17000000000000004,0.83
7511.505805611222,0.0,0.9999999999999997,0.9999999999999997,1.680022605216562e-45,0.9999999999999997,2.0031351387398194e-16,1.0,0.9999999999999997,0.9999999999999996,1.0,0.9999999999999997,0.9999999999999996,5.811601924805442e-78,5.626299427540882e-54,1.5997848624348427e-44,0.03887506559476985,0.17000000000000004,0.83
7506.875623246493,0.0,0.9999999999999997,0.9999999999999997,8.837456146484591e-45,0.9999999999999997,2.3614956244810265e-16,1.0,0.9999999999999996,0.9999999999999996,1.0,0.9999999999999996,0.9999999999999996,1.1595785833932187e-76,5.968886043233595e-53,8.246043287327573e-44,0.038894251756788845,0.17000000000000004,0.83
