段号,井段,段长_m,平均水泥占据率,平均顶替效率,质量等级
1,7618-7418m,200.0,0.9999999999999999,0.9999999999999999,良好
2,7418-7218m,200.0,0.9999999999999882,0.9999999999999882,良好
3,7218-7018m,200.0,0.9999985759339188,0.9999985759339188,良好
4,7018-6818m,200.0,0.9997301707412579,0.9997301707412579,良好
5,6818-6618m,200.0,0.9957325952001448,0.9957325952001448,良好
6,6618-6418m,200.0,0.9846679077961178,0.9846679077961178,良好
7,6418-6218m,200.0,0.9676395526865099,0.9676395526865099,良好
8,6218-6018m,200.0,0.9443655849513765,0.9443655849513765,良好
9,6018-5818m,200.0,0.904652738342564,0.904652738342564,良好
10,5818-5618m,200.0,0.8216008200001612,0.8216008200001612,良好
11,5618-5418m,200.0,0.6838971664614985,0.6838971664614985,不合格
12,5418-5308m,110.46100000000024,0.5311696385424068,0.5311696385424068,不合格
