段号,井段,段长_m,平均水泥占据率,平均顶替效率,质量等级
1,7586-7386m,200.0,0.9999999992479857,0.9999999992479857,良好
2,7386-7186m,200.0,0.999277674968669,0.999277674968669,良好
3,7186-6986m,200.0,0.9723372423852077,0.9723372423852077,良好
4,6986-6786m,200.0,0.9171204154730421,0.9171204154730421,良好
5,6786-6586m,200.0,0.8915177736167371,0.8915177736167371,良好
6,6586-6386m,200.0,0.881898377410703,0.881898377410703,良好
7,6386-6186m,200.0,0.8730501162683345,0.8730501162683345,良好
8,6186-5986m,200.0,0.8597936212824888,0.8597936212824888,良好
9,5986-5786m,200.0,0.8370334990377818,0.8370334990377818,良好
10,5786-5586m,200.0,0.5308401634087827,0.5308401634087827,不合格
11,5586-5386m,200.0,0.15811094605048778,0.15811094605048778,不合格
12,5386-5278m,108.2460000000001,0.10908261472571511,0.10908261472571511,不合格
