井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7618.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03908351852496722,0.17000000000000004,0.83
7613.369817635271,0.0,1.0,1.0,7.374030944136879e-57,1.0,4.207706291598618e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.3521310739221328e-94,7.527824901014731e-67,7.380756868182992e-56,0.039083518524483205,0.17000000000000004,0.83
7608.739635270541,0.0,1.0,1.0,5.832373532522335e-56,1.0,6.767402211662477e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.953494229728905e-93,7.527334276396159e-66,5.8398529692569715e-55,0.039083518523999196,0.17000000000000004,0.83
7604.109452905812,0.0,0.9999999999999999,0.9999999999999999,3.5702950520976476e-55,0.9999999999999999,7.229668866798952e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.0300631213921905e-92,5.53272977378154e-65,3.574983557356991e-54,0.03908351852351519,0.17000000000000004,0.83
7599.479270541082,0.0,0.9999999999999999,0.9999999999999999,1.967918820181384e-54,0.9999999999999999,7.229668866798953e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.78733654428431e-91,3.5363458013452555e-64,1.9702799830193152e-53,0.03908351852303117,0.17000000000000004,0.83
7594.849088176353,0.0,1.0,1.0,1.0215699612579456e-53,1.0,7.229668866798953e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.4063475034619262e-90,2.0755986675918697e-63,1.0226216929097636e-52,0.03908351852254716,0.17000000000000004,0.83
7590.218905811624,0.0,1.0,1.0,5.092143463821728e-53,1.0,7.229668866798954e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.015940568607362e-89,1.1481547397762652e-62,5.096468256745643e-52,0.03908351852206314,0.17000000000000004,0.83
7585.588723446894,0.0,0.9999999999999999,0.9999999999999999,2.4612896333197888e-52,0.9999999999999999,7.22966886679895e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,6.85261738582542e-89,6.074894546437392e-62,2.4629878242097212e-51,0.039083518521579146,0.17000000000000004,0.83
7580.958541082165,0.0,1.0,1.0,1.1597976075105775e-51,1.0,8.153598083656812e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,4.366914875789821e-88,3.1024376059359426e-61,1.1604665612291942e-50,0.03908351852109513,0.17000000000000004,0.83
7576.328358717435,0.0,1.0,1.0,5.344091601989612e-51,1.0,9.311674306348362e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.6522812213943607e-87,1.5381485377996247e-60,5.346956638914681e-50,0.0390835185206111,0.17000000000000004,0.83
7571.698176352706,0.0,0.9999999999999997,0.9999999999999997,2.4119583072693394e-50,0.9999999999999997,1.0248262329683098e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.5456065475266293e-86,7.430169670130699e-60,2.4134066165279802e-49,0.039083518520127106,0.17000000000000004,0.83
7567.067993987976,0.0,1.0,1.0,1.0671700374822166e-49,1.0,1.163415615496989e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,8.686852405198757e-86,3.5043528592106943e-59,1.0680385570138999e-48,0.03908351851964308,0.17000000000000004,0.83
7562.4378116232465,0.0,1.0,1.0,4.629862253113745e-49,1.0,1.2096120763398815e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,4.727334320949985e-85,1.6149555942859704e-58,4.635593466350354e-48,0.039083518519159074,0.17000000000000004,0.83
7557.807629258517,0.0,1.0,1.0,1.9690917891443967e-48,1.0,1.2096120763398822e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,2.4977485787863427e-84,7.26751790893278e-58,1.9729480112933662e-47,0.03908351851867505,0.17000000000000004,0.83
7553.177446893787,0.0,0.9999999999999997,0.9999999999999997,8.204338398479074e-48,0.9999999999999997,1.3041446597816254e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.2831468315075785e-83,3.186146637834924e-57,8.229604888777689e-47,0.039083518518191064,0.17000000000000004,0.83
7548.547264529058,0.0,1.0,1.0,3.346643808412645e-47,1.0,1.2810464293601802e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,6.409919757724607e-83,1.3591457937359843e-56,3.361671295650135e-46,0.03907171986519503,0.17000000000000004,0.83
7543.917082164328,0.0,0.9999999999999997,0.9999999999999997,1.3377334453342878e-46,0.9999999999999997,1.2351198943434048e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,3.1154123089720137e-82,5.67402156144106e-56,1.345242956286062e-45,0.03903411500554617,0.17000000000000004,0.83
7539.286899799599,0.0,0.9999999999999999,0.9999999999999999,5.256415759895812e-46,0.9999999999999999,1.2347140452506704e-16,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,1.4776333159506072e-81,2.334759431704444e-55,5.288405309347512e-45,0.03899651014589729,0.17000000000000004,0.83
7534.656717434869,0.0,0.9999999999999997,0.9999999999999997,2.035746180856959e-45,0.9999999999999997,1.5132148147283015e-16,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,6.870244167400877e-81,9.502193270214844e-55,2.0477985672731522e-44,0.03895890528624839,0.17000000000000004,0.83
7530.02653507014,0.0,0.9999999999999999,0.9999999999999999,7.796135057700026e-45,0.9999999999999999,1.5580640393889116e-16,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,3.1739272846843417e-80,3.853097180446201e-54,7.834747059775155e-44,0.03892130042659951,0.17000000000000004,0.83
