排量_m3min,屈服应力_Pa,黏度_mPas,全井有效顶替效率,耗时_s
0.3,5.0,50.0,0.656928,10.3
0.3,5.0,70.0,0.740662,10.0
0.3,5.0,90.0,0.805523,10.9
0.3,5.0,110.0,0.854944,10.0
0.3,5.0,130.0,0.893149,10.2
0.3,5.0,150.0,0.916757,10.0
0.3,5.0,170.0,0.929264,10.0
0.3,5.0,190.0,0.936066,10.0
0.3,5.0,210.0,0.940163,10.1
0.3,5.0,230.0,0.942874,10.9
0.3,5.0,250.0,0.944795,10.1
0.3,5.0,270.0,0.946228,10.0
0.3,5.0,290.0,0.947336,10.0
0.3,5.0,310.0,0.948217,9.9
0.3,5.0,330.0,0.948934,10.0
0.3,5.0,350.0,0.949528,10.2
0.3,7.0,50.0,0.717111,9.9
0.3,7.0,70.0,0.794851,10.1
0.3,7.0,90.0,0.852597,10.0
0.3,7.0,110.0,0.894668,10.0
0.3,7.0,130.0,0.917972,9.9
0.3,7.0,150.0,0.929949,10.0
0.3,7.0,170.0,0.936429,10.2
0.3,7.0,190.0,0.940378,10.0
0.3,7.0,210.0,0.943024,10.1
0.3,7.0,230.0,0.944914,9.9
0.3,7.0,250.0,0.946329,10.0
0.3,7.0,270.0,0.947426,10.2
0.3,7.0,290.0,0.948299,10.1
0.3,7.0,310.0,0.94901,10.1
0.3,7.0,330.0,0.9496,10.1
0.3,7.0,350.0,0.950097,10.0
0.3,9.0,50.0,0.780903,10.0
0.3,9.0,70.0,0.848629,10.0
0.3,9.0,90.0,0.894413,9.9
0.3,9.0,110.0,0.918585,10.7
0.3,9.0,130.0,0.930282,10.0
0.3,9.0,150.0,0.936594,10.1
0.3,9.0,170.0,0.940484,10.0
0.3,9.0,190.0,0.943107,10.0
0.3,9.0,210.0,0.944989,9.7
0.3,9.0,230.0,0.946399,9.9
0.3,9.0,250.0,0.947493,10.0
0.3,9.0,270.0,0.948365,9.9
0.3,9.0,290.0,0.949075,13.0
0.3,9.0,310.0,0.949663,17.3
0.3,9.0,330.0,0.950159,11.9
0.3,9.0,350.0,0.950581,10.6
0.3,11.0,50.0,0.841867,10.2
0.3,11.0,70.0,0.892614,10.6
0.3,11.0,90.0,0.918414,10.4
0.3,11.0,110.0,0.930215,10.1
0.3,11.0,130.0,0.936545,10.0
0.3,11.0,150.0,0.940464,10.4
0.3,11.0,170.0,0.943113,10.5
0.3,11.0,190.0,0.945012,10.4
0.3,11.0,210.0,0.946435,10.5
0.3,11.0,230.0,0.947537,10.2
0.3,11.0,250.0,0.948413,10.4
0.3,11.0,270.0,0.949126,10.3
0.3,11.0,290.0,0.949716,10.4
0.3,11.0,310.0,0.950212,10.2
0.3,11.0,330.0,0.950634,10.5
0.3,11.0,350.0,0.950998,10.3
0.3,13.0,50.0,0.890168,10.3
0.3,13.0,70.0,0.917375,10.3
0.3,13.0,90.0,0.929557,10.4
0.3,13.0,110.0,0.936195,10.1
0.3,13.0,130.0,0.940272,10.9
0.3,13.0,150.0,0.943016,10.3
0.3,13.0,170.0,0.944972,10.1
0.3,13.0,190.0,0.946429,10.2
0.3,13.0,210.0,0.947551,10.3
0.3,13.0,230.0,0.948441,10.5
0.3,13.0,250.0,0.949162,10.4
0.3,13.0,270.0,0.949757,10.1
0.3,13.0,290.0,0.950256,10.1
0.3,13.0,310.0,0.950679,10.2
0.3,13.0,330.0,0.951044,10.0
0.3,13.0,350.0,0.95136,10.6
0.3,15.0,50.0,0.915902,10.7
0.3,15.0,70.0,0.928393,10.6
0.3,15.0,90.0,0.93541,10.6
0.3,15.0,110.0,0.939838,10.5
0.3,15.0,130.0,0.942776,10.3
0.3,15.0,150.0,0.94484,10.9
0.3,15.0,170.0,0.946363,10.4
0.3,15.0,190.0,0.947526,10.6
0.3,15.0,210.0,0.94844,10.5
0.3,15.0,230.0,0.949177,10.4
0.3,15.0,250.0,0.949782,10.5
0.3,15.0,270.0,0.950288,10.9
0.3,15.0,290.0,0.950716,10.6
0.3,15.0,310.0,0.951083,10.8
