段号,顶界_m,底界_m,段长_m,现场质量等级,现场质量描述,现场合格率_pct,现场数据来源,现场置信度,模型ηE_均值_pct,模型ηN_均值_pct,模型宽边_均值_pct,段内模型点数
1,5390.0,5455.0,65.0,差,差（悬挂器段/双层套管）,0.0,vision_extracted,high,38.9,0.0,99.5,6
2,5455.0,5580.0,125.0,良好,优良（双层套管内良好胶结）,100.0,vision_extracted,high,38.7,0.0,99.5,13
3,5580.0,5705.0,125.0,良好,良好（含局部一界面差段）,92.0,vision_extracted,high,37.2,0.0,99.6,12
4,5703.0,5835.0,132.0,良好至中等,良好至中等（含自由管特征差段）,81.1,vision_extracted,high,39.5,0.0,99.7,13
5,5833.0,5955.0,122.0,良好,良好（含短段中等和差）,83.6,vision_extracted,high,42.2,0.0,99.8,12
6,5955.0,6495.0,540.0,良好,良好为主（含局部差段，推断）,,auto_analysis,medium,49.1,0.2,99.9,55
7,6495.0,6803.0,308.0,良好至中等,良好至中等（推断）,,auto_analysis,medium,68.3,25.8,100.0,31
8,6803.0,6925.0,122.0,差至中等,差至中等（推断，重要变径段）,,auto_analysis,low,100.0,100.0,100.0,12
9,6925.0,7095.0,170.0,良好至中等,中等至良好（推断，含短差段）,,auto_analysis,low,100.0,100.0,100.0,18
10,7095.0,7441.0,346.0,中等,中等（推断，大面积中等段）,,auto_analysis,low,100.0,100.0,100.0,34
11,7441.0,7475.0,34.0,差至中等,交替变化（推断）,,auto_analysis,low,100.0,100.0,100.0,4
12,7475.0,7537.0,62.0,差,差（推断，气层关键段）,,auto_analysis,low,100.0,100.0,100.0,6
13,7537.0,7577.0,40.0,差,差（推断，目的层顶部大面积差段）,,auto_analysis,low,100.0,100.0,100.0,4
14,7577.0,7637.0,60.0,差,差为主（推断，含漏层）,,auto_analysis,low,100.0,100.0,100.0,6
15,7637.0,7674.0,37.0,差,差（推断，深部大面积差段）,,auto_analysis,low,100.0,100.0,100.0,4
16,7674.0,7717.0,43.0,良好至中等,良好至中等（推断，含短差段）,,auto_analysis,low,100.0,100.0,100.0,4
17,7717.0,7810.0,93.0,良好至中等,良好至中等（推断，管鞋段）,,auto_analysis,low,100.0,100.0,100.0,10
