depth_md_m,cbl_amplitude_pct,quality_proxy,quality_proxy_pct,quality_grade_cn,segment_type_cn,segment_note_cn,simulated_effective_efficiency,simulated_minus_cbl_proxy
5500,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3251025994765523,-0.6378974005234477
5510,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.32854612791454135,-0.6344538720854587
5520,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.33201061190528514,-0.6309893880947148
5530,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.33550124888649624,-0.6234987511135037
5540,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3390266648796004,-0.6239733351203995
5550,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.34259930287328333,-0.6204006971267166
5560,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3462382351791963,-0.6127617648208037
5570,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3499756834001867,-0.6060243165998133
5580,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3537772322417638,-0.6022227677582361
5590,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3574330213179919,-0.594566978682008
5600,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3610429164330868,-0.5949570835669131
5610,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.36463816397727433,-0.5943618360227256
5620,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3682229254055768,-0.5877770745944232
5630,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3717993009913393,-0.5802006990086607
5640,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3753671722570904,-0.5876328277429096
5650,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3789262098551312,-0.5770737901448688
5660,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3824756551562061,-0.5735243448437939
5670,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.38601394492413005,-0.56598605507587
5680,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3895391049552653,-0.5694608950447346
5690,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.3930495165626944,-0.5659504834373056
5700,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.3965438912441468,-0.5594561087558532
5710,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.40002045617127635,-0.5519795438287236
5720,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.40347642016913277,-0.5485235798308672
5730,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4069081935901216,-0.5450918064098784
5740,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.41031167679416153,-0.5416883232058385
5750,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.41368244227173057,-0.5383175577282694
5760,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4170158776574455,-0.5419841223425544
5770,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.42030726674615254,-0.5316927332538475
5780,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.42355194321790757,-0.5394480567820924
5790,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.42674542348381894,-0.536254576516181
5800,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.42988347752799655,-0.5291165224720034
5810,3.3,0.967,96.7,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.43296213193015975,-0.5340378680698402
5820,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4359776888735663,-0.5230223111264336
5830,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4389269435975982,-0.5200730564024018
5840,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4418078075972367,-0.5101921924027633
5850,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4446202028351187,-0.5073797971648812
5860,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.44736653886240535,-0.5116334611375946
5870,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.45005181235083724,-0.5089481876491627
5880,5.2,0.948,94.8,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.45268238493134777,-0.4953176150686522
5890,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.45526227107251366,-0.5007377289274864
5900,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4577913689253624,-0.4982086310746376
5910,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.46026710690651146,-0.4987328930934885
5920,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.46268939494142314,-0.5003106050585768
5930,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4650566774110319,-0.49794332258896806
5940,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4673656743954788,-0.49563432560452114
5950,5.9,0.941,94.1,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4696199940213501,-0.4713800059786499
5960,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.47183122723734217,-0.4841687727626578
5970,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4740077653074467,-0.47799223469255325
5980,5.6,0.944,94.4,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.4761532406227051,-0.46784675937729486
5990,5.6,0.944,94.4,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.47826959770328625,-0.4657304022967137
6000,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.48035838326323793,-0.47564161673676203
