depth_md_m,cbl_amplitude_pct,quality_proxy,quality_proxy_pct,quality_grade_cn,segment_type_cn,segment_note_cn,simulated_effective_efficiency,simulated_minus_cbl_proxy
5500,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.595127878854376,-0.36787212114562395
5510,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.55656862898819,-0.4064313710118099
5520,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.5607656797109364,-0.4022343202890636
5530,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6269378698524148,-0.3320621301475851
5540,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6162178103042971,-0.34678218969570285
5550,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6287410005039276,-0.3342589994960724
5560,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6352981344781501,-0.3237018655218499
5570,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6188821668251347,-0.3371178331748652
5580,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.5728310268637494,-0.38316897313625053
5590,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6025139160682511,-0.34948608393174885
5600,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6150369367170011,-0.34096306328299886
5610,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.5701605376106713,-0.38883946238932865
5620,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6685084202143353,-0.28749157978566464
5630,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.632928822082691,-0.319071177917309
5640,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6082465479823339,-0.35475345201766606
5650,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6331089150257766,-0.32289108497422336
5660,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6410594085091991,-0.3149405914908009
5670,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6161311781027967,-0.33586882189720324
5680,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6235742841280462,-0.3354257158719538
5690,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,0.6174689432709529,-0.34153105672904704
5700,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.627271431674563,-0.32872856832543695
5710,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5942681750698755,-0.35773182493012445
5720,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6017559192377203,-0.35024408076227964
5730,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5862126815116455,-0.36578731848835444
5740,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5619261718621541,-0.39007382813784586
5750,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5805492738863143,-0.3714507261136857
5760,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6059745833233618,-0.3530254166766381
5770,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6457553773698351,-0.30624462263016483
5780,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6334737647981166,-0.3295262352018834
5790,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6702465159709079,-0.29275348402909207
5800,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6362138330628854,-0.3227861669371146
5810,3.3,0.967,96.7,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6445487434692727,-0.32245125653072726
5820,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6525884154248548,-0.30641158457514517
5830,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6531102114713118,-0.3058897885286882
5840,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6627633605463399,-0.28923663945366007
5850,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6027922363237046,-0.34920776367629536
5860,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5939447629348918,-0.3650552370651081
5870,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5823872727758846,-0.3766127272241153
5880,5.2,0.948,94.8,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6254749682855065,-0.3225250317144934
5890,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6430207272454207,-0.31297927275457926
5900,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6334558010599484,-0.3225441989400516
5910,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6205282654609205,-0.3384717345390794
5920,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6313499523095552,-0.3316500476904448
5930,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6658037806406094,-0.29719621935939056
5940,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5944330378935591,-0.3685669621064409
5950,5.9,0.941,94.1,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6411663462757885,-0.29983365372421145
5960,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6758352046394392,-0.2801647953605607
5970,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5994459507400832,-0.35255404925991674
5980,5.6,0.944,94.4,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6210948444694399,-0.3229051555305601
5990,5.6,0.944,94.4,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.5384570977096221,-0.4055429022903778
6000,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6402248585170155,-0.31577514148298447
6010,6.3,0.937,93.7,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6491447287097355,-0.28785527129026456
6020,7.4,0.926,92.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6878888510162507,-0.2381111489837493
6030,3.7,0.963,96.3,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6592783637213013,-0.30372163627869864
6040,5.9,0.941,94.1,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,0.6516309455349314,-0.28936905446506855
6050,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,0.6466896960420813,0.5726896960420813
6060,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,0.6620928142314049,0.5880928142314049
6070,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,0.6841246825085542,0.6101246825085542
6080,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,0.7006743398129457,0.6266743398129457
6090,92.6,0.074,7.4,差/空套风险,过渡/非目的段,双层套管以下、目的井段以上,0.6599507394424463,0.5859507394424464
6100,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,0.6420772752863786,0.5680772752863786
6110,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,0.6702619700670938,0.5962619700670938
6120,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,0.6973764169284796,0.6233764169284797
6130,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,0.6976592580270768,0.6236592580270769
6140,93.0,0.07,7.0,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,0.647612794856629,0.577612794856629
6150,92.6,0.074,7.4,差/空套风险,过渡/非目的段,6100-6400m 高声幅异常/重点风险段,0.6282337160581479,0.554233716058148
