地面累计时间_s,地面累计时间_min,环空顶替时间_s,环空顶替时间_min,地面施工阶段,鞋口出流流体,环空入口相,排量_m3_min
0.000,0.000,0.000,0.000,注入平衡液（前置液）,钻井液,泥浆相,0.450000
6884.589,114.743,0.000,0.000,替浆（钻井液）,平衡液,泥浆相,0.840909
7954.859,132.581,0.000,0.000,替浆（钻井液）,隔离液,泥浆相,0.840909
8311.616,138.527,0.000,0.000,替浆（钻井液）,隔离液,泥浆相,0.840909
9381.886,156.365,0.000,0.000,替浆（钻井液）,领浆,泥浆相,0.840909
10095.400,168.257,0.000,0.000,替浆（钻井液）,尾管水泥浆,水泥相,0.840909
10594.859,176.581,499.459,8.324,替浆（钻井液）,钻井液,泥浆相,0.840909
11094.319,184.905,998.919,16.649,替浆（钻井液）,后置液,泥浆相,0.840909
11522.427,192.040,1427.027,23.784,替浆（钻井液）,替浆液,泥浆相,0.840909
13629.451,227.158,3534.051,58.901,施工结束后保持,替浆液,泥浆相,0.000000
