time_s,time_min,depth_m,cement_total,spacer,flusher,mud
0.0,0.0,7770.0,0.0,0.0,0.0,1.0
0.0,0.0,7766.839,0.0,0.0,0.0,1.0
0.0,0.0,7763.678,0.0,0.0,0.0,1.0
0.0,0.0,7760.517,0.0,0.0,0.0,1.0
0.0,0.0,7757.355,0.0,0.0,0.0,1.0
0.0,0.0,7754.194,0.0,0.0,0.0,1.0
0.0,0.0,7751.033,0.0,0.0,0.0,1.0
0.0,0.0,7747.872,0.0,0.0,0.0,1.0
0.0,0.0,7744.711,0.0,0.0,0.0,1.0
0.0,0.0,7741.55,0.0,0.0,0.0,1.0
0.0,0.0,7738.388,0.0,0.0,0.0,1.0
0.0,0.0,7735.227,0.0,0.0,0.0,1.0
0.0,0.0,7732.066,0.0,0.0,0.0,1.0
0.0,0.0,7728.905,0.0,0.0,0.0,1.0
0.0,0.0,7725.744,0.0,0.0,0.0,1.0
0.0,0.0,7722.583,0.0,0.0,0.0,1.0
0.0,0.0,7719.422,0.0,0.0,0.0,1.0
0.0,0.0,7716.26,0.0,0.0,0.0,1.0
0.0,0.0,7713.099,0.0,0.0,0.0,1.0
0.0,0.0,7709.938,0.0,0.0,0.0,1.0
0.0,0.0,7706.777,0.0,0.0,0.0,1.0
0.0,0.0,7703.616,0.0,0.0,0.0,1.0
0.0,0.0,7700.455,0.0,0.0,0.0,1.0
0.0,0.0,7697.294,0.0,0.0,0.0,1.0
0.0,0.0,7694.132,0.0,0.0,0.0,1.0
0.0,0.0,7690.971,0.0,0.0,0.0,1.0
0.0,0.0,7687.81,0.0,0.0,0.0,1.0
0.0,0.0,7684.649,0.0,0.0,0.0,1.0
0.0,0.0,7681.488,0.0,0.0,0.0,1.0
0.0,0.0,7678.327,0.0,0.0,0.0,1.0
0.0,0.0,7675.165,0.0,0.0,0.0,1.0
0.0,0.0,7672.004,0.0,0.0,0.0,1.0
0.0,0.0,7668.843,0.0,0.0,0.0,1.0
0.0,0.0,7665.682,0.0,0.0,0.0,1.0
0.0,0.0,7662.521,0.0,0.0,0.0,1.0
0.0,0.0,7659.36,0.0,0.0,0.0,1.0
0.0,0.0,7656.199,0.0,0.0,0.0,1.0
0.0,0.0,7653.037,0.0,0.0,0.0,1.0
0.0,0.0,7649.876,0.0,0.0,0.0,1.0
0.0,0.0,7646.715,0.0,0.0,0.0,1.0
0.0,0.0,7643.554,0.0,0.0,0.0,1.0
0.0,0.0,7640.393,0.0,0.0,0.0,1.0
0.0,0.0,7637.232,0.0,0.0,0.0,1.0
0.0,0.0,7634.071,0.0,0.0,0.0,1.0
0.0,0.0,7630.909,0.0,0.0,0.0,1.0
0.0,0.0,7627.748,0.0,0.0,0.0,1.0
0.0,0.0,7624.587,0.0,0.0,0.0,1.0
0.0,0.0,7621.426,0.0,0.0,0.0,1.0
0.0,0.0,7618.265,0.0,0.0,0.0,1.0
0.0,0.0,7615.104,0.0,0.0,0.0,1.0
0.0,0.0,7611.942,0.0,0.0,0.0,1.0
0.0,0.0,7608.781,0.0,0.0,0.0,1.0
0.0,0.0,7605.62,0.0,0.0,0.0,1.0
0.0,0.0,7602.459,0.0,0.0,0.0,1.0
0.0,0.0,7599.298,0.0,0.0,0.0,1.0
0.0,0.0,7596.137,0.0,0.0,0.0,1.0
0.0,0.0,7592.976,0.0,0.0,0.0,1.0
0.0,0.0,7589.814,0.0,0.0,0.0,1.0
0.0,0.0,7586.653,0.0,0.0,0.0,1.0
0.0,0.0,7583.492,0.0,0.0,0.0,1.0
0.0,0.0,7580.331,0.0,0.0,0.0,1.0
0.0,0.0,7577.17,0.0,0.0,0.0,1.0
0.0,0.0,7574.009,0.0,0.0,0.0,1.0
0.0,0.0,7570.847,0.0,0.0,0.0,1.0
0.0,0.0,7567.686,0.0,0.0,0.0,1.0
0.0,0.0,7564.525,0.0,0.0,0.0,1.0
0.0,0.0,7561.364,0.0,0.0,0.0,1.0
0.0,0.0,7558.203,0.0,0.0,0.0,1.0
0.0,0.0,7555.042,0.0,0.0,0.0,1.0
0.0,0.0,7551.881,0.0,0.0,0.0,1.0
0.0,0.0,7548.719,0.0,0.0,0.0,1.0
0.0,0.0,7545.558,0.0,0.0,0.0,1.0
0.0,0.0,7542.397,0.0,0.0,0.0,1.0
0.0,0.0,7539.236,0.0,0.0,0.0,1.0
0.0,0.0,7536.075,0.0,0.0,0.0,1.0
0.0,0.0,7532.914,0.0,0.0,0.0,1.0
0.0,0.0,7529.753,0.0,0.0,0.0,1.0
0.0,0.0,7526.591,0.0,0.0,0.0,1.0
0.0,0.0,7523.43,0.0,0.0,0.0,1.0
0.0,0.0,7520.269,0.0,0.0,0.0,1.0
0.0,0.0,7517.108,0.0,0.0,0.0,1.0
0.0,0.0,7513.947,0.0,0.0,0.0,1.0
0.0,0.0,7510.786,0.0,0.0,0.0,1.0
0.0,0.0,7507.624,0.0,0.0,0.0,1.0
0.0,0.0,7504.463,0.0,0.0,0.0,1.0
0.0,0.0,7501.302,0.0,0.0,0.0,1.0
0.0,0.0,7498.141,0.0,0.0,0.0,1.0
0.0,0.0,7494.98,0.0,0.0,0.0,1.0
0.0,0.0,7491.819,0.0,0.0,0.0,1.0
0.0,0.0,7488.658,0.0,0.0,0.0,1.0
0.0,0.0,7485.496,0.0,0.0,0.0,1.0
0.0,0.0,7482.335,0.0,0.0,0.0,1.0
0.0,0.0,7479.174,0.0,0.0,0.0,1.0
0.0,0.0,7476.013,0.0,0.0,0.0,1.0
0.0,0.0,7472.852,0.0,0.0,0.0,1.0
0.0,0.0,7469.691,0.0,0.0,0.0,1.0
0.0,0.0,7466.529,0.0,0.0,0.0,1.0
0.0,0.0,7463.368,0.0,0.0,0.0,1.0
0.0,0.0,7460.207,0.0,0.0,0.0,1.0
0.0,0.0,7457.046,0.0,0.0,0.0,1.0
0.0,0.0,7453.885,0.0,0.0,0.0,1.0
0.0,0.0,7450.724,0.0,0.0,0.0,1.0
0.0,0.0,7447.563,0.0,0.0,0.0,1.0
0.0,0.0,7444.401,0.0,0.0,0.0,1.0
0.0,0.0,7441.24,0.0,0.0,0.0,1.0
0.0,0.0,7438.079,0.0,0.0,0.0,1.0
0.0,0.0,7434.918,0.0,0.0,0.0,1.0
0.0,0.0,7431.757,0.0,0.0,0.0,1.0
0.0,0.0,7428.596,0.0,0.0,0.0,1.0
0.0,0.0,7425.435,0.0,0.0,0.0,1.0
0.0,0.0,7422.273,0.0,0.0,0.0,1.0
0.0,0.0,7419.112,0.0,0.0,0.0,1.0
0.0,0.0,7415.951,0.0,0.0,0.0,1.0
0.0,0.0,7412.79,0.0,0.0,0.0,1.0
0.0,0.0,7409.629,0.0,0.0,0.0,1.0
0.0,0.0,7406.468,0.0,0.0,0.0,1.0
0.0,0.0,7403.306,0.0,0.0,0.0,1.0
0.0,0.0,7400.145,0.0,0.0,0.0,1.0
0.0,0.0,7396.984,0.0,0.0,0.0,1.0
0.0,0.0,7393.823,0.0,0.0,0.0,1.0
0.0,0.0,7390.662,0.0,0.0,0.0,1.0
0.0,0.0,7387.501,0.0,0.0,0.0,1.0
0.0,0.0,7384.34,0.0,0.0,0.0,1.0
0.0,0.0,7381.178,0.0,0.0,0.0,1.0
0.0,0.0,7378.017,0.0,0.0,0.0,1.0
0.0,0.0,7374.856,0.0,0.0,0.0,1.0
0.0,0.0,7371.695,0.0,0.0,0.0,1.0
0.0,0.0,7368.534,0.0,0.0,0.0,1.0
0.0,0.0,7365.373,0.0,0.0,0.0,1.0
0.0,0.0,7362.212,0.0,0.0,0.0,1.0
0.0,0.0,7359.05,0.0,0.0,0.0,1.0
0.0,0.0,7355.889,0.0,0.0,0.0,1.0
0.0,0.0,7352.728,0.0,0.0,0.0,1.0
0.0,0.0,7349.567,0.0,0.0,0.0,1.0
0.0,0.0,7346.406,0.0,0.0,0.0,1.0
0.0,0.0,7343.245,0.0,0.0,0.0,1.0
0.0,0.0,7340.083,0.0,0.0,0.0,1.0
0.0,0.0,7336.922,0.0,0.0,0.0,1.0
0.0,0.0,7333.761,0.0,0.0,0.0,1.0
0.0,0.0,7330.6,0.0,0.0,0.0,1.0
240.0,4.0,7770.0,0.0,0.0,0.0,1.0
240.0,4.0,7766.839,0.0,0.0,0.0,1.0
240.0,4.0,7763.678,0.0,0.0,0.0,1.0
240.0,4.0,7760.517,0.0,0.0,0.0,1.0
240.0,4.0,7757.355,0.0,0.0,0.0,1.0
240.0,4.0,7754.194,0.0,0.0,0.0,1.0
240.0,4.0,7751.033,0.0,0.0,0.0,1.0
240.0,4.0,7747.872,0.0,0.0,0.0,1.0
240.0,4.0,7744.711,0.0,0.0,0.0,1.0
240.0,4.0,7741.55,0.0,0.0,0.0,1.0
240.0,4.0,7738.388,0.0,0.0,0.0,1.0
240.0,4.0,7735.227,0.0,0.0,0.0,1.0
240.0,4.0,7732.066,0.0,0.0,0.0,1.0
240.0,4.0,7728.905,0.0,0.0,0.0,1.0
240.0,4.0,7725.744,0.0,0.0,0.0,1.0
240.0,4.0,7722.583,0.0,0.0,0.0,1.0
240.0,4.0,7719.422,0.0,0.0,0.0,1.0
240.0,4.0,7716.26,0.0,0.0,0.0,1.0
240.0,4.0,7713.099,0.0,0.0,0.0,1.0
240.0,4.0,7709.938,0.0,0.0,0.0,1.0
240.0,4.0,7706.777,0.0,0.0,0.0,1.0
240.0,4.0,7703.616,0.0,0.0,0.0,1.0
240.0,4.0,7700.455,0.0,0.0,0.0,1.0
240.0,4.0,7697.294,0.0,0.0,0.0,1.0
240.0,4.0,7694.132,0.0,0.0,0.0,1.0
240.0,4.0,7690.971,0.0,0.0,0.0,1.0
240.0,4.0,7687.81,0.0,0.0,0.0,1.0
240.0,4.0,7684.649,0.0,0.0,0.0,1.0
240.0,4.0,7681.488,0.0,0.0,0.0,1.0
240.0,4.0,7678.327,0.0,0.0,0.0,1.0
240.0,4.0,7675.165,0.0,0.0,0.0,1.0
240.0,4.0,7672.004,0.0,0.0,0.0,1.0
240.0,4.0,7668.843,0.0,0.0,0.0,1.0
240.0,4.0,7665.682,0.0,0.0,0.0,1.0
240.0,4.0,7662.521,0.0,0.0,0.0,1.0
240.0,4.0,7659.36,0.0,0.0,0.0,1.0
240.0,4.0,7656.199,0.0,0.0,0.0,1.0
240.0,4.0,7653.037,0.0,0.0,0.0,1.0
240.0,4.0,7649.876,0.0,0.0,0.0,1.0
240.0,4.0,7646.715,0.0,0.0,0.0,1.0
240.0,4.0,7643.554,0.0,0.0,0.0,1.0
240.0,4.0,7640.393,0.0,0.0,0.0,1.0
240.0,4.0,7637.232,0.0,0.0,0.0,1.0
240.0,4.0,7634.071,0.0,0.0,0.0,1.0
240.0,4.0,7630.909,0.0,0.0,0.0,1.0
240.0,4.0,7627.748,0.0,0.0,0.0,1.0
240.0,4.0,7624.587,0.0,0.0,0.0,1.0
240.0,4.0,7621.426,0.0,0.0,0.0,1.0
240.0,4.0,7618.265,0.0,0.0,0.0,1.0
240.0,4.0,7615.104,0.0,0.0,0.0,1.0
240.0,4.0,7611.942,0.0,0.0,0.0,1.0
240.0,4.0,7608.781,0.0,0.0,0.0,1.0
