case_id,e,Re,m,b,t_br_模型,t_br_论文D2DGA,t_br_论文3D,eta_E_模型,eta_E_论文D2DGA,mass_conservation_error,clip_triggered
1,0.8,20,0.2,-50.0,0.55,0.44,0.33,0.9866,0.66,0.4446826483610697,0
2,0.8,20,0.2,100.0,0.55,0.95,0.95,0.9866,0.95,0.4446826565510022,0
3,0.6,20,0.2,10.0,0.5472,0.79,0.67,0.9944,0.92,0.4539789824409332,0
4,0.6,20,0.2,1000.0,0.5493,0.99,0.98,0.9943,1.0,0.46025157470595557,0
5,0.4,20,0.2,100.0,0.5761,0.95,0.93,0.9978,0.97,0.4351205306239619,0
6,0.4,20,5.0,100.0,0.2688,0.93,0.94,0.4883,0.93,0.482922454736447,0
7,0.2,20,0.5,10.0,0.6198,0.78,0.7,0.9984,0.9,0.3838873692051798,0
8,0.2,20,2.0,10.0,0.4509,0.78,0.7,0.7866,0.84,0.3858441592308469,0
9,0.1,100,0.2,100.0,0.7315,0.97,0.96,0.9999,0.97,0.332568752192403,0
10,0.1,1000,0.2,100.0,0.7337,0.97,0.96,0.9999,0.97,0.3328752510311333,0
