case_id,e,Re,m,b,eta_E_模型,eta_E_论文D2DGA,eta_E_论文3D,eta_E_偏差_vs_D2DGA,eta_E_偏差_vs_3D,eta_E_超容差,t_br_模型,t_br_论文D2DGA,t_br_论文3D,t_br_偏差_vs_D2DGA,t_br_超容差,t_br_原始_s,t_br_v2口径,t_br_v2口径_s,mass_conservation_error,体积创造峰值,clip_triggered,clip_调用次数,clip_最大绝对值,clip_理论上界,b_反算_论文式,b_模型summary,Q0_用,Q0_论文打印,网格_nz,网格_ny,时间步数
1,0.8,20,0.2,-50.0,0.2467,0.66,0.61,-0.4133,-0.3633,True,0.1188,0.44,0.33,-0.3212,True,17.814,0.2389,35.834,0.6861292012182486,1.6912,0,0,0.0,0.017538,-49.999,-49.999,1.9032652967938214e-05,1.9e-05,140,40,14970
2,0.8,20,0.2,100.0,0.9822,0.95,0.95,0.0322,0.0322,False,0.9785,0.95,0.95,0.0285,False,146.768,0.862,129.296,0.09801776782767616,1.0484,0,0,0.0,0.035076,99.998,99.998,1.9032652967938214e-05,1.9e-05,140,40,1163
3,0.6,20,0.2,10.0,0.9834,0.92,0.91,0.0634,0.0734,True,0.9407,0.79,0.67,0.1507,True,141.1,0.8257,123.861,0.09863317740274832,1.0508,0,0,0.0,0.003508,10.0007,10.0007,1.9032652967938214e-05,1.9e-05,140,40,1181
4,0.6,20,0.2,1000.0,0.9956,1.0,0.98,-0.0044,0.0156,False,0.8699,0.99,0.98,-0.1201,True,521.953,0.9961,597.652,0.21249210685240086,1.1393,0,0,0.0,0.021924,1000.0324,1000.0324,4.758163241984553e-06,4.76e-06,140,40,10423
5,0.4,20,0.2,100.0,0.9959,0.97,0.95,0.0259,0.0459,False,0.9933,0.95,0.93,0.0433,False,148.989,0.8909,133.629,0.08393994312973309,1.0394,0,0,0.0,0.035076,99.998,99.998,1.9032652967938214e-05,1.9e-05,140,40,1168
6,0.4,20,5.0,100.0,0.9872,0.93,0.96,0.0572,0.0272,True,0.9902,0.93,0.94,0.0602,False,118.824,0.8627,103.53,0.08255795152724746,1.0379,0,0,0.0,0.105775,99.9991,99.9991,2.3790816209922767e-05,2.38e-05,140,40,1301
7,0.2,20,0.5,10.0,0.9969,0.9,0.9,0.0969,0.0969,True,0.9776,0.78,0.7,0.1976,True,146.638,0.859,128.854,0.058330098590711345,1.0269,0,0,0.0,0.003863,10.0007,10.0007,1.9032652967938214e-05,1.9e-05,140,40,899
8,0.2,20,2.0,10.0,0.9793,0.84,0.86,0.1393,0.1193,True,0.9598,0.78,0.7,0.1798,True,57.588,0.8062,48.371,0.05658320832218597,1.0254,0,0,0.0,0.032918,10.0003,10.0003,4.7581632419845534e-05,4.76e-05,140,40,1048
9,0.1,100,0.2,100.0,0.9998,0.97,0.95,0.0298,0.0498,False,0.9975,0.97,0.96,0.0275,False,119.705,0.9003,108.03,0.032995484471297395,1.0149,0,0,0.0,0.010961,99.9963,99.9963,2.3790816209922767e-05,0.000238,140,40,766
10,0.1,1000,0.2,100.0,0.9998,0.97,0.95,0.0298,0.0498,False,0.9981,0.97,0.96,0.0281,False,11.977,0.914,10.968,0.06816981897744634,1.0552,0,0,0.0,0.109615,100.0005,100.0005,0.00023790816209922768,0.000238,140,40,764
