case_id,e,m,b,eta_E_模型,eta_E_论文D2DGA,eta_E_偏差_vs_D2DGA,t_br_模型,t_br_论文D2DGA,t_br_偏差_vs_D2DGA,mass_conservation_error
1,0.8,0.2,-50.0,0.2467,0.66,-0.4133,0.1188,0.44,-0.3212,0.6861292012182486
2,0.8,0.2,100.0,0.9822,0.95,0.0322,0.9785,0.95,0.0285,0.09801776782767616
3,0.6,0.2,10.0,0.9834,0.92,0.0634,0.9407,0.79,0.1507,0.09863317740274832
4,0.6,0.2,1000.0,0.9956,1.0,-0.0044,0.8699,0.99,-0.1201,0.21249210685240086
5,0.4,0.2,100.0,0.9959,0.97,0.0259,0.9933,0.95,0.0433,0.08393994312973309
6,0.4,5.0,100.0,0.9872,0.93,0.0572,0.9902,0.93,0.0602,0.08255795152724746
7,0.2,0.5,10.0,0.9969,0.9,0.0969,0.9776,0.78,0.1976,0.058330098590711345
8,0.2,2.0,10.0,0.9793,0.84,0.1393,0.9598,0.78,0.1798,0.05658320832218597
9,0.1,0.2,100.0,0.9998,0.97,0.0298,0.9975,0.97,0.0275,0.032995484471297395
10,0.1,0.2,100.0,0.9998,0.97,0.0298,0.9981,0.97,0.0281,0.06816981897744634
