[D2DGA] 开始环空二维模拟 total_t=10900s nz=250 ny=40
  [D2DGA] 进度 0% (4s/10900s, dt=4.000s)
  [D2DGA] 进度 10% (1092s/10900s, dt=2.618s)
  [D2DGA] 进度 20% (2183s/10900s, dt=3.255s)
  [D2DGA] 进度 30% (3270s/10900s, dt=3.255s)
  [D2DGA] 进度 40% (4361s/10900s, dt=3.255s)
  [D2DGA] 进度 50% (5451s/10900s, dt=3.255s)
  [D2DGA] 进度 60% (6542s/10900s, dt=3.255s)
  [D2DGA] 进度 70% (7632s/10900s, dt=2.336s)
  [D2DGA] 进度 80% (8721s/10900s, dt=3.992s)
  [D2DGA] 进度 90% (9810s/10900s, dt=4.000s)
  [D2DGA] 进度 100% (10900s/10900s, dt=1.338s)
