well,dispersion_dt_scale,yield_gate_f_safety,eta_E,eta_N,mixing,channeling,cement_occ,wall_frac,elapsed_s
ht1_001,0.25,1.15,0.5234745508419694,0.39213181653863755,0.30238954413890784,0.5783132530117943,0.5234745508419694,0.2844,460.8
ht1_001,0.5,1.15,0.5375053541483384,0.4399220510621461,0.28928162522678164,0.5261044176704517,0.5375053541483384,0.2538,597.5
ht1_001,1.0,1.3,0.5472946490696193,0.46021000167886733,0.288669144882603,0.5020080321282935,0.5472946490696193,0.2351,280.2
ht1_003,0.25,1.15,0.6262716526781138,0.4457196170911933,0.2707765228516805,0.5421686746985606,0.6262716526781138,0.2104,727.1
ht1_003,0.5,1.15,0.6427305306691556,0.5123125170966446,0.25970539187995767,0.4658634538150595,0.6427305306691556,0.176,877.9
ht1_003,1.0,1.3,0.6556770941171758,0.5567671134040125,0.23203902616592345,0.4136546184737166,0.6556770941171758,0.1784,447.5
ht1_004,0.25,1.15,0.1534269071369865,0.05963198515233556,0.22906434820506072,0.935742971887163,0.1534269071369865,0.612,152.9
ht1_004,0.5,1.15,0.14804271467163768,0.06403183489486364,0.23104153238383413,0.9116465863450044,0.14804271467163768,0.6071,185.8
ht1_004,1.0,1.3,0.1417726794073151,0.0650564742327269,0.22395102594520214,0.6024096385539677,0.1417726794073151,0.6159,112.9
hu1,0.25,1.15,0.5287448027106008,0.109086322053253,0.25179307239485055,0.9076305220881308,0.5287448027106008,0.3783,332.7
hu1,0.5,1.15,0.5438001774204223,0.1540398337459171,0.2795310666625587,0.8674698795178596,0.5438001774204223,0.3298,298.5
hu1,1.0,1.3,0.5561691914493121,0.16358071244597353,0.33210612567815606,0.8634538152608324,0.5561691914493121,0.2862,274.4
hu101,0.25,1.15,0.32934879728201183,0.004340056897080568,0.2968327448530289,0.9999999999995948,0.32934879728201183,0.5566,363.2
hu101,0.5,1.15,0.3498592510840569,0.007187464815537271,0.3114838826175877,0.9999999999995948,0.3498592510840569,0.5373,246.9
hu101,1.0,1.3,0.36944494927203153,0.013250232630819921,0.3551918541375219,0.9999999999995948,0.36944494927203153,0.5474,218.5
hu102,0.25,1.15,0.3892008395060632,0.004093429911078276,0.279368665135443,0.0,0.3892008395060632,0.456,1042.8
hu102,0.5,1.15,0.43629709555195045,0.03976755425417894,0.2896283875032233,0.0,0.43629709555195045,0.3844,850.0
hu102,1.0,1.3,0.4513076137954466,0.03737830883554954,0.2993430347417011,0.0,0.4513076137954466,0.3864,753.0
hu103,0.25,1.15,0.37858070209842754,0.06392993355152243,0.25823562755775126,0.9678714859433417,0.37858070209842754,0.495,462.5
hu103,0.5,1.15,0.41687008801770775,0.11195162621470658,0.26099099623957345,0.8915662650598418,0.41687008801770775,0.4517,385.8
hu103,1.0,1.3,0.4214575977915528,0.12641323701967652,0.2673959449503229,0.8875502008028154,0.4214575977915528,0.4221,611.2
hu2,0.25,1.15,0.5776833879431128,0.4403112298919905,0.28015769085619885,0.49799196787126576,0.5776833879431128,0.2167,433.2
hu2,0.5,1.15,0.6019719536622845,0.4944455340861466,0.2743674571572908,0.4337349397588443,0.6019719536622845,0.1829,364.8
hu2,1.0,1.3,0.6174267130589084,0.5349987731165238,0.2671838069535601,0.3855421686745283,0.6174267130589084,0.1578,326.3
