well,category,item,loader_value,csv_value,status,note
hu101,fluid,displacement/轻泥浆[第1对1/4] 密度kg/m3,1960,1960,✓,
hu101,fluid,displacement/轻泥浆[第1对1/4] PV Pa·s,0.058,0.058,✓,
hu101,fluid,displacement/轻泥浆[第1对1/4] YP Pa,9.2,9.2,✓,
hu101,fluid,displacement/中置液[第2对2/4] 密度kg/m3,1960,1850,✗,CSV g/cm3×1000；容差10kg/m3
hu101,fluid,displacement/中置液[第2对2/4] PV Pa·s,0.058,—,-,
hu101,fluid,displacement/中置液[第2对2/4] YP Pa,9.2,—,-,
hu101,fluid,displacement/井浆[第3对3/4] 密度kg/m3,1960,2000,✗,CSV g/cm3×1000；容差10kg/m3
hu101,fluid,displacement/井浆[第3对3/4] PV Pa·s,0.058,0.03,✗,CSV mPa·s/1000；容差2%
hu101,fluid,displacement/井浆[第3对3/4] YP Pa,9.2,—,-,
hu101,fluid,role=lead[第1对1/2] 密度kg/m3,2100,2100,✓,
hu101,fluid,role=lead[第1对1/2] n,0.844,0.719,✗,容差2%
hu101,fluid,role=lead[第1对1/2] K Pa·s^n,0.381,0.815,✗,容差3%
hu101,fluid,role=lead[第1对1/2] 流变模型,power_law,power_law,✓,
hu101,fluid,role=mud[第1对1/4] 密度kg/m3,1960,1960,✓,
hu101,fluid,role=mud[第1对1/4] PV Pa·s,0.058,0.058,✓,
hu101,fluid,role=mud[第1对1/4] YP Pa,9.2,9.2,✓,
hu101,fluid,role=spacer[第1对1/2] 密度kg/m3,2000,2000,✓,
hu101,fluid,role=spacer[第1对1/2] PV Pa·s,0.03,0.03,✓,
hu101,fluid,role=spacer[第1对1/2] YP Pa,5,—,-,
hu101,fluid,role=tail[第1对1/2] 密度kg/m3,1900,1900,✓,
hu101,fluid,role=tail[第1对1/2] n,0.83,0.722,✗,容差2%
hu101,fluid,role=tail[第1对1/2] K Pa·s^n,0.352,0.684,✗,容差3%
hu101,fluid,role=tail[第1对1/2] 流变模型,power_law,power_law,✓,
hu101,fluid,role=wash[第1对1/2] 密度kg/m3,1850,1850,✓,
hu101,fluid,role=wash[第1对1/2] PV Pa·s,0.041,—,-,
hu101,fluid,role=wash[第1对1/2] YP Pa,9.2,—,-,
hu101,schedule,role=displacement[1] 体积m3(注后置液(管内)),2,26,✗,容差0.2m³/1%
hu101,schedule,role=displacement[1] 排量m3/min,0.6,1.5,✗,容差2%
hu101,schedule,role=displacement[1] 开始min(推算vs现场),115.8,119,⚠,loader时间为体积/排量推算；容差3min
hu101,schedule,role=displacement[1] 结束min(推算vs现场),119.2,137,⚠,容差3min
hu101,schedule,role=displacement[2] 体积m3(注轻泥浆),26,10,✗,容差0.2m³/1%
hu101,schedule,role=displacement[2] 排量m3/min,1.5,1,✗,容差2%
hu101,schedule,role=displacement[2] 开始min(推算vs现场),119.2,137,⚠,loader时间为体积/排量推算；容差3min
hu101,schedule,role=displacement[2] 结束min(推算vs现场),136.5,147,⚠,容差3min
hu101,schedule,role=displacement[3] 体积m3(注中置液),10,63.4,✗,容差0.2m³/1%
hu101,schedule,role=displacement[3] 排量m3/min,1,—,-,
hu101,schedule,role=displacement[3] 开始min(推算vs现场),136.5,147,⚠,loader时间为体积/排量推算；容差3min
hu101,schedule,role=displacement[3] 结束min(推算vs现场),146.5,217,⚠,容差3min
hu101,schedule,role=displacement[4] 体积m3(井浆快替),40,85,✗,容差0.2m³/1%
hu101,schedule,role=displacement[4] 排量m3/min,1,2.4,✗,容差2%
hu101,schedule,role=displacement[4] 开始min(推算vs现场),146.5,162,⚠,loader时间为体积/排量推算；容差3min
hu101,schedule,role=displacement[4] 结束min(推算vs现场),186.5,200,⚠,容差3min
hu101,schedule,role=displacement[5] 体积m3(井浆慢替),23.4,85,✗,容差0.2m³/1%
hu101,schedule,role=displacement[5] 排量m3/min,0.55,2.4,✗,容差2%
hu101,schedule,role=displacement[5] 开始min(推算vs现场),186.5,162,⚠,loader时间为体积/排量推算；容差3min
hu101,schedule,role=displacement[5] 结束min(推算vs现场),229,200,⚠,容差3min
hu101,schedule,role=lead[1] 体积m3(注领浆),47,47,✓,
hu101,schedule,role=lead[1] 排量m3/min,1,1,✓,
hu101,schedule,role=lead[1] 开始min(推算vs现场),45.8,46,✓,
hu101,schedule,role=lead[1] 结束min(推算vs现场),92.8,93,✓,
hu101,schedule,role=spacer[1] 体积m3(注驱油隔离液),25,25,✓,
hu101,schedule,role=spacer[1] 排量m3/min,1,1.2,✗,容差2%
hu101,schedule,role=spacer[1] 开始min(推算vs现场),20.8,0,⚠,loader时间为体积/排量推算；容差3min
hu101,schedule,role=spacer[1] 结束min(推算vs现场),45.8,21,⚠,容差3min
hu101,schedule,role=tail[1] 体积m3(注尾浆),23,23,✓,
hu101,schedule,role=tail[1] 排量m3/min,1,1,✓,
hu101,schedule,role=tail[1] 开始min(推算vs现场),92.8,93,✓,
hu101,schedule,role=tail[1] 结束min(推算vs现场),115.8,116,✓,
hu101,schedule,role=wash,1步,0步,⚠,单侧无该角色步骤（口径/序列差异）
hu101,schedule,日程总时长min(推算vs现场末步),229,217,⚠,现场末步含试压/停泵等非注入步，差异仅提示
hu101,geometry,well_geometry.csv 同item多值行,—,"float_collar_md,liner_bottom_md,liner_inner_diameter,liner_outer_diameter,liner_top_md",⚠,CSV长表混入回接段同名item，比对取首现（尾管段）值
