index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入先导浆(实际),先导浆,wash,25.0,1.2,20.8333,0,20.8333,25.0,False,实际: 先导浆 25m³@1.2m³/min，密度1.75g/cm³，泵压21-24.6MPa。
1,注入隔离液1(实际),隔离液1,spacer,16.0,1.0,16,20.8333,36.8333,41.0,False,实际: 隔离液1 16m³@1.0m³/min，密度1.95g/cm³，泵压19MPa。
2,注入隔离液2(实际),隔离液2,spacer,10.0,1.0,10,36.8333,46.8333,51.0,False,实际: 隔离液2 10m³@1.0m³/min，密度1.75g/cm³，泵压18-19MPa。
3,注入领浆(实际),领浆,lead,48.0,1.2,40,46.8333,86.8333,99.0,False,实际: 领浆 48m³@1.2m³/min，密度1.93g/cm³，泵压21-22MPa；流变按化验 n=0.853/K=0.746。
4,注入尾浆(实际),尾浆,tail,28.0,1.0,28,86.8333,114.833,127.0,False,实际: 尾浆 28m³@1.0m³/min，密度1.90g/cm³，泵压22MPa（作业史记1.2）；流变按化验 n=0.869/K=0.669。
5,注入压塞液(实际),压塞液,other,2.0,1.2,1.66667,114.833,116.5,129.0,False,实际: 压塞液 2m³@1.2m³/min，密度1.70g/cm³，泵压13MPa（作业史 7a；记录表 15MPa 变体，2026-08-29 补记）。
6,替钻井液(实际),替钻井液,displacement,29.0,1.5,19.3333,116.5,135.833,158.0,False,实际: 钻井液 29m³@1.5m³/min，密度1.90g/cm³，泵压16MPa（作业史 7b）。
7,替保护液(实际),保护液,displacement,14.0,1.5,9.33333,135.833,145.167,172.0,False,实际: 保护液 14m³@1.5m³/min，密度1.90g/cm³，泵压16MPa（作业史 7c）。
8,替井浆(实际),井浆,displacement,30.0,1.2,25,145.167,170.167,202.0,False,实际: 井浆 30m³@1.2-1.0m³/min，密度1.90g/cm³，泵压16MPa（作业史 7d）。
9,替井浆末段(实际),井浆,displacement,22.0,1.0,22,170.167,192.167,224.0,False,实际: 井浆末段 22m³@1.0-0.8-0.6m³/min，密度1.90g/cm³，泵压11-9MPa；替浆到量碰压9-15MPa（作业史 7e）。
