index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入先导浆,先导浆,wash,25.0,1.4,17.8571,0,17.8571,25.0,False,先导浆 25m³@1.4m³/min，密度1.75g/cm³（排量optimized；实际1.2）。
1,注入隔离液1,隔离液1,spacer,16.0,1.2,13.3333,17.8571,31.1905,41.0,False,隔离液1 16m³@1.2m³/min，密度1.95g/cm³（排量optimized；实际1.0）。
2,注入隔离液2,隔离液2,spacer,10.0,1.2,8.33333,31.1905,39.5238,51.0,False,隔离液2 10m³@1.2m³/min，密度1.75g/cm³（排量optimized；实际1.0）。
3,注入领浆,领浆,lead,48.0,1.2,40,39.5238,79.5238,99.0,False,领浆 48m³@1.2m³/min，密度1.93g/cm³，PV=170mPa·s/YP=13Pa（流变optimized）。
4,注入尾浆,尾浆,tail,28.0,1.25,22.4,79.5238,101.924,127.0,False,尾浆 28m³@1.25m³/min，密度1.90g/cm³（排量optimized；实际1.0）。
5,替入压塞液,压塞液,other,2.0,1.2,1.66667,101.924,103.59,129.0,False,压塞液 2m³@1.2m³/min，密度1.70g/cm³（实际后置液）。
6,替钻井液(快),替钻井液,displacement,29.0,1.5,19.3333,103.59,122.924,158.0,False,钻井液 29m³@1.5m³/min，密度1.90g/cm³（实际 7b 亦 1.5）。
7,替保护液,保护液,displacement,14.0,1.4,10,122.924,132.924,172.0,False,保护液 14m³@1.4m³/min，密度1.90g/cm³（排量optimized；作业史1.5）。
8,替基液,基液,displacement,1.0,1.4,0.714286,132.924,133.638,173.0,False,基液 1m³@1.4m³/min，密度1.02g/cm³（排量optimized）。
9,井浆替入1,井浆,displacement,14.0,1.15,12.1739,133.638,145.812,187.0,False,替浆段1 14m³@1.15m³/min（排量optimized；设计1.2）。
10,井浆替入2,井浆,displacement,10.0,1.05,9.52381,145.812,155.336,197.0,False,替浆段2 10m³@1.05m³/min（排量optimized；设计1.0）。
11,井浆替入3,井浆,displacement,10.0,0.95,10.5263,155.336,165.862,207.0,False,替浆段3 10m³@0.95m³/min（排量optimized；设计0.9）。
12,井浆替入4,井浆,displacement,10.0,0.85,11.7647,165.862,177.627,217.0,False,替浆段4 10m³@0.85m³/min（排量optimized；设计0.8）。
13,井浆替入5,井浆,displacement,9.4,0.75,12.5333,177.627,190.16,226.4,False,替浆段5 9.4m³@0.75m³/min（optimized：7.1+2.3m³补足尾浆全入环空，非现场）。
