index,step_name,fluid_name,role,volume_m3,rate_m3_min,duration_min,start_min,end_min,cum_volume_m3,explicit_time,remarks
0,注入平衡液(轻泥浆),平衡液,mud,28.0,1.6,17.5,0,17.5,28.0,False,设计: 平衡液28m³，ρ1.88，环空占高800m(260mm井眼)。
1,注入驱油隔离液1,隔离液1,spacer,17.5,1.6,10.9375,17.5,28.4375,45.5,False,设计: 隔离液1 17.5m³，ρ2.00，占高500m。
2,注入驱油隔离液2,隔离液2,spacer,17.5,1.6,10.9375,28.4375,39.375,63.0,False,设计: 隔离液2 17.5m³，ρ1.95，占高500m。
3,注入领浆,领浆,lead,22.0,1.8,12.2222,39.375,51.5972,85.0,False,设计: 领浆22m³，ρ2.05，封固5350-6000m。
4,注入中间浆,中间浆,intermediate,35.0,1.8,19.4444,51.5972,71.0417,120.0,False,设计: 中间浆35m³，ρ2.05，封固6000-7000m（2026-08-29 校准，0708 多数口径 35；LEGACY 36 系浆柱表孤值）。
5,注入尾浆,尾浆,tail,26.0,1.8,14.4444,71.0417,85.4861,146.0,False,设计: 尾浆26m³，ρ2.05，封固7000-7770m；旧记'尾浆 19.0（含下塞 1.18）'系 legacy 残留、0708 无出处（实际尾浆 26、下塞 0.67，2026-08-29 校准）。
6,注入压塞液,压塞液,other,7.0,1.8,3.88889,85.4861,89.375,153.0,False,设计: 压塞液7m³，ρ2.10，管内占高582m。
7,替钻井液(一段),替浆液,displacement,23.0,1.8,12.7778,89.375,102.153,176.0,False,设计: 替钻井液23m³，管内占高1520m。
8,替中置液,中置液,displacement,15.0,1.8,8.33333,102.153,110.486,191.0,False,设计: 中置液15m³，ρ1.95，占高1600m。
9,替钻井液(二段),替浆液,displacement,45.2,1.8,25.1111,110.486,135.597,236.2,False,设计: 替钻井液46.2m³，设计排量1.8-0.8变排量（此处取名义1.8）。
