井号,井名,窗口名,窗口类型,窗口顶md,窗口底md,模型窗口η_E,模型窗口η_N,CBL段顶md,CBL段底md,CBL合格率%,CBL质量口径,窗口覆盖率,CBL段覆盖率,纳入现场验证,可比性,备注
hu101,呼101,CBL评价井段(单层套管可评价段),cbl,5699.8,7810,0.3906,0.0058,5703,5835,81.1,良好至中等（含自由管特征差段）,0.0626,1.0000,1,部分可比,次要口径
hu101,呼101,CBL评价井段(单层套管可评价段),cbl,5699.8,7810,0.3906,0.0058,5833,5955,83.6,良好（含短段中等和差）,0.0578,1.0000,1,部分可比,次要口径
hu101,呼101,CBL评价井段(单层套管可评价段),cbl,5699.8,7810,0.3906,0.0058,5390,7810,62.77,不合格（62.77%合格率，未达标70%红线）,1.0000,0.8720,1,可比,另有3个局部数字段口径并存
hu101,呼101,CBL评价井段(单层套管可评价段),cbl,5699.8,7810,0.3906,0.0058,5580,5705,92,良好（含局部一界面差段）,0.0025,0.0416,1,部分可比,次要口径
hu101,呼101,CBL质量段(连续差段),cbl_quality,7537,7674,0.1492,0.0069,5390,7810,62.77,不合格（62.77%合格率，未达标70%红线）,1.0000,0.0566,1,部分可比,部分重叠
hu101,呼101,主要气层-K1q(地层目标),formation_target,7492,7536,0.1890,0.0033,5390,7810,62.77,不合格（62.77%合格率，未达标70%红线）,1.0000,0.0182,1,部分可比,部分重叠
hu101,呼101,气层段(CBL评价重点),formation_target,7492,7735,0.1508,0.0084,5390,7810,62.77,不合格（62.77%合格率，未达标70%红线）,1.0000,0.1004,1,部分可比,部分重叠
hu101,呼101,目的层-喀拉扎组J3k(地层目标),formation_target,7537,7868,0.1463,0.1058,5390,7810,62.77,不合格（62.77%合格率，未达标70%红线）,0.8248,0.1128,1,部分可比,部分重叠
hu101,呼101,水层-K1s(地层目标),formation_target,6152,6156,0.0000,0.0000,5390,7810,62.77,不合格（62.77%合格率，未达标70%红线）,1.0000,0.0017,1,部分可比,部分重叠
hu102,呼102,CBL评价井段,cbl,6840,7665,0.5032,0.1258,6840,7665,66.65,综合评价,1.0000,1.0000,1,可比,
hu102,呼102,CBL质量段一(胶结差/不合格),cbl_quality,7405,7480,0.4792,0.1713,6840,7665,66.65,综合评价,1.0000,0.0909,1,部分可比,部分重叠
hu102,呼102,CBL质量段二(胶结差/不合格),cbl_quality,7502,7540,0.4531,0.2997,6840,7665,66.65,综合评价,1.0000,0.0461,1,部分可比,部分重叠
hu102,呼102,J3k目的层(地层目标),formation_target,7422,7640,0.4469,0.3744,6840,7665,66.65,综合评价,1.0000,0.2642,1,部分可比,部分重叠
hu103,呼103,CBL评价井段(139.7mm段),cbl,7338,7712,0.9111,0.6704,7338,7712,12.06,unqualified,1.0000,1.0000,1,可比,
hu103,呼103,CBL评价井段(168.3mm段),cbl,5540,7330.6,0.2988,0.0021,5540,7330.6,0.04,unqualified,1.0000,1.0000,1,可比,
hu103,呼103,全尾管段,custom,5536.66,7770,0.4268,0.1504,5540,7330.6,0.04,unqualified,0.8018,1.0000,1,可比,另有2个局部数字段口径并存
hu103,呼103,全尾管段,custom,5536.66,7770,0.4268,0.1504,7338,7712,12.06,unqualified,0.1675,1.0000,1,部分可比,次要口径
hu103,呼103,全尾管段,custom,5536.66,7770,0.4268,0.1504,7712,7770,2.12,整段尾管综合合格率约2.12%——模型顶替效率应与此对比验证。,0.0260,1.0000,1,部分可比,次要口径
hu103,呼103,气层-K1q(地层目标),formation_target,7507,7557,0.9889,0.9457,7338,7712,12.06,unqualified,1.0000,0.1337,1,部分可比,部分重叠
hu103,呼103,差气层-J3k(地层目标),formation_target,7563,7619,0.9965,0.9808,7338,7712,12.06,unqualified,1.0000,0.1497,1,部分可比,部分重叠
hu1,呼探1,CBL评价井段,cbl,3531,7481.22,0.5467,0.1698,5630,6400,,优,0.1949,1.0000,1,不可比,仅定性段且重叠过小
