well,variant,eta_E,eta_N,b_number,n_cement,pl_idle
hu101,V0_baseline,0.9496756276461972,0.7884100825452988,18.89324224747954,0.844,False
hu101,V1_yield_gate,0.9286939529944397,0.6865436198374721,18.89324224747954,0.844,False
hu101,V2_power_law,0.9427907359453246,0.7502122035828044,18.89324224747954,0.844,False
hu101,V3_both,0.9200506208522718,0.6463817487215228,18.89324224747954,0.844,False
hu101,V4_legacy,0.23930900189789145,0.012284319079354334,18.89324224747954,0.844,False
hu102,V0_baseline,0.9799953950376504,0.8488899618645327,1.9578534481137997,0.737,False
hu102,V1_yield_gate,0.9800201872391022,0.8490714755974845,1.9578534481137997,0.737,False
hu102,V2_power_law,0.9596123296120799,0.7047170551097468,1.9578534481137997,0.737,False
hu102,V3_both,0.9596236278056094,0.7047894731676704,1.9578534481137997,0.737,False
hu102,V4_legacy,0.973237183937954,0.8083852442546525,1.9578534481137997,0.737,False
hu103,V0_baseline,0.9856053820862746,0.9607472401235536,9.067446204985703,0.82,False
hu103,V1_yield_gate,0.9856053866946182,0.960747250385928,9.067446204985703,0.82,False
hu103,V2_power_law,0.9849331415537639,0.9557488732120751,9.067446204985703,0.82,False
hu103,V3_both,0.9849331440383581,0.9557488791187781,9.067446204985703,0.82,False
hu103,V4_legacy,0.5189226697257192,0.11097742584192213,9.067446204985703,0.82,False
hu1,V0_baseline,0.8537460722222794,0.7179121376961407,-2.8754578159963433,0.732,False
hu1,V1_yield_gate,0.8537455683795234,0.7179051318681814,-2.8754578159963433,0.732,False
hu1,V2_power_law,0.8416284521165898,0.6715025192041889,-2.8754578159963433,0.732,False
hu1,V3_both,0.8416230071760111,0.6714974571799056,-2.8754578159963433,0.732,False
hu1,V4_legacy,0.9320011338454229,0.7049126025620173,-2.8754578159963433,0.732,False
hu2,V0_baseline,0.9778074456749958,0.9733505780435544,-0.9382604459469738,0.811,False
hu2,V1_yield_gate,0.9777978401822074,0.973346262948857,-0.9382604459469738,0.811,False
hu2,V2_power_law,0.9760872916217196,0.9694112621544032,-0.9382604459469738,0.811,False
hu2,V3_both,0.9760786680042717,0.9694073024526463,-0.9382604459469738,0.811,False
hu2,V4_legacy,0.9810256670600159,0.9801974050160609,-0.9382604459469738,0.811,False
ht1_001,V0_baseline,0.9172161663917167,0.9017524339952819,20.69734506232892,0.811,False
ht1_001,V1_yield_gate,0.917198229761959,0.9017349545539785,20.69734506232892,0.811,False
ht1_001,V2_power_law,0.9165803349628545,0.898708999345686,20.69734506232892,0.811,False
ht1_001,V3_both,0.9165624263551145,0.8986926179192709,20.69734506232892,0.811,False
ht1_001,V4_legacy,0.7897918778401339,0.6540654298782788,20.69734506232892,0.811,False
ht1_003,V0_baseline,0.9935894890983645,0.9759346911061964,2.252820109346449,0.597,False
ht1_003,V1_yield_gate,0.9935894890983645,0.9759346911061964,2.252820109346449,0.597,False
ht1_003,V2_power_law,0.9898848547569395,0.9578630160346691,2.2467863213348496,0.597,False
ht1_003,V3_both,0.9898848547569395,0.9578630160346691,2.2467863213348496,0.597,False
ht1_003,V4_legacy,0.9955186052460643,0.982778438923205,2.2139567941232783,0.597,False
ht1_004,V0_baseline,0.9910737112454516,0.9757305554046037,2.7444725262449463,,False
ht1_004,V1_yield_gate,0.9910997515221164,0.9757786562445229,2.7444725262449463,,False
ht1_004,V2_power_law,0.9910737112454516,0.9757305554046037,2.7444725262449463,,True
ht1_004,V3_both,0.9910997515221164,0.9757786562445229,2.7444725262449463,,True
ht1_004,V4_legacy,0.9969960614918505,0.9893200548847214,2.7444725262449463,,False
