[D2DGA] 开始环空二维模拟 total_t=11410s nz=250 ny=40
  [D2DGA] 进度 0% (4s/11410s, dt=3.959s)
  [D2DGA] 进度 10% (1143s/11410s, dt=2.264s)
  [D2DGA] 进度 20% (2284s/11410s, dt=2.263s)
  [D2DGA] 进度 30% (3424s/11410s, dt=2.263s)
  [D2DGA] 进度 40% (4565s/11410s, dt=2.263s)
  [D2DGA] 进度 50% (5706s/11410s, dt=2.216s)
  [D2DGA] 进度 60% (6846s/11410s, dt=1.804s)
  [D2DGA] 进度 70% (7988s/11410s, dt=2.591s)
  [D2DGA] 进度 80% (9130s/11410s, dt=3.335s)
  [D2DGA] 进度 90% (10270s/11410s, dt=3.808s)
  [D2DGA] 进度 100% (11410s/11410s, dt=3.575s)
