[D2DGA] 开始环空二维模拟 total_t=11825s nz=250 ny=40
  [D2DGA] 进度 0% (1s/11825s, dt=1.484s)
  [D2DGA] 进度 10% (1184s/11825s, dt=1.394s)
  [D2DGA] 进度 20% (2366s/11825s, dt=1.073s)
  [D2DGA] 进度 30% (3548s/11825s, dt=0.924s)
  [D2DGA] 进度 40% (4731s/11825s, dt=0.924s)
  [D2DGA] 进度 50% (5913s/11825s, dt=1.073s)
  [D2DGA] 进度 60% (7095s/11825s, dt=0.767s)
  [D2DGA] 进度 70% (8277s/11825s, dt=0.767s)
  [D2DGA] 进度 80% (9460s/11825s, dt=0.767s)
  [D2DGA] 进度 90% (10643s/11825s, dt=0.510s)
  [D2DGA] 进度 100% (11825s/11825s, dt=0.035s)
