[D2DGA] 开始环空二维模拟 total_t=11664s nz=250 ny=40
  [D2DGA] 进度 0% (3s/11664s, dt=3.406s)
  [D2DGA] 进度 10% (1168s/11664s, dt=2.051s)
  [D2DGA] 进度 20% (2333s/11664s, dt=2.051s)
  [D2DGA] 进度 30% (3500s/11664s, dt=2.051s)
  [D2DGA] 进度 40% (4667s/11664s, dt=2.051s)
  [D2DGA] 进度 50% (5833s/11664s, dt=2.051s)
  [D2DGA] 进度 60% (7000s/11664s, dt=2.051s)
  [D2DGA] 进度 70% (8165s/11664s, dt=1.178s)
  [D2DGA] 进度 80% (9333s/11664s, dt=2.639s)
  [D2DGA] 进度 90% (10499s/11664s, dt=4.000s)
  [D2DGA] 进度 100% (11664s/11664s, dt=0.475s)
