井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7746.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.04489077693668808,0.42000000000000004,0.58
7741.438298597194,3.134426995130716e-09,0.9999999968655731,0.9999999999999999,6.309686928445272e-27,0.9999999999999999,3.719064426172458e-17,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999998,1.0,1.0973431277460014e-67,1.2516784813405517e-38,1.4060768642285436e-25,0.044890776936688095,0.41493144288577144,0.5850685571142286
7736.8765971943885,1.4246053930356547e-08,0.9999999857539457,0.9999999999999998,3.425749766287261e-26,0.9999999999999998,7.22695292684713e-17,0.9999999999999998,0.9999999999999998,0.9999999999999994,0.9999999999999998,0.9999999999999998,0.9999999999999994,1.8109841561186105e-66,1.0797956458688402e-37,7.528869359342256e-25,0.044890776936688095,0.40986288577154284,0.5901371142284572
7732.314895791583,4.64549944484535e-08,0.9999999535450053,1.0,1.3423665739785268e-25,1.0,6.531363719174096e-17,0.9999999999999997,0.9999999999999999,0.9999999999999992,0.9999999999999997,0.9999999999999999,0.9999999999999992,2.1446048134600157e-65,6.51670324087292e-37,2.9075165635973373e-24,0.044890776936688095,0.40479432865731424,0.5952056713426858
7727.753194388778,1.294633818563044e-07,0.9999998705366183,1.0,4.540525770140039e-25,1.0,8.051765580691053e-17,0.9999999999999997,1.0,0.9999999999999989,0.9999999999999997,1.0,0.9999999999999989,2.204966430503573e-64,3.3919784679303526e-36,9.679375779105549e-24,0.044890776936688095,0.39972577154308664,0.6002742284569134
7723.191492985972,3.2696536138962026e-07,0.9999996730346383,0.9999999999999999,1.410944451286645e-24,0.9999999999999999,8.486544071264255e-17,0.9999999999999997,0.9999999999999998,0.9999999999999993,0.9999999999999997,0.9999999999999998,0.9999999999999993,2.1281677833378996e-63,1.6743638502462538e-35,2.953182051626347e-23,0.044890776936688095,0.39465721442885804,0.605342785571142
7718.6297915831665,7.707406255113344e-07,0.999999229259374,0.9999999999999999,4.164959543768401e-24,0.9999999999999999,7.476742285368125e-17,0.9999999999999997,1.0,0.9999999999999998,0.9999999999999997,1.0,0.9999999999999998,2.017574115208125e-62,8.414368848828349e-35,8.522811940125465e-23,0.04489077693668809,0.38958865731462944,0.6104113426853706
7714.068090180361,1.7302706961409134e-06,0.9999982697293035,0.9999999999999999,1.1969818924502917e-23,0.9999999999999999,8.924895068214304e-17,0.9999999999999997,0.9999999999999999,0.9999999999999999,0.9999999999999997,0.9999999999999999,0.9999999999999999,1.9206239506975074e-61,4.569633449447056e-34,2.37694905798661e-22,0.04489077693668809,0.38452010020040084,0.6154798997995992
7709.506388777555,3.7617530484040585e-06,0.9999962382469517,1.0,3.420484084921572e-23,1.0,8.747609577639666e-17,0.9999999999999997,1.0,0.9999999999999999,0.9999999999999997,1.0,0.9999999999999999,1.831853794558719e-60,2.7330432258348254e-33,6.523656519486878e-22,0.04489077693668809,0.379764947036931,0.620235052963069
7704.944687374749,7.942037586938585e-06,0.9999920579624129,0.9999999999999999,9.756514795488196e-23,0.9999999999999999,9.008350329514835e-17,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,1.0,1.7117095020583611e-59,1.6054055528754344e-32,1.789667968041399e-21,0.04489077693668808,0.37759270827369007,0.6224072917263099
7700.3829859719435,1.626336364390547e-05,0.9999837366363563,0.9999999999999999,2.7613068887270023e-22,0.9999999999999999,9.565288533175782e-17,0.9999999999999997,0.9999999999999998,1.0,0.9999999999999997,0.9999999999999998,1.0,1.547396572289586e-58,8.515413618552434e-32,4.900552639900894e-21,0.04489077693668808,0.3754204695104493,0.6245795304895507
7695.821284569139,3.238572374438947e-05,0.9999676142762556,1.0,7.757444760795516e-22,1.0,1.0405109356944032e-16,0.9999999999999997,1.0,1.0,0.9999999999999997,1.0,1.0,1.358899176724836e-57,4.2507423019038075e-31,1.3374911333408189e-20,0.044890776936688095,0.3732482307472089,0.6267517692527911
7691.259583166333,6.285527522850605e-05,0.9999371447247714,0.9999999999999999,2.1635164488696144e-21,0.9999999999999999,1.0975582880509686e-16,0.9999999999999997,0.9999999999999998,1.0,0.9999999999999997,0.9999999999999998,1.0,1.1710327757479967e-56,2.0508469645641395e-30,3.6337815197811876e-20,0.04489077693668809,0.3710759919839681,0.6289240080160319
7686.697881763527,0.00011913745734583561,0.9998808625426541,1.0,5.9901958877289266e-21,1.0,1.1622878894197947e-16,0.9999999999999997,0.9999999999999997,0.9999999999999999,0.9999999999999997,0.9999999999999997,0.9999999999999999,1.000749952776651e-55,9.742587427564118e-30,9.817312285040126e-20,0.044890776936688075,0.3689037532207272,0.6310962467792728
7682.1361803607215,0.00022093340764835957,0.9997790665923516,0.9999999999999999,1.646384961845765e-20,0.9999999999999999,1.0646314572628202e-16,0.9999999999999997,0.9999999999999996,0.9999999999999999,0.9999999999999997,0.9999999999999996,0.9999999999999999,8.550175467682747e-55,4.618144918988831e-29,2.635259846438656e-19,0.044890776936688095,0.3667315144574864,0.6332684855425136
7677.574478957916,0.0004014965132683169,0.9995985034867316,1.0,4.491092527628848e-20,1.0,1.1722921851898886e-16,0.9999999999999997,0.9999999999999997,1.0,0.9999999999999997,0.9999999999999997,1.0,7.33486632457942e-54,2.2049458305750638e-28,7.023176966253078e-19,0.04489077693668809,0.3645592756942456,0.6354407243057544
7673.01277755511,0.0007159748158087826,0.9992840251841913,0.9999999999999999,1.2154161399402637e-19,0.9999999999999999,1.3879278351326422e-16,0.9999999999999997,0.9999999999999997,1.0,0.9999999999999997,0.9999999999999997,1.0,6.320081839629699e-53,1.0670143269351561e-27,1.8569442498978765e-18,0.04489077693668809,0.3623870369310047,0.6376129630689953
7668.451076152304,0.0012540987248248596,0.998745901275175,0.9999999999999998,3.2605936334961006e-19,0.9999999999999998,1.551216935958255e-16,0.9999999999999997,0.9999999999999997,0.9999999999999998,0.9999999999999997,0.9999999999999997,0.9999999999999998,5.453012120773012e-52,5.251579761588942e-27,4.866456021880047e-18,0.044890776936688095,0.3602147981677639,0.6397852018322361
7663.889374749499,0.0021585161440392368,0.9978414838559607,0.9999999999999998,8.658299888383997e-19,0.9999999999999998,1.6798136972842196e-16,0.9999999999999997,0.9999999999999997,0.9999999999999996,0.9999999999999997,0.9999999999999997,0.9999999999999996,4.6850986676944336e-51,2.631260339425068e-26,1.2623911263979513e-17,0.04489077693668809,0.35804255940452356,0.6419574405954764
7659.327673346694,0.00364900830465066,0.9963509916953492,1.0,2.270330711060138e-18,1.0,2.384330657467797e-16,0.9999999999999997,0.9999999999999997,0.9999999999999987,0.9999999999999997,0.9999999999999997,0.9999999999999987,3.9794154821276453e-50,1.3401151097447803e-25,3.2350186451727765e-17,0.044890776936688075,0.35587032064128277,0.6441296793587172
7654.765971943888,0.006049382075071742,0.993950617924928,0.9999999999999997,5.857234713588976e-18,0.9999999999999997,4.1829904088604683e-16,0.9999999999999997,0.9999999999999996,0.9999999999999964,0.9999999999999997,0.9999999999999996,0.9999999999999964,3.3133022970638056e-49,6.911152721712161e-25,8.165772267726336e-17,0.04489077693668809,0.35369808187804186,0.6463019181219581
7650.204270541082,0.009805446122323638,0.9901945538776756,0.9999999999999992,1.478260489731584e-17,0.9999999999999992,7.847730262939279e-16,0.9999999999999997,0.9999999999999997,0.999999999999992,0.9999999999999997,0.9999999999999997,0.999999999999992,2.6783579257921616e-48,3.589070942326813e-24,2.0220331210934583e-16,0.04489077693668808,0.35152584311480106,0.6484741568851989
