井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7770.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7769.119438877756,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7768.238877755511,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7767.358316633266,0.0,1.0,1.0,0.0,1.0,2.3453461395206422e-18,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7766.477755511022,0.0,1.0,1.0,0.0,1.0,2.3453461395206422e-18,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7765.597194388778,0.0,1.0,1.0,0.0,1.0,2.3453461395206422e-18,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7764.716633266533,0.0,1.0,1.0,0.0,1.0,4.6906922790412844e-18,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7763.836072144289,0.0,1.0,1.0,0.0,1.0,7.036038418561927e-18,1.0,1.0,0.9999999999999997,1.0,1.0,0.9999999999999997,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7762.955511022044,0.0,1.0,1.0,0.0,1.0,9.381384558082569e-18,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7762.074949899799,0.0,1.0,1.0,0.0,1.0,1.1726730697603211e-17,1.0,1.0,0.9999999999999994,1.0,1.0,0.9999999999999994,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7761.194388777555,0.0,1.0,1.0,0.0,1.0,1.4072076837123853e-17,1.0,1.0,0.9999999999999993,1.0,1.0,0.9999999999999993,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7760.313827655311,0.0,1.0,1.0,0.0,1.0,1.6417422976644494e-17,1.0,1.0,0.9999999999999992,1.0,1.0,0.9999999999999992,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7759.433266533066,0.0,1.0,1.0,0.0,1.0,1.8762769116165138e-17,1.0,1.0,0.9999999999999991,1.0,1.0,0.9999999999999991,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7758.5527054108215,0.0,1.0,1.0,0.0,1.0,2.1108115255685778e-17,1.0,1.0,0.999999999999999,1.0,1.0,0.999999999999999,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7757.672144288577,0.0,1.0,1.0,0.0,1.0,2.3453461395206422e-17,1.0,1.0,0.9999999999999989,1.0,1.0,0.9999999999999989,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7756.791583166333,0.0,1.0,1.0,0.0,1.0,2.5798807534727066e-17,1.0,1.0,0.9999999999999988,1.0,1.0,0.9999999999999988,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7755.911022044088,0.0,1.0,1.0,0.0,1.0,2.8144153674247706e-17,1.0,1.0,0.9999999999999987,1.0,1.0,0.9999999999999987,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7755.030460921844,0.0,1.0,1.0,0.0,1.0,3.0489499813768344e-17,1.0,1.0,0.9999999999999986,1.0,1.0,0.9999999999999986,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7754.1498997996,0.0,1.0,1.0,0.0,1.0,3.283484595328899e-17,1.0,1.0,0.9999999999999984,1.0,1.0,0.9999999999999984,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7753.269338677354,0.0,1.0,1.0,0.0,1.0,3.518019209280964e-17,1.0,1.0,0.9999999999999983,1.0,1.0,0.9999999999999983,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7752.38877755511,0.0,1.0,1.0,0.0,1.0,3.7525538232330275e-17,1.0,1.0,0.9999999999999982,1.0,1.0,0.9999999999999982,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7751.508216432866,0.0,1.0,1.0,0.0,1.0,3.987088437185091e-17,1.0,1.0,0.9999999999999981,1.0,1.0,0.9999999999999981,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7750.627655310621,0.0,1.0,1.0,0.0,1.0,4.2216230511371556e-17,1.0,1.0,0.999999999999998,1.0,1.0,0.999999999999998,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7749.747094188377,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7748.866533066132,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7747.985971943888,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7747.105410821643,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7746.224849699399,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7745.344288577155,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7744.4637274549095,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7743.583166332665,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7742.702605210421,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7741.822044088176,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7740.941482965932,0.0,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7740.0609218436875,3e-323,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7739.180360721443,1.117e-321,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7738.299799599198,3.998e-320,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7737.419238476954,1.42254e-318,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7736.53867735471,5.029458e-317,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7735.658116232465,1.766787144e-315,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7734.77755511022,6.166914841e-314,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7733.896993987976,2.13886937263e-312,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7733.016432865731,7.371287602184e-311,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7732.135871743487,2.52437161235897e-309,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7731.255310621243,8.59051142024854e-308,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7730.374749498998,2.9049625962526793e-306,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7729.494188376753,9.76133565592561e-305,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7728.613627254509,3.259124278652643e-303,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7727.733066132265,1.0810914782653247e-301,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7726.85250501002,3.561937122107867e-300,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7725.9719438877755,1.1650947659444098e-298,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7725.091382765531,3.7798759532911475e-297,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7724.210821643286,1.2140542710800704e-295,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7723.330260521042,3.8465806387963645e-294,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7722.449699398798,1.193496347017277e-292,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7721.5691382765535,3.57059944615051e-291,1.0,1.0,0.0,1.0,4.45615766508922e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
7720.688577154308,9.942028091781903e-290,1.0,1.0,0.0,1.0,4.691942395245995e-17,1.0,1.0,0.9999999999999979,1.0,1.0,0.9999999999999979,0.0,0.0,0.0,0.03871648207190163,0.15500000000000003,0.845
