井深_m,领浆平均浓度,尾浆平均浓度,水泥平均浓度,前置液隔离液平均浓度,平均有效顶替效率,钻井液平均浓度,宽边有效效率,中线有效效率,窄边有效效率,宽边水泥浓度,中线水泥浓度,窄边水泥浓度,宽边前置液隔离液浓度,中线前置液隔离液浓度,窄边前置液隔离液浓度,环空间隙_m,偏心度指标,居中度
7770.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.03873620530627648,0.15500000000000003,0.845
7766.30756302521,1.4638518612647404e-34,1.0,1.0,5.280258797921699e-301,1.0,2.7843434779249445e-17,1.0,1.0,0.9999999999999998,1.0,1.0,0.9999999999999998,0.0,6.17538522493724e-310,6.198663935793372e-300,0.03873620530627648,0.15500000000000003,0.845
7762.61512605042,1.8898092232187275e-33,1.0,1.0,8.59828350269627e-300,1.0,6.080220242504289e-17,1.0,1.0,0.9999999999999996,1.0,1.0,0.9999999999999996,0.0,1.3313294103258877e-308,1.006902854781114e-298,0.03873620530627648,0.15500000000000003,0.845
7758.92268907563,1.779190071729683e-32,0.9999999999999999,0.9999999999999999,1.039576921700594e-298,0.9999999999999999,8.954341022512385e-17,1.0,1.0,0.9999999999999993,1.0,1.0,0.9999999999999993,0.0,1.9783198828690533e-307,1.2150739083335255e-297,0.03873620530627648,0.15500000000000003,0.845
7755.2302521008405,1.4469450813142424e-31,0.9999999999999999,0.9999999999999999,1.1045854817008679e-297,0.9999999999999999,1.1971197774467785e-16,1.0,1.0,0.9999999999999992,1.0,1.0,0.9999999999999992,0.0,2.4633594754617335e-306,1.2891902957438487e-296,0.03873620530627648,0.15500000000000003,0.845
7751.53781512605,1.072002820683296e-30,0.9999999999999999,0.9999999999999999,1.0861997554004243e-296,0.9999999999999999,1.4612690046291254e-16,1.0,1.0,0.9999999999999991,1.0,1.0,0.9999999999999991,0.0,2.7506222314050793e-305,1.2664432994511009e-295,0.03873620530627648,0.15500000000000003,0.845
7747.845378151261,7.408445644529261e-30,0.9999999999999999,0.9999999999999999,1.0102726243409492e-295,0.9999999999999999,1.660931537042459e-16,1.0,1.0,0.999999999999999,1.0,1.0,0.999999999999999,0.0,2.844293974377431e-304,1.1772508325582768e-294,0.03873620530627648,0.15500000000000003,0.845
7744.15294117647,4.835820006661425e-29,0.9999999999999999,0.9999999999999999,8.97809153390891e-295,0.9999999999999999,1.9639039764410953e-16,1.0,1.0,0.9999999999999987,1.0,1.0,0.9999999999999987,0.0,2.7707946728876155e-303,1.0461806820674518e-293,0.03873620530627648,0.15500000000000003,0.845
7740.460504201681,3.002825320583063e-28,0.9999999999999999,0.9999999999999999,7.65592700575452e-294,0.9999999999999999,2.0205021522456495e-16,1.0,1.0,0.9999999999999984,1.0,1.0,0.9999999999999984,0.0,2.565945444478226e-302,8.927782614108181e-293,0.03873620530627648,0.15500000000000003,0.845
7736.768067226891,1.780817653872705e-27,0.9999999999999999,0.9999999999999999,6.267214764871159e-293,0.9999999999999999,2.335538817984381e-16,1.0,1.0,0.9999999999999982,1.0,1.0,0.9999999999999982,0.0,2.2667342213299984e-301,7.322471031305562e-292,0.03873620530627648,0.15500000000000003,0.845
7733.075630252101,1.0099113742712029e-26,0.9999999999999999,0.9999999999999999,4.910551807096698e-292,0.9999999999999999,2.4948009522333973e-16,1.0,0.9999999999999998,0.999999999999998,1.0,0.9999999999999998,0.999999999999998,3.5e-323,1.9061330775610726e-300,5.760004855011554e-291,0.03873620530627648,0.15500000000000003,0.845
7729.383193277311,5.464480565428231e-26,0.9999999999999999,0.9999999999999999,3.656035683413255e-291,0.9999999999999999,2.654027126657892e-16,1.0,0.9999999999999998,0.9999999999999978,1.0,0.9999999999999998,0.9999999999999978,3.9e-322,1.5090453876990257e-299,4.321323588478524e-290,0.03873620530627648,0.15500000000000003,0.845
7725.690756302521,2.7964437373755834e-25,0.9999999999999999,0.9999999999999999,2.5489380759273423e-290,0.9999999999999999,2.8940835390591733e-16,1.0,0.9999999999999998,0.9999999999999976,1.0,0.9999999999999998,0.9999999999999976,3.79e-321,1.0864727390092893e-298,3.0585668659283486e-289,0.03873620530627648,0.15500000000000003,0.845
7721.998319327731,1.3239020435786467e-24,0.9999999999999999,0.9999999999999999,1.6165515929101834e-289,0.9999999999999999,3.15399269444388e-16,1.0,0.9999999999999998,0.9999999999999973,1.0,0.9999999999999998,0.9999999999999973,3.454e-320,6.382085696537821e-298,1.9994862049104615e-288,0.03873620530627648,0.15500000000000003,0.845
7718.305882352941,5.653645584228582e-24,0.9999999999999998,0.9999999999999998,9.018583892142831e-289,0.9999999999999998,3.463597953697586e-16,1.0,0.9999999999999999,0.9999999999999971,1.0,0.9999999999999999,0.9999999999999971,2.97195e-319,2.879717914844974e-297,1.1595545981019466e-287,0.038736205306276486,0.15161176470588178,0.8483882352941182
