步骤序号,步骤名,流体名称,设计体积(m3),实际体积(m3),设计排量(m3/min),实际排量(m3/min),设计密度(g/cm3),实际密度(g/cm3),开始时间,结束时间,泵压(MPa),备注,来源文件,页码/图号,证据等级
1,注先导浆/平衡液,先导浆,28,28,1.2,1.2,1.75,1.75,-,-,-,先导浆体积28m³，排量1.2m³/min，untitled.m中v1=28*1000L,untitled.m,-,A,先导浆/平衡液，密度1.75g/cm³
2,注驱油隔离液,驱油隔离液,26,26,1.2,1.2,2.00,2.00,-,-,-,隔离液体积26m³，排量1.2m³/min，untitled.m中v2=26*1000L,untitled.m,-,A,驱油隔离液，密度2.00g/cm³
3,注领浆,领浆,25.32,25.32,1.2,1.2,2.05,2.05,-,-,-,领浆体积按环空5090-6000m段容积计算(v3)，untitled.m中tag_interface_top_lead=172(5090m),untitled.m / 呼1-003井身结构.csv,-,A,领浆密度2.05g/cm³；体积由井身结构CSV累加计算
4,注中间浆,中间浆,25.03,25.03,1.2,1.2,1.95,1.95,-,-,-,中间浆体积按环空6000-7000m段容积计算(v4)，untitled.m中tag_interface_top_middle=205(6000m),untitled.m / 呼1-003井身结构.csv,-,A,中间浆密度1.95g/cm³；体积由井身结构CSV累加计算
5,注尾浆,尾浆,15.72,15.72,1.2,1.2,1.95,1.95,-,-,-,尾浆体积按环空7000m至井底+2m³计算(v5)，untitled.m中tag_interface_top_tail=240(7000m),untitled.m / 呼1-003井身结构.csv,-,A,尾浆密度1.95g/cm³；体积由井身结构CSV累加+2m³补偿
6,压塞,压塞液,2,2,1.6,1.6,1.97,1.97,-,-,-,压塞液体积2m³，排量1.6m³/min,untitled.m,-,A,压塞液密度1.97g/cm³
7,替钻井液（首段）,替浆钻井液,25,25,1.6,1.6,1.95,1.95,-,-,-,替浆钻井液首段25m³，排量1.6m³/min,untitled.m,-,A,替浆钻井液密度1.95g/cm³
8,替保护液,保护液,14,14,1.4,1.4,1.97,1.97,-,-,-,保护液体积14m³，排量1.4m³/min,untitled.m,-,A,保护液密度1.97g/cm³
9,替基液,基液,1,1,1.4,1.4,1.02,1.02,-,-,-,基液体积1m³，排量1.4m³/min,untitled.m,-,A,基液密度1.02g/cm³
10,替钻井液（分段1）,替浆钻井液1,10,10,1.4,1.4,1.95,1.95,-,-,-,替浆钻井液分段1体积10m³，排量1.4m³/min,untitled.m,-,A,替浆钻井液密度1.95g/cm³
11,替钻井液（分段2）,替浆钻井液2,5,5,1.2,1.2,1.95,1.95,-,-,-,替浆钻井液分段2体积5m³，排量1.2m³/min,untitled.m,-,A,替浆钻井液密度1.95g/cm³
12,替钻井液（分段3）,替浆钻井液3,15,15,1.0,1.0,1.95,1.95,-,-,-,替浆钻井液分段3体积15m³，排量1.0m³/min,untitled.m,-,A,替浆钻井液密度1.95g/cm³
13,替钻井液（分段4）,替浆钻井液4,10,10,0.8,0.8,1.95,1.95,-,-,-,替浆钻井液分段4体积10m³，排量0.8m³/min,untitled.m,-,A,替浆钻井液密度1.95g/cm³
14,替钻井液（末段/碰压）,替浆钻井液5,11.53,11.53,0.7,0.7,1.95,1.95,-,-,-,替浆钻井液末段体积按套管容积补齐(v95)，排量0.7m³/min,untitled.m,-,A,替浆钻井液密度1.95g/cm³；末段体积=套管内容积-前段替浆体积=93.53-(2+25+14+1+10+5+15+10)=11.53m³
