VarName1,depth_well_logging_m_,vertical_depth_for_logging_m_,length_segment_array_m_,annulus_radius_array_cm_,volume_annulus_L_,deg_for_logging_degree_,square_annulus_dm2_
1,30.0,29.999,30.0,24.537,894.076776,0.004018,2.980256
2,60.0,59.998,30.0,24.537,894.076776,0.008036,2.980256
3,90.0,89.997,30.0,24.537,894.076776,0.012054,2.980256
4,120.0,119.997,30.0,24.537,894.076776,0.016071,2.980256
5,150.0,149.996,30.0,24.537,894.076776,0.020089,2.980256
6,180.0,179.995,30.0,24.537,894.076776,0.024107,2.980256
7,210.0,209.994,30.0,24.537,894.076776,0.028125,2.980256
8,240.0,239.993,30.0,24.537,894.076776,0.032143,2.980256
9,270.0,269.992,30.0,24.537,894.076776,0.036161,2.980256
10,300.0,299.991,30.0,24.537,894.076776,0.040179,2.980256
11,330.0,329.991,30.0,24.537,894.076776,0.044196,2.980256
12,360.0,359.99,30.0,24.537,894.076776,0.048214,2.980256
13,390.0,389.989,30.0,24.537,894.076776,0.052232,2.980256
14,420.0,419.988,30.0,24.537,894.076776,0.05625,2.980256
15,450.0,449.987,30.0,24.537,894.076776,0.060268,2.980256
16,480.0,479.986,30.0,24.537,894.076776,0.064286,2.980256
17,510.0,509.985,30.0,24.537,894.076776,0.068304,2.980256
18,539.41,539.395,29.41,24.537,876.493266,0.072242,2.980256
19,540.0,539.985,0.59,24.537,17.58351,0.072321,2.980256
20,570.0,569.984,30.0,24.537,894.076776,0.076339,2.980256
21,600.0,599.983,30.0,24.537,894.076776,0.080357,2.980256
22,630.0,629.982,30.0,24.537,894.076776,0.084375,2.980256
23,660.0,659.981,30.0,24.537,894.076776,0.088393,2.980256
24,690.0,689.98,30.0,24.537,894.076776,0.092411,2.980256
25,720.0,719.979,30.0,24.537,894.076776,0.096429,2.980256
26,750.0,749.979,30.0,24.537,894.076776,0.100446,2.980256
27,780.0,779.978,30.0,24.537,894.076776,0.104464,2.980256
28,810.0,809.977,30.0,24.537,894.076776,0.108482,2.980256
29,840.0,839.976,30.0,24.537,894.076776,0.1125,2.980256
30,870.0,869.975,30.0,24.537,894.076776,0.116518,2.980256
31,900.0,899.974,30.0,24.537,894.076776,0.120536,2.980256
32,930.0,929.973,30.0,24.537,894.076776,0.124554,2.980256
33,960.0,959.973,30.0,24.537,894.076776,0.128571,2.980256
34,990.0,989.972,30.0,24.537,894.076776,0.132589,2.980256
35,1020.0,1019.971,30.0,24.537,894.076776,0.136607,2.980256
36,1050.0,1049.97,30.0,24.537,894.076776,0.140625,2.980256
37,1080.0,1079.969,30.0,24.537,894.076776,0.144643,2.980256
38,1110.0,1109.968,30.0,24.537,894.076776,0.148661,2.980256
39,1140.0,1139.967,30.0,24.537,894.076776,0.152679,2.980256
40,1170.0,1169.967,30.0,24.537,894.076776,0.156696,2.980256
41,1200.0,1199.966,30.0,24.537,894.076776,0.160714,2.980256
42,1230.0,1229.965,30.0,24.537,894.076776,0.164732,2.980256
43,1260.0,1259.964,30.0,24.537,894.076776,0.16875,2.980256
44,1290.0,1289.963,30.0,24.537,894.076776,0.172768,2.980256
45,1320.0,1319.962,30.0,24.537,894.076776,0.176786,2.980256
46,1350.0,1349.961,30.0,24.537,894.076776,0.180804,2.980256
47,1380.0,1379.961,30.0,24.537,894.076776,0.184821,2.980256
48,1405.27,1405.23,25.27,24.537,753.110671,0.188206,2.980256
49,1406.0,1405.96,0.73,24.537,21.755868,0.188304,2.980256
50,1410.0,1409.96,4.0,24.537,119.210237,0.188839,2.980256
51,1440.0,1439.959,30.0,24.537,894.076776,0.192857,2.980256
52,1470.0,1469.958,30.0,24.537,894.076776,0.196875,2.980256
53,1500.0,1499.957,30.0,24.537,894.076776,0.200893,2.980256
54,1530.0,1529.956,30.0,24.537,894.076776,0.204911,2.980256
55,1560.0,1559.955,30.0,24.537,894.076776,0.208929,2.980256
56,1590.0,1589.955,30.0,24.537,894.076776,0.212946,2.980256
57,1620.0,1619.954,30.0,24.537,894.076776,0.216964,2.980256
58,1650.0,1649.953,30.0,24.537,894.076776,0.220982,2.980256
59,1680.0,1679.952,30.0,24.537,894.076776,0.225,2.980256
60,1710.0,1709.951,30.0,24.537,894.076776,0.229018,2.980256
61,1740.0,1739.95,30.0,24.537,894.076776,0.233036,2.980256
62,1770.0,1769.949,30.0,24.537,894.076776,0.237054,2.980256
63,1800.0,1799.949,30.0,24.537,894.076776,0.241071,2.980256
64,1830.0,1829.948,30.0,24.537,894.076776,0.245089,2.980256
65,1860.0,1859.947,30.0,24.537,894.076776,0.249107,2.980256
66,1890.0,1889.946,30.0,24.537,894.076776,0.253125,2.980256
67,1920.0,1919.945,30.0,24.537,894.076776,0.257143,2.980256
68,1950.0,1949.944,30.0,24.537,894.076776,0.261161,2.980256
69,1980.0,1979.943,30.0,24.537,894.076776,0.265179,2.980256
70,2010.0,2009.943,30.0,24.537,894.076776,0.269196,2.980256
71,2040.0,2039.942,30.0,24.537,894.076776,0.273214,2.980256
72,2070.0,2069.941,30.0,24.537,894.076776,0.277232,2.980256
73,2100.0,2099.94,30.0,24.537,894.076776,0.28125,2.980256
74,2130.0,2129.939,30.0,24.537,894.076776,0.285268,2.980256
75,2160.0,2159.938,30.0,24.537,894.076776,0.289286,2.980256
76,2190.0,2189.937,30.0,24.537,894.076776,0.293304,2.980256
77,2220.0,2219.937,30.0,24.537,894.076776,0.297321,2.980256
78,2250.0,2249.936,30.0,24.537,894.076776,0.301339,2.980256
79,2280.0,2279.935,30.0,24.537,894.076776,0.305357,2.980256
80,2310.0,2309.934,30.0,24.537,894.076776,0.309375,2.980256
81,2340.0,2339.933,30.0,24.537,894.076776,0.313393,2.980256
82,2370.0,2369.932,30.0,24.537,894.076776,0.317411,2.980256
83,2400.0,2399.931,30.0,24.537,894.076776,0.321429,2.980256
84,2430.0,2429.931,30.0,24.537,894.076776,0.325446,2.980256
85,2460.0,2459.93,30.0,24.537,894.076776,0.329464,2.980256
86,2490.0,2489.929,30.0,24.537,894.076776,0.333482,2.980256
87,2520.0,2519.928,30.0,24.537,894.076776,0.3375,2.980256
88,2550.0,2549.927,30.0,24.537,894.076776,0.341518,2.980256
89,2580.0,2579.926,30.0,24.537,894.076776,0.345536,2.980256
90,2610.0,2609.925,30.0,24.537,894.076776,0.349554,2.980256
91,2640.0,2639.925,30.0,24.537,894.076776,0.353571,2.980256
92,2670.0,2669.924,30.0,24.537,894.076776,0.357589,2.980256
93,2700.0,2699.923,30.0,24.537,894.076776,0.361607,2.980256
94,2730.0,2729.922,30.0,24.537,894.076776,0.365625,2.980256
95,2760.0,2759.921,30.0,24.537,894.076776,0.369643,2.980256
96,2790.0,2789.92,30.0,24.537,894.076776,0.373661,2.980256
97,2820.0,2819.919,30.0,24.537,894.076776,0.377679,2.980256
98,2850.0,2849.919,30.0,24.537,894.076776,0.381696,2.980256
99,2880.0,2879.918,30.0,24.537,894.076776,0.385714,2.980256
100,2910.0,2909.917,30.0,24.537,894.076776,0.389732,2.980256
101,2940.0,2939.916,30.0,24.537,894.076776,0.39375,2.980256
102,2970.0,2969.915,30.0,24.537,894.076776,0.397768,2.980256
103,3000.0,2999.914,30.0,24.537,894.076776,0.401786,2.980256
104,3030.0,3029.913,30.0,24.537,894.076776,0.405804,2.980256
105,3051.0,3050.913,21.0,24.537,625.853743,0.408616,2.980256
106,3060.0,3059.913,9.0,24.537,268.223033,0.409821,2.980256
107,3090.0,3089.912,30.0,24.537,894.076776,0.413839,2.980256
108,3120.0,3119.911,30.0,24.537,894.076776,0.417857,2.980256
109,3150.0,3149.91,30.0,24.537,894.076776,0.421875,2.980256
110,3180.0,3179.909,30.0,24.537,894.076776,0.425893,2.980256
111,3210.0,3209.908,30.0,24.537,894.076776,0.429911,2.980256
112,3240.0,3239.907,30.0,24.537,894.076776,0.433929,2.980256
113,3270.0,3269.907,30.0,24.537,894.076776,0.437946,2.980256
114,3300.0,3299.906,30.0,24.537,894.076776,0.441964,2.980256
115,3330.0,3329.905,30.0,24.537,894.076776,0.445982,2.980256
116,3360.0,3359.904,30.0,24.537,894.076776,0.45,2.980256
117,3390.0,3389.903,30.0,24.537,894.076776,0.454018,2.980256
118,3420.0,3419.902,30.0,24.537,894.076776,0.458036,2.980256
119,3450.0,3449.901,30.0,24.537,894.076776,0.462054,2.980256
120,3480.0,3479.901,30.0,24.537,894.076776,0.466071,2.980256
121,3510.0,3509.9,30.0,24.537,894.076776,0.470089,2.980256
122,3540.0,3539.899,30.0,24.537,894.076776,0.474107,2.980256
123,3570.0,3569.898,30.0,24.537,894.076776,0.478125,2.980256
124,3600.0,3599.897,30.0,24.537,894.076776,0.482143,2.980256
125,3630.0,3629.896,30.0,24.537,894.076776,0.486161,2.980256
126,3660.0,3659.895,30.0,24.537,894.076776,0.490179,2.980256
127,3690.0,3689.895,30.0,24.537,894.076776,0.494196,2.980256
128,3720.0,3719.894,30.0,24.537,894.076776,0.498214,2.980256
129,3750.0,3749.893,30.0,24.537,894.076776,0.502232,2.980256
130,3780.0,3779.892,30.0,24.537,894.076776,0.50625,2.980256
131,3810.0,3809.891,30.0,24.537,894.076776,0.510268,2.980256
132,3840.0,3839.89,30.0,24.537,894.076776,0.514286,2.980256
133,3870.0,3869.889,30.0,24.537,894.076776,0.518304,2.980256
134,3900.0,3899.889,30.0,24.537,894.076776,0.522321,2.980256
135,3930.0,3929.888,30.0,24.537,894.076776,0.526339,2.980256
136,3960.0,3959.887,30.0,24.537,894.076776,0.530357,2.980256
137,3990.0,3989.886,30.0,24.537,894.076776,0.534375,2.980256
138,4020.0,4019.885,30.0,24.537,894.076776,0.538393,2.980256
139,4025.73,4025.615,5.73,24.537,170.768664,0.53916,2.980256
140,4050.0,4049.884,24.27,24.537,840.187063,0.542411,3.461834
141,4080.0,4079.883,30.0,24.537,1038.55014,0.546429,3.461834
142,4110.0,4109.883,30.0,24.537,1038.55014,0.550446,3.461834
143,4140.0,4139.882,30.0,24.537,1038.55014,0.554464,3.461834
144,4170.0,4169.881,30.0,24.537,1038.55014,0.558482,3.461834
145,4200.0,4199.88,30.0,24.537,1038.55014,0.5625,3.461834
146,4230.0,4229.879,30.0,24.537,1038.55014,0.566518,3.461834
147,4260.0,4259.878,30.0,24.537,1038.55014,0.570536,3.461834
148,4290.0,4289.877,30.0,24.537,1038.55014,0.574554,3.461834
149,4320.0,4319.877,30.0,24.537,1038.55014,0.578571,3.461834
150,4350.0,4349.876,30.0,24.537,1038.55014,0.582589,3.461834
151,4380.0,4379.875,30.0,24.537,1038.55014,0.586607,3.461834
152,4410.0,4409.874,30.0,24.537,1038.55014,0.590625,3.461834
153,4440.0,4439.873,30.0,24.537,1038.55014,0.594643,3.461834
154,4470.0,4469.872,30.0,24.537,1038.55014,0.598661,3.461834
155,4500.0,4499.871,30.0,24.537,1038.55014,0.602679,3.461834
156,4530.0,4529.871,30.0,24.537,1038.55014,0.606696,3.461834
157,4560.0,4559.87,30.0,24.537,1038.55014,0.610714,3.461834
158,4590.0,4589.869,30.0,24.537,1038.55014,0.614732,3.461834
159,4620.0,4619.868,30.0,24.537,1038.55014,0.61875,3.461834
160,4650.0,4649.867,30.0,24.537,1038.55014,0.622768,3.461834
161,4680.0,4679.866,30.0,24.537,1038.55014,0.626786,3.461834
162,4710.0,4709.865,30.0,24.537,1038.55014,0.630804,3.461834
163,4740.0,4739.865,30.0,24.537,1038.55014,0.634821,3.461834
164,4770.0,4769.864,30.0,24.537,1038.55014,0.638839,3.461834
165,4800.0,4799.863,30.0,24.537,1038.55014,0.642857,3.461834
166,4830.0,4829.862,30.0,24.537,1038.55014,0.646875,3.461834
167,4860.0,4859.861,30.0,24.537,1038.55014,0.650893,3.461834
168,4890.0,4889.86,30.0,24.537,1038.55014,0.654911,3.461834
169,4920.0,4919.859,30.0,24.537,1038.55014,0.658929,3.461834
170,4950.0,4949.859,30.0,24.537,1038.55014,0.662946,3.461834
171,4980.0,4979.858,30.0,24.537,1038.55014,0.666964,3.461834
172,5010.0,5009.857,30.0,24.537,1038.55014,0.670982,3.461834
173,5040.0,5039.856,30.0,24.537,1038.55014,0.675,3.461834
174,5070.0,5069.855,30.0,24.537,1038.55014,0.679018,3.461834
175,5100.0,5099.854,30.0,24.537,1038.55014,0.683036,3.461834
176,5130.0,5129.853,30.0,24.537,1038.55014,0.687054,3.461834
177,5160.0,5159.853,30.0,24.537,1038.55014,0.691071,3.461834
178,5190.0,5189.852,30.0,24.537,1038.55014,0.695089,3.461834
179,5220.0,5219.851,30.0,24.537,1038.55014,0.699107,3.461834
180,5243.21,5243.06,23.21,24.537,803.491625,0.702216,3.461834
181,5250.0,5249.85,6.79,24.537,170.01962,0.703125,2.503971
182,5280.0,5279.849,30.0,24.537,751.191251,0.707143,2.503971
183,5310.0,5309.848,30.0,24.537,751.191251,0.711161,2.503971
184,5340.0,5339.847,30.0,24.537,751.191251,0.715179,2.503971
185,5370.0,5369.847,30.0,24.537,751.191251,0.719196,2.503971
186,5400.0,5399.846,30.0,24.537,751.191251,0.723214,2.503971
187,5430.0,5429.845,30.0,24.537,751.191251,0.727232,2.503971
188,5460.0,5459.844,30.0,24.537,751.191251,0.73125,2.503971
189,5490.0,5489.843,30.0,24.537,751.191251,0.735268,2.503971
190,5520.0,5519.842,30.0,24.537,751.191251,0.739286,2.503971
191,5550.0,5549.841,30.0,24.537,751.191251,0.743304,2.503971
192,5578.0,5577.841,28.0,24.537,701.111835,0.747054,2.503971
193,5580.0,5579.841,2.0,25.082,54.32722,0.747321,2.716361
194,5610.0,5609.84,30.0,25.082,814.908299,0.75,2.716361
195,5630.0,5629.84,20.0,25.082,543.2722,0.75,2.716361
196,5640.0,5639.84,10.0,25.121,273.173844,0.55,2.731738
197,5660.0,5659.84,20.0,25.121,546.347688,0.15,2.731738
198,5670.0,5669.84,10.0,25.095,272.148416,0.17,2.721484
199,5690.0,5689.84,20.0,25.095,544.296832,0.21,2.721484
200,5700.0,5699.84,10.0,24.803,260.704995,0.39,2.60705
201,5720.0,5719.84,20.0,24.803,521.40999,0.75,2.60705
202,5730.0,5729.837,10.0,24.448,246.973011,0.866667,2.46973
203,5750.0,5749.83,20.0,24.448,493.946022,1.1,2.46973
204,5760.0,5759.83,10.0,24.778,259.731474,1.15,2.597315
205,5780.0,5779.83,20.0,24.778,519.462948,1.25,2.597315
206,5790.0,5789.827,10.0,24.867,263.201681,1.243333,2.632017
207,5810.0,5809.82,20.0,24.867,526.403363,1.23,2.632017
