sep=,,,,,,,,,
序号,depth_md_m,cbl_amplitude_pct,quality_proxy,quality_proxy_pct,质量等级_代理,分段类型,分段说明,是否目的井段,是否双层套管不评价段
1,5500,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
2,5510,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
3,5520,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
4,5530,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
5,5540,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
6,5550,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
7,5560,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
8,5570,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
9,5580,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
10,5590,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
11,5600,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
12,5610,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
13,5620,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
14,5630,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
15,5640,3.7,0.963,96.3,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
16,5650,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
17,5660,4.4,0.956,95.6,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
18,5670,4.8,0.952,95.2,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
19,5680,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
20,5690,4.1,0.959,95.9,胶结良好,双层套管不评价段,5390.0-5699.8m 双层套管二界面不作评价,否,是
21,5700,4.4,0.956,95.6,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
22,5710,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
23,5720,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
24,5730,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
25,5740,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
26,5750,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
27,5760,4.1,0.959,95.9,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
28,5770,4.8,0.952,95.2,胶结良好,过渡/非目的段,双层套管以下、目的井段以上,否,否
