sep=,,,,,,,,,,,,,
数据表,分组,字段,值,单位,井深_top_m,井深_bottom_m,depth_md_m,cbl_amplitude_pct,quality_proxy,质量等级_代理,说明,来源文件,OCR置信度
基本信息,文件,source_pdf,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
基本信息,文件,document_type,固井质量测井评价图,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
基本信息,文件,well_name,呼101井,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
基本信息,文件,cbl_profile_csv,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,,,,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\cbl_depth_profile_v2.csv,
基本信息,文件,ocr_inventory_csv,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,,,,,,,,,D:\users\desktop\research\控压固井项目\temp_pdf_extract\full_ocr_inventory.csv,
元数据,header_metadata,report_title,固井质量测井评价图,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,depth_scale,0.180555556,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,logging_company,中油测井新疆分公司,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,operator_company,西部钻探,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,field_unit,新疆油田分公司,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,logging_tool,CPLog,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,interpretation_software,LEAD,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,well_type,预探井,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,logging_date,2022/12/15,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,interpretation_date,2022/12/16,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,header_metadata,cementing_date,2022/11/12,,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,measured_interval_top_md_m,5390,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,measured_interval_bottom_md_m,7810,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,completed_depth_md_m,7868,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,electric_log_depth_md_m,7810,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,artificial_bottom_md_m,7809.4,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,cbl_measured_cement_top_md_m,5402.85,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata,hanger_position_md_m,"{""top"":5402.85,""bottom"":5407.46}",m,5402.85,5407.46,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata.hanger_position_md_m,top,5402.85,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
元数据,engineering_metadata.hanger_position_md_m,bottom,5407.46,m,,,,,,,,D:\users\desktop\research\控压固井项目\参考文档\呼101\100312.PDF,
