步骤序号,步骤名,流体名称,设计体积(m3),实际体积(m3),设计排量(m3/min),实际排量(m3/min),设计密度(g/cm3),实际密度(g/cm3),开始时间,结束时间,泵压(MPa),备注,来源文件,页码/图号,证据等级
1,注平衡液,平衡液,25.0,25.0,1.2,1.2,1.85,1.85,16:04,16:33,11.57-13.45,施工记录表记录，人工计量25m³,呼101井油层尾管固井施工记录表.pdf,Page 3-4,A,16:04-16:33
2,停泵,停泵,0,0,0,0,-,0,16:33,17:27,3.83-3.2,停泵循环,施工记录表.pdf,-,A,-
3,注驱油隔离液,驱油隔离液,25.0,25.0,1.2,1.0,2.00,2.00,17:27,17:34,12.5,施工记录表,施工记录表.pdf,Page 3,A,17:27-17:34
4,停泵,停泵,0,0,0,0,-,0,17:34,18:24,3.83-3.2,停泵,施工记录表.pdf,-,A,-
5,注领浆,领浆,47.0,46.0,1.2,1.0,2.10,2.10,18:24,19:00,9.5,人工计量-1m³,施工记录表.pdf,Page 3,A,18:24-19:00
6,注尾浆,尾浆,23.0,23.0,1.2,1.0,1.90,1.90,18:24,19:00,9.5-13.4,与领浆连续注入,施工记录表.pdf,Page 3,A,18:24-19:00（领浆后）
7,停泵,停泵,0,0,0,0,-,0,19:00,19:06,3.35-3.2,停泵,施工记录表.pdf,-,A,-
8,注后置液(管内),井浆,2.0,2.0,0.6,0.3-0.6,2.00,2.00,19:06,19:08,4.4-3.55,作为管内压塞/占位流体,技术总结,-,A,仅管内
9,停泵,停泵,0,0,0,0,-,0,19:08,19:10,3.22-3.5,停泵,施工记录表.pdf,-,A,-
10,注轻泥浆,轻泥浆,26.0,24.0,1.5,0.8-1.5,1.85,1.85,19:10,19:31,3-5.75,人工计量-2m³，替浆进入环空,施工记录表.pdf,Page 3-4,A,19:10-19:31
11,注保护液/中置液,中置液,10.0,7.5,1.2,1.2,2.00,2.00,19:35,19:42,10.5,保护液部分计入中置液体系,技术总结,-,A/B,19:35-19:42
12,注井浆快替,井浆,40.0,37.5,1.0,0.8-1.5,1.96,1.96,19:48,20:29,8.58-13.79,替浆排量1.5-0.55m³/min,施工记录表.pdf,Page 4,A,19:48-20:29
13,注井浆慢替,井浆,23.4,20.0,0.55,0.55,1.96,1.96,20:29,20:52,10.7-10.0,补足现场总替量101.4m³,施工记录表.pdf,Page 5,A,20:29-20:52
14,碰压,碰压,0,0,0,0,-,0,-,-,4.8-9.0,放回水0.3方断流，控压5.4MPa,施工记录表.pdf,Page 5,A,20:55
补充,候凝循环,钻井液,85.0,85.0,2.4,2.4,1.96,1.96,20:55,次日9:00,16-19,排除多余混浆85m³，排量2.4m³/min,施工记录表.pdf,Page 5-6,A,循环候凝
