字段名,字段值,单位,适用井段/套管段,来源文件,页码/图号,证据等级,备注
well_name,呼103井,-,-,-,-,A,井号
top_md_m,11.000,m,回接段,0708/1/1005/10051/100511.pdf,页眉,A,回接 CBL 测量起点；另回接段来自呼103尾管数据
top_md_m,5545.970,m,上段尾管 φ168.3mm,呼103井_固井顶替模型数据包.json,3.1,A,上段尾管顶部；来自 100515.pdf 质量图
top_md_m,7330.600,m,下段尾管 φ139.7mm,呼103井_固井顶替模型数据包.json,3.1,A,下段尾管顶部；来自 100516.pdf 质量图
bottom_md_m,5472.000,m,回接段,0708/1/1005/10051/100511.pdf,页眉,A,回接 CBL 测量终点
bottom_md_m,7330.600,m,上段尾管 φ168.3mm,呼103井_固井顶替模型数据包.json,3.1,A,上段尾管底部；来自 100515.pdf 质量图
bottom_md_m,7770.000,m,下段尾管 φ139.7mm,呼103井_固井顶替模型数据包.json,3.1,A,下段尾管底部；来自 100516.pdf 质量图
shoe_md_m,5480.250,m,-,0708/1/1005/10051/100511.pdf,页眉,A,人工井底；另呼103完钻井深 7770.000 m（100515/100516.pdf）
shoe_md_m,7770.000,m,完井尾管,呼103井_固井顶替模型数据包.json,3.1,A,完钻井深；来自 CBL 评价图
hanger_md_m,-,m,-,-,-,C,当前缺失；呼103悬挂器位置待查
casing_od_mm,193.7,mm,回接段,0708/2/203/2032/20321/203211.docx,-,A,回接实验报告套管尺寸
casing_od_mm,168.3,mm,上段尾管,呼103井_固井顶替模型数据包.json,3.1,A,上段尾管外径；来自 100515.pdf
casing_od_mm,139.7,mm,下段尾管,呼103井_固井顶替模型数据包.json,3.1,A,下段尾管外径；来自 100516.pdf
casing_id_mm,-,mm,-,-,-,C,当前缺失；套管内径待查
liner_od_mm,193.7,mm,回接段,0708/2/203/2032/20321/203211.docx,-,A,回接实验报告
liner_od_mm,168.3,mm,上段尾管,呼103井_固井顶替模型数据包.json,3.1,A,φ168.30mm 完井尾管
liner_od_mm,139.7,mm,下段尾管,呼103井_固井顶替模型数据包.json,3.1,A,φ139.70mm 完井尾管
liner_id_mm,-,mm,-,-,-,C,当前缺失
liner_wall_thickness_mm,-,mm,-,-,-,C,当前缺失
upper_section_bottom_md_m,-,m,-,-,-,C,当前缺失；呼103为单径井，可留空
upper_liner_od_mm,-,mm,-,-,-,C,当前缺失；呼103为单径井
upper_liner_id_mm,-,mm,-,-,-,C,当前缺失
shoe_lag_volume_m3,-,m³,-,-,-,C,当前缺失
hole_diameter_mm,215.9,mm,下段尾管 φ139.7mm,呼103井_固井顶替模型数据包.json,3.1,A,钻头程序 215.9mm × 7770m；可作为下段尾管井眼名义尺寸
hole_diameter_mm,-,mm,上段尾管 φ168.3mm,-,-,C,当前缺失；上段尾管井眼尺寸待查
packer_depth_m,-,m,-,-,-,C,当前缺失；分级箍位置待查
evaluation_window_top_m,11.000,m,回接段,0708/1/1005/10051/100511.pdf,页眉,A,回接段 CBL 测量起点
evaluation_window_bottom_m,5472.000,m,回接段,0708/1/1005/10051/100511.pdf,页眉,A,回接段 CBL 测量终点
evaluation_window_top_m,5540.000,m,上段尾管 φ168.3mm,呼103井_固井顶替模型数据包.json,3.1,A,φ168.30mm 尾管质量图测量井段起点
evaluation_window_bottom_m,7330.600,m,上段尾管 φ168.3mm,呼103井_固井顶替模型数据包.json,3.1,A,φ168.30mm 尾管质量图测量井段终点
evaluation_window_top_m,7338.000,m,下段尾管 φ139.7mm,呼103井_固井顶替模型数据包.json,3.1,A,φ139.70mm 尾管质量图测量井段起点
evaluation_window_bottom_m,7712.000,m,下段尾管 φ139.7mm,呼103井_固井顶替模型数据包.json,3.1,A,φ139.70mm 尾管质量图测量井段终点
cementing_method,分级固井,,-,0708/1/1005/10051/100511.pdf,页眉,A,回接固井方式
cementing_method,单级固井,,-,0708/1/1005/10051/100516.pdf,页眉,A,油层尾管固井方式
cementing_method,尾管悬挂,,-,呼103井_固井顶替模型数据包.json,3.1,A,完井尾管采用尾管悬挂方式
quality_qualification_rate_pct,0.04,%,上段尾管 φ168.3mm,0708/1/1005/10051/100515.pdf,-,A,φ168.30mm 完井尾管综合合格率；不合格
quality_qualification_rate_pct,12.06,%,下段尾管 φ139.7mm,0708/1/1005/10051/100516.pdf,-,A,φ139.70mm 完井尾管综合合格率；不合格
