步骤序号,步骤名,流体名称,设计体积(m3),实际体积(m3),设计排量(m3/min),实际排量(m3/min),设计密度(g/cm3),实际密度(g/cm3),开始时间,结束时间,泵压(MPa),备注,来源文件,页码/图号,证据等级
1,注平衡液/先导泥浆,平衡液/先导泥浆,40,40,1.4,1.4,1.75,1.75,21:15,21:50,-,21:15-21:50实际注先导浆/平衡液40m³,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,先导浆排量1.4m³/min
2,注驱油隔离液,驱油隔离液,20,20,1.0,1.0,2.05,1.98,22:05,22:30,-,22:05-22:30实际注驱油隔离液20m³,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,设计密度2.05g/cm³，实际密度1.98g/cm³
3,注领浆,领浆,20,20.6,1.0,1.0,2.05,2.05,22:30,22:53,-,22:30-22:53实际注领浆20.6m³,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,实际注入量20.6m³略大于设计20m³
4,注中间浆,中间浆,30,28.7,1.0,1.0,1.90,1.90,22:53,23:25,-,22:53-23:25实际注中间浆28.7m³,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,实际注入量28.7m³略小于设计30m³
5,注尾浆,尾浆,21.4,22.1,1.0,1.0,1.90,1.90,23:25,23:51,-,23:25-23:51实际注尾浆22.1m³,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001井139.7mm尾管固井施工小结.doc,-,A,技术总结设计21.4m³，作业史实际22.1m³
6,压塞,压塞液,2,2,0.6,0.6,1.98,1.98,00:00,00:03,-,00:00-00:03压塞2m³,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001井139.7mm油层尾管技术总结.doc,-,A,压塞液密度1.98g/cm³
7,替钻井液（首段）,替钻井液,25,25,1.4,1.4,1.92,1.92,00:03,00:22,-,00:03-00:22替钻井液25m³,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,首段替钻井液排量1.4m³/min
8,替中置液/保护液,中置液,10,10,1.0,1.0,1.90,1.90,00:22,00:33,-,00:22-00:33替保护液/中置液10m³,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001井139.7mm油层尾管技术总结.doc,-,A,中置液/保护液10m³
9,替基液,隔离液基液,3,3,1.0,1.0,1.02,1.02,00:33,00:35,-,00:33-00:35替基液3m³,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001井139.7mm油层尾管技术总结.doc,-,A,隔离液基液密度1.02g/cm³
10,替钻井液（末段）,替钻井液,53.7,53.7,1.2-0.6,1.2-0.6,1.92,1.92,00:35,01:34,-,00:35-01:34替钻井液53.7m³,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,末段替钻井液排量1.2-0.6m³/min；碰压7.5-14.8MPa
