字段名,字段值,单位,适用井段/套管段,来源文件,页码/图号,证据等级,备注
well_name,呼探1-002, -,139.7mm完井尾管,-,-,A,井号（HT1-002）
top_md_m,5292.5,m,139.7mm完井尾管顶部,HT1-002井139.7mm尾管固井施工小结（写实）.doc / HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,139.7mm油层尾管顶部/悬挂位置；施工记录表为5293m
bottom_md_m,7554.000,m,139.7mm完井尾管底部,HT1-002井139.7mm尾管油气井固井作业史.doc / 完井尾管固井施工记录表.doc,-,A,139.7mm套管下深/固井井段底部；完钻井深7559m
shoe_md_m,7554.000,m,139.7mm尾管鞋位,HT1-002井139.7mm尾管固井施工小结（写实）.doc / 完井尾管固井施工记录表.doc,-,A,引鞋位置/固井井段底部
hanger_md_m,5292.5,m,139.7mm悬挂器位置,HT1-002井139.7mm尾管油气井固井作业史.doc,-,A,悬挂位置/尾管顶部
casing_od_mm,139.7,mm,139.7mm尾管,HT1-002井139.7mm尾管固井施工小结（写实）.doc / 五开尾管原始记录7-1.xlsx,-,A,目标完井尾管外径
casing_id_mm,107.94,mm,139.7mm尾管,五开尾管原始记录7-1.xlsx,-,A,139.7mm套管内径（壁厚15.88mm）
liner_od_mm,139.7,mm,139.7mm尾管,HT1-002井139.7mm尾管固井施工小结（写实）.doc / 五开尾管原始记录7-1.xlsx,-,A,尾管外径（同casing_od）
liner_id_mm,107.94,mm,139.7mm尾管,五开尾管原始记录7-1.xlsx,-,A,尾管内径（壁厚15.88mm）
liner_wall_thickness_mm,15.88,mm,139.7mm尾管,HT1-002井139.7mm尾管固井施工小结（写实）.doc / 五开尾管原始记录7-1.xlsx,-,A,BG140V/BG-T2套管壁厚
upper_section_bottom_md_m,-,m,-,-,-,C,呼探1-002为单径井（非双径），无上段尾管
upper_liner_od_mm,-,mm,-,-,-,C,呼探1-002为单径井（非双径）
upper_liner_id_mm,-,mm,-,-,-,C,呼探1-002为单径井（非双径）
shoe_lag_volume_m3,-,m3,-,-,-,C,缺失，未提供鞋口滞后体积直接数据
hole_diameter_mm,190.5,mm,139.7mm井眼,HT1-002井139.7mm尾管固井施工小结（写实）.doc,-,A,五开钻头尺寸
packer_depth_m,-,m,-,-,-,C,缺失，未提供分级箍位置
evaluation_window_top_m,-,m,-,-,-,C,缺失，未提供评价窗口顶部
evaluation_window_bottom_m,-,m,-,-,-,C,缺失，未提供评价窗口底部
cementing_method,单级, -,139.7mm完井尾管,-,-,A,施工记录表/技术总结表明为单级固井
