步骤序号,步骤名,流体名称,设计体积(m3),实际体积(m3),设计排量(m3/min),实际排量(m3/min),设计密度(g/cm3),实际密度(g/cm3),开始时间,结束时间,泵压(MPa),备注,来源文件,页码/图号,证据等级
1,注先导泥浆,先导泥浆,20,20,1.4,1.4,1.50,1.50,21:15,21:50,-,21:15-21:50注先导浆40m3（含平衡液），分离为平衡液1.75g/cm3@40m3+隔离液1.98g/cm3@20m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,先导浆+平衡液合计40m3
2,注隔离液,驱油隔离液,20,20,-,-,2.05,1.98,22:05,22:30,-,22:05-22:30实际注驱油隔离液20m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,设计密度2.05，实际密度1.98
3,注领浆,领浆,20,20.6,1.0,1.0,2.05,2.05,22:30,22:53,-,22:30-22:53实际注领浆20.6m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,实际注入量20.6m3略大于设计
4,注中间浆,中间浆,30,28.7,1.0,1.0,1.90,1.90,22:53,23:25,-,22:53-23:25实际注中间浆28.7m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,实际注入量28.7m3略小于设计30m3
5,注尾浆,尾浆,22,22.1,1.0,1.0,1.90,1.90,23:25,23:51,-,23:25-23:51实际注尾浆22.1m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,尾浆实际注入22.1m3
6,压塞,压塞液,5,2,0.6,0.6,1.60,1.98,00:00,00:03,-,00:00-00:03压塞2m3（密度1.98g/cm3）,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,压塞体积设计5m3，实际2m3
7,替泥浆（首段）,替浆泥浆,25,25,1.4,1.4,1.92,1.92,00:03,00:22,-,00:03-00:22替钻井液25m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,首段替泥浆排量1.4m3/min
8,替中置液,中置液,10,10,1.0,1.0,1.90,1.90,00:22,00:33,-,00:22-00:33替保护液/中置液10m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,替保护液/中置液10m3
9,替基液,隔离液基液,3,3,1.0,1.0,1.02,1.02,00:33,00:35,-,00:33-00:35替基液3m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,隔离液基液密度1.02g/cm3
10,替泥浆（末段）,替浆泥浆,53.7,53.7,1.2-0.6,1.2-0.6,1.92,1.92,00:35,01:34,-,00:35-01:34替钻井液53.7m3,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,末段替泥浆排量1.2-0.6m3/min
