字段名,字段值,单位,适用井段/套管段,来源文件,页码/图号,证据等级,备注
well_name,呼探1, -,139.7mm下段尾管,-,-,A,井号（HT1-001/呼探1-001同义）
top_md_m,7174.938,m,139.7mm下段尾管顶部,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,139.7mm段顶/168.3mm段底
bottom_md_m,7746.000,m,139.7mm下段尾管底部,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,完钻井深
shoe_md_m,7746.000,m,139.7mm尾管鞋位,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001套管数据表尾管168.3mm139,7.xlsx,-,A,引鞋位置/固井井段底部
hanger_md_m,5469.711,m,168.3mm悬挂器位置,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001套管数据表.xlsx,-,A,悬挂器或提升短节附近位置
casing_od_mm,139.7,mm,139.7mm尾管,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001套管数据表.xlsx,-,A,目标完井尾管外径
casing_id_mm,107.94,mm,139.7mm尾管,HT1-001套管数据表尾管168.3mm139,7.xlsx,-,A,139.7mm套管内径（壁厚15.88mm）
liner_od_mm,139.7,mm,139.7mm尾管,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,尾管外径（同casing_od）
liner_id_mm,107.94,mm,139.7mm尾管,HT1-001套管数据表尾管168.3mm139,7.xlsx,-,A,尾管内径（壁厚15.88mm）
liner_wall_thickness_mm,15.88,mm,139.7mm尾管,HT1-001套管数据表尾管168.3mm139,7.xlsx,-,A,BG140V/BGT2套管壁厚
upper_section_bottom_md_m,7174.938,m,168.3mm上段尾管底界,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,双径井必填，上段底界=下段顶界
upper_liner_od_mm,168.3,mm,168.3mm上段尾管,HT1-001井168.3+139.7mm尾管固井作业史.doc,-,A,双径井必填，上段尾管外径
upper_liner_id_mm,138.90,mm,168.3mm上段尾管,HT1-001套管数据表尾管168.3mm139,7.xlsx,-,A,双径井必填，上段尾管内径（壁厚14.7mm）
shoe_lag_volume_m3,-,m3,-,-,-,C,缺失，未提供鞋口滞后体积直接数据
hole_diameter_mm,215.9,mm,139.7mm下段井眼,HT1-001井168.3+139.7mm尾管固井作业史.doc / HT1-001井139.7mm尾管固井施工小结.doc,-,A,五开钻头尺寸
packer_depth_m,-,m,-,-,-,C,缺失，未提供分级箍位置
evaluation_window_top_m,-,m,-,-,-,C,缺失，未提供评价窗口顶部
evaluation_window_bottom_m,-,m,-,-,-,C,缺失，未提供评价窗口底部
cementing_method,单级, -,整体尾管,-,-,A,技术总结/施工设计表明为单级固井
